Slope	K_score	rowID	Enzyme ID	Enzyme Name	Subsystems	Direction	Gr Rule
1.5846	2.0277	329	r_0466	glucose 6-phosphate dehydrogenase	sce00030  Pentose phosphate pathway;sce00480  Glutathione metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism	0	Candida_intermedia@Seq_5467
-2.5846	-2.6806	330	r_0467	glucose-6-phosphate isomerase	Gluconeogenesis;sce00010  Glycolysis;sce00030  Pentose phosphate pathway;sce00500  Starch and sucrose metabolism;sce00520  Amino sugar and nucleotide sugar metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism	1	Candida_intermedia@Seq_4227
-0.16914	-0.088617	334	r_0471	glutamate dehydrogenase (NADP)	sce00220  Arginine biosynthesis;sce00250  Alanine, aspartate and glutamate metabolism;sce00910  Nitrogen metabolism	0	Candida_intermedia@Seq_1203
-0.52819	-0.18085	348	r_0486	glyceraldehyde-3-phosphate dehydrogenase	Gluconeogenesis;sce00010  Glycolysis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	1	Candida_intermedia@Seq_1373 or Candida_intermedia@Seq_784
-0.16914	-0.33046	358	r_0501	glycine cleavage system	Gluconeogenesis;sce00010  Glycolysis;sce00020  Citrate cycle (TCA cycle);sce00260  Glycine, serine and threonine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce00640  Propanoate metabolism;sce00670  One carbon pool by folate;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism	0	Candida_intermedia@Seq_3000 and Candida_intermedia@Seq_5046 and Candida_intermedia@Seq_5119 and Candida_intermedia@Seq_1684
-0.33829	-0.25666	359	r_0502	glycine hydroxymethyltransferase	sce00260  Glycine, serine and threonine metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce00670  One carbon pool by folate;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	1	Candida_intermedia@Seq_1741 or Candida_intermedia@Seq_2799
0.16914	0.33046	360	r_0503	glycine hydroxymethyltransferase	sce00260  Glycine, serine and threonine metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce00670  One carbon pool by folate;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	-1	Candida_intermedia@Seq_1741 or Candida_intermedia@Seq_2799
1	9	385	r_0533	hexokinase (D-fructose:ATP)	Gluconeogenesis;sce00010  Glycolysis;sce00051  Fructose and mannose metabolism;sce00052  Galactose metabolism;sce00500  Starch and sucrose metabolism;sce00520  Amino sugar and nucleotide sugar metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism	0	Candida_intermedia@Seq_1160 or Candida_intermedia@Seq_4642
-0.33829	-0.26122	545	r_0725	methenyltetrahydrofolate cyclohydrolase	sce00670  One carbon pool by folate	1	Candida_intermedia@Seq_1816 or Candida_intermedia@Seq_4775
-0.33829	-0.26122	552	r_0732	methylenetetrahydrofolate dehydrogenase (NADP)	sce00670  One carbon pool by folate	1	Candida_intermedia@Seq_1816 or Candida_intermedia@Seq_4775
-1.0564	-0.95859	632	r_0886	phosphofructokinase	Gluconeogenesis;sce00010  Glycolysis;sce00030  Pentose phosphate pathway;sce00051  Fructose and mannose metabolism;sce00052  Galactose metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce03018  RNA degradation	0	Candida_intermedia@Seq_1807 or Candida_intermedia@Seq_4965
0.52819	2.0334	633	r_0887	phosphofructokinase (s7p)	Gluconeogenesis;sce00010  Glycolysis;sce00030  Pentose phosphate pathway;sce00051  Fructose and mannose metabolism;sce00052  Galactose metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids;sce03018  RNA degradation	0	Candida_intermedia@Seq_1807 or Candida_intermedia@Seq_4965
1	1.5229	634	r_0888	phosphoglucomutase	Gluconeogenesis;sce00010  Glycolysis;sce00030  Pentose phosphate pathway;sce00052  Galactose metabolism;sce00230  Purine metabolism;sce00500  Starch and sucrose metabolism;sce00520  Amino sugar and nucleotide sugar metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics	-1	Candida_intermedia@Seq_2860
1.5846	2.0277	635	r_0889	phosphogluconate dehydrogenase	sce00030  Pentose phosphate pathway;sce00480  Glutathione metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism	0	Candida_intermedia@Seq_533
-0.16914	-0.1958	637	r_0891	phosphoglycerate dehydrogenase	sce00260  Glycine, serine and threonine metabolism;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	0	Candida_intermedia@Seq_2885
-0.52819	-0.18085	638	r_0892	phosphoglycerate kinase	Gluconeogenesis;sce00010  Glycolysis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	1	Candida_intermedia@Seq_1913
-0.35905	-0.17457	639	r_0893	phosphoglycerate mutase	Gluconeogenesis;sce00010  Glycolysis;sce00260  Glycine, serine and threonine metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	1	Candida_intermedia@Seq_1662 or Candida_intermedia@Seq_4962
-0.16914	-0.1958	655	r_0917	phosphoserine phosphatase (L-serine)	sce00260  Glycine, serine and threonine metabolism;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	0	Candida_intermedia@Seq_5126
-0.16914	-0.1958	656	r_0918	phosphoserine transaminase	sce00260  Glycine, serine and threonine metabolism;sce00750  Vitamin B6 metabolism;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	0	Candida_intermedia@Seq_2669
-0.35905	-0.1863	681	r_0962	pyruvate kinase	Gluconeogenesis;sce00010  Glycolysis;sce00230  Purine metabolism;sce00620  Pyruvate metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	0	Candida_intermedia@Seq_5168
0.52819	1.6166	698	r_0982	ribose-5-phosphate isomerase	sce00030  Pentose phosphate pathway;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	1	Candida_intermedia@Seq_2675
1.0564	2.3231	700	r_0984	ribulose 5-phosphate 3-epimerase	sce00030  Pentose phosphate pathway;sce00040  Pentose and glucuronate interconversions;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	1	Candida_intermedia@Seq_5197
0.52819	2.0334	706	r_0990	sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase	Gluconeogenesis;sce00010  Glycolysis;sce00030  Pentose phosphate pathway;sce00051  Fructose and mannose metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	1	Candida_intermedia@Seq_4943
0.95276	1.2885	725	r_1021	succinate dehydrogenase (ubiquinone-6)	sce00020  Citrate cycle (TCA cycle);sce00190  Oxidative phosphorylation;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism	1	(Candida_intermedia@Seq_1638 and Candida_intermedia@Seq_3054 and Candida_intermedia@Seq_2772 and Candida_intermedia@Seq_4387) or (Candida_intermedia@Seq_4082 and Candida_intermedia@Seq_3054 and Candida_intermedia@Seq_2772 and Candida_intermedia@Seq_4387)
0.52819	2.0334	750	r_1049	transketolase 1	sce00030  Pentose phosphate pathway;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	1	Candida_intermedia@Seq_4796 or Candida_intermedia@Seq_953
0.52819	2.7091	751	r_1050	transketolase 2	sce00030  Pentose phosphate pathway;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	1	Candida_intermedia@Seq_4796 or Candida_intermedia@Seq_953
-0.52819	-0.38925	753	r_1054	triose-phosphate isomerase	Gluconeogenesis;sce00010  Glycolysis;sce00051  Fructose and mannose metabolism;sce00562  Inositol phosphate metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids	1	Candida_intermedia@Seq_4983
1	0.9889	764	r_1070	UDPglucose 4-epimerase	Gluconeogenesis;sce00010  Glycolysis;sce00052  Galactose metabolism;sce00520  Amino sugar and nucleotide sugar metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics	-1	Candida_intermedia@Seq_2479 or Candida_intermedia@Seq_3332
0.74457	0.053697	1932	r_1110	ADP/ATP transporter		1	Candida_intermedia@Seq_608
0.74457	0.071353	2040	r_1245	phosphate transport		0	Candida_intermedia@Seq_348 or Candida_intermedia@Seq_191
0.31181	0.72548	2046	r_1254	pyruvate transport		-1	Candida_intermedia@Seq_2449 or Candida_intermedia@Seq_325
0.95276	1.2885	2057	r_1265	succinate-fumarate transport		0	Candida_intermedia@Seq_4706
0.2819	0.043706	2069	r_1277	water diffusion		-1	Candida_intermedia@Seq_2010
0.16914	0.20455	2417	r_1632	acetaldehyde transport		-1	
1.0299	0.28145	2449	r_1672	carbon dioxide exchange		0	
0.16914	0.1707	2471	r_1696	CO2 transport		-1	
1.0299	0.28145	2472	r_1697	CO2 transport		1	
0.16914	0.20455	2532	r_1763	ethanol transport, mitochondrial		-1	
-0.33829	-0.33046	2563	r_1811	glycine transport		1	Candida_intermedia@Seq_1462
-0.31181	-0.42044	2583	r_1832	H+ exchange		-1	
0.16914	0.33046	2695	r_1965	NH3 transport		-1	
0.374	0.1074	2706	r_1978	O2 transport		1	
0.374	0.1033	2707	r_1979	O2 transport		1	
-0.374	-0.1033	2716	r_1992	oxygen exchange		-1	
-0.31181	-0.72548	2738	r_2033	pyruvate exchange		0	
0.16914	0.33046	2748	r_2045	serine transport		-1	Candida_intermedia@Seq_1249 or Candida_intermedia@Seq_1764 or Candida_intermedia@Seq_21 or Candida_intermedia@Seq_3911 or Candida_intermedia@Seq_4278 or Candida_intermedia@Seq_4658
-1.6617	-0.090298	2786	r_2096	water diffusion		-1	
-0.2819	-0.043706	2790	r_2100	water exchange		1	
-0.95276	-1.2885	3806	r_4570	phosphoglycerate dehydrogenase		-1	
0.95276	1.2885	3895	r_4767	2-Hydroxyglutarate:(acceptor) 2-oxidoreductase		1	Candida_intermedia@Seq_5071
1	9	3922	r_4983	MNXR117337		1	Candida_intermedia@Seq_2552
1	9	3942	r_5174	D-glucitol:DP+ oxidoreductase		1	Candida_intermedia@Seq_5357 or Candida_intermedia@Seq_2923
1.496	0.1074	3953	r_0438	ferrocytochrome-c:oxygen oxidoreductase		0	(Candida_intermedia@Seq_3106 and Candida_intermedia@Seq_5023 and Candida_intermedia@Seq_3105 and Candida_intermedia@Seq_2363 and Candida_intermedia@Seq_3854 and Candida_intermedia@Seq_3279) or (Candida_intermedia@Seq_3106 and Candida_intermedia@Seq_4011 and Candida_intermedia@Seq_777 and Candida_intermedia@Seq_2173 and Candida_intermedia@Seq_5036 and Candida_intermedia@Seq_1399 and Candida_intermedia@Seq_218)
0.748	0.1074	3954	r_0439	ubiquinol:ferricytochrome c reductase		0	Candida_intermedia@Seq_1138 and Candida_intermedia@Seq_4341 and Candida_intermedia@Seq_2049 and Candida_intermedia@Seq_4640 and Candida_intermedia@Seq_258 and Candida_intermedia@Seq_526 and Candida_intermedia@Seq_3609 and Candida_intermedia@Seq_4276 and Candida_intermedia@Seq_1647
0.74457	0.053545	3955	r_0226	ATP synthase		0	(Candida_intermedia@Seq_1669 and Candida_intermedia@Seq_4724 and Candida_intermedia@Seq_670 and Candida_intermedia@Seq_1579 and Candida_intermedia@Seq_2961 and Candida_intermedia@Seq_4454 and Candida_intermedia@Seq_4663 and Candida_intermedia@Seq_5156 and Candida_intermedia@Seq_2954 and Candida_intermedia@Seq_5031 and Candida_intermedia@Seq_2584) or (Candida_intermedia@Seq_1669 and Candida_intermedia@Seq_4724 and Candida_intermedia@Seq_670 and Candida_intermedia@Seq_1579 and Candida_intermedia@Seq_4454 and Candida_intermedia@Seq_4663 and Candida_intermedia@Seq_5156 and Candida_intermedia@Seq_2954 and Candida_intermedia@Seq_5031 and Candida_intermedia@Seq_2584 and Candida_intermedia@Seq_5265) or (Candida_intermedia@Seq_1669 and Candida_intermedia@Seq_4724 and Candida_intermedia@Seq_670 and Candida_intermedia@Seq_1579 and Candida_intermedia@Seq_2961 and Candida_intermedia@Seq_4454 and Candida_intermedia@Seq_4663 and Candida_intermedia@Seq_5156 and Candida_intermedia@Seq_2954 and Candida_intermedia@Seq_5031 and Candida_intermedia@Seq_2584 and Candida_intermedia@Seq_5050 and Candida_intermedia@Seq_5380 and Candida_intermedia@Seq_4695 and Candida_intermedia@Seq_5223 and Candida_intermedia@Seq_4885)
1	9	3989	ald_red_NADPH	aldose reductase (NAPDH)		0	xyl1 or xyl1_2 or xyl1_3
1	9	3990	xyl_hex_red	L-xylo-3-hexulose reductase		1	G0RNA2
