HOG	OG	Gene Tree Parent Clade	data_Cint	model_Cint
N0.HOG0000043	OG0000009	n6	SGZ51017.1	Candida_intermedia@Seq_345
N0.HOG0000044	OG0000009	n7	SGZ56633.1	Candida_intermedia@Seq_2366
N0.HOG0000045	OG0000010	n0		Candida_intermedia@Seq_4182, Candida_intermedia@Seq_3924, Candida_intermedia@Seq_5379, Candida_intermedia@Seq_5211, Candida_intermedia@Seq_5297, Candida_intermedia@Seq_3238, Candida_intermedia@Seq_4480, Candida_intermedia@Seq_3443, Candida_intermedia@Seq_4088
N0.HOG0000046	OG0000011	n1	SGZ55250.1	Candida_intermedia@Seq_2121
N0.HOG0000047	OG0000011	n3	SGZ46237.1	Candida_intermedia@Seq_1939
N0.HOG0000048	OG0000011	n5	SGZ46503.1	Candida_intermedia@Seq_2362
N0.HOG0000049	OG0000011	n6	SGZ52304.1	Candida_intermedia@Seq_2987
N0.HOG0000050	OG0000012	n1	SGZ57767.1	Candida_intermedia@Seq_2303
N0.HOG0000051	OG0000012	n4	SGZ46884.1	Candida_intermedia@Seq_566
N0.HOG0000052	OG0000012	n5	SGZ47045.1	Candida_intermedia@Seq_3091
N0.HOG0000053	OG0000012	n6	SGZ52897.1	Candida_intermedia@Seq_4275
N0.HOG0000054	OG0000013	n1	SGZ50456.1	Candida_intermedia@Seq_4404
N0.HOG0000055	OG0000013	n3	SGZ47533.1	Candida_intermedia@Seq_1186
N0.HOG0000056	OG0000013	n5	SGZ54485.1	Candida_intermedia@Seq_3182
N0.HOG0000057	OG0000013	n6	SGZ47193.1	Candida_intermedia@Seq_997
N0.HOG0000058	OG0000014	n1	SGZ54847.1	Candida_intermedia@Seq_1892
N0.HOG0000059	OG0000014	n4	SGZ54719.1, SGZ58060.1	Candida_intermedia@Seq_3658
N0.HOG0000060	OG0000014	n6	SGZ54718.1	Candida_intermedia@Seq_5020
N0.HOG0000061	OG0000015	n1	SGZ47105.1	Candida_intermedia@Seq_4771
N0.HOG0000062	OG0000015	n2	SGZ46223.1, SGZ46222.1, SGZ46225.1, SGZ51018.1	Candida_intermedia@Seq_4187
N0.HOG0000063	OG0000016	n1	SGZ47033.1	Candida_intermedia@Seq_324
N0.HOG0000064	OG0000016	n3	SGZ46997.1	Candida_intermedia@Seq_3185
N0.HOG0000065	OG0000016	n4	SGZ54835.1	Candida_intermedia@Seq_3111, Candida_intermedia@Seq_2028
N0.HOG0000066	OG0000017	n1	SGZ57804.1	Candida_intermedia@Seq_4984
N0.HOG0000067	OG0000017	n2	SGZ55205.1, SGZ49807.1, SGZ49796.1, SGZ51830.1	Candida_intermedia@Seq_4587
N0.HOG0000068	OG0000018	n1	SGZ49923.1	Candida_intermedia@Seq_2870
N0.HOG0000069	OG0000018	n4	SGZ54299.1	Candida_intermedia@Seq_2471
N0.HOG0000070	OG0000018	n5	SGZ51003.1	Candida_intermedia@Seq_3817
N0.HOG0000071	OG0000019	n1	SGZ51013.1	Candida_intermedia@Seq_1298
N0.HOG0000072	OG0000019	n4	SGZ51014.1	Candida_intermedia@Seq_1881
N0.HOG0000073	OG0000019	n5	SGZ57877.1	Candida_intermedia@Seq_5458
N0.HOG0000074	OG0000020	n1	SGZ51190.1	Candida_intermedia@Seq_3290
N0.HOG0000075	OG0000020	n4	SGZ56629.1	Candida_intermedia@Seq_2342
N0.HOG0000076	OG0000020	n5	SGZ53002.1	Candida_intermedia@Seq_3830
N0.HOG0000077	OG0000021	n1	SGZ52883.1	Candida_intermedia@Seq_4278
N0.HOG0000078	OG0000021	n3	SGZ52706.1	Candida_intermedia@Seq_1764
N0.HOG0000079	OG0000021	n4	SGZ54068.1, SGZ52704.1	Candida_intermedia@Seq_1249
N0.HOG0000080	OG0000022	n1	SGZ57954.1	Candida_intermedia@Seq_4675
N0.HOG0000081	OG0000022	n3	SGZ57958.1	Candida_intermedia@Seq_4194
N0.HOG0000082	OG0000022	n4	SGZ57956.1, SGZ56399.1	Candida_intermedia@Seq_2876
N0.HOG0000083	OG0000023	n1	SGZ57757.1	Candida_intermedia@Seq_5425
N0.HOG0000084	OG0000023	n3	SGZ46242.1	Candida_intermedia@Seq_786
N0.HOG0000085	OG0000023	n4	SGZ51579.1	Candida_intermedia@Seq_2484
N0.HOG0000086	OG0000024	n1	SGZ46321.1	Candida_intermedia@Seq_3940
N0.HOG0000087	OG0000024	n3	SGZ52449.1	Candida_intermedia@Seq_5235
N0.HOG0000088	OG0000024	n4	SGZ47714.1	Candida_intermedia@Seq_3713
N0.HOG0000089	OG0000025	n1	SGZ53714.1	Candida_intermedia@Seq_3160
N0.HOG0000090	OG0000025	n3	SGZ46829.1	Candida_intermedia@Seq_2231
N0.HOG0000091	OG0000025	n4	SGZ53370.1	Candida_intermedia@Seq_398
N0.HOG0000092	OG0000026	n1	SGZ51008.1	Candida_intermedia@Seq_5327
N0.HOG0000093	OG0000026	n3	SGZ47212.1	Candida_intermedia@Seq_3014
N0.HOG0000094	OG0000026	n4	SGZ57990.1	Candida_intermedia@Seq_4781
N0.HOG0000095	OG0000027	n1	SGZ50618.1	Candida_intermedia@Seq_2953
N0.HOG0000096	OG0000027	n3	SGZ51197.1	Candida_intermedia@Seq_232
N0.HOG0000097	OG0000027	n4	SGZ47413.1	Candida_intermedia@Seq_5367
N0.HOG0000098	OG0000028	n1	SGZ48121.1	Candida_intermedia@Seq_3792
N0.HOG0000099	OG0000028	n3	SGZ54138.1	Candida_intermedia@Seq_1851
N0.HOG0000100	OG0000028	n4	SGZ48783.1	Candida_intermedia@Seq_4634
N0.HOG0000101	OG0000029	n1	SGZ49132.1	Candida_intermedia@Seq_1427
N0.HOG0000102	OG0000029	n3	SGZ49256.1	Candida_intermedia@Seq_4855
N0.HOG0000103	OG0000029	n4	SGZ52407.1	Candida_intermedia@Seq_5413
N0.HOG0000104	OG0000030	n1	SGZ50035.1	Candida_intermedia@Seq_3418
N0.HOG0000105	OG0000030	n3	SGZ49657.1	Candida_intermedia@Seq_818
N0.HOG0000106	OG0000030	n4	SGZ49987.1	Candida_intermedia@Seq_5531
N0.HOG0000107	OG0000031	n0	SGZ49794.1, SGZ55197.1, SGZ55203.1, SGZ49805.1, SGZ55199.1, SGZ51828.1	
N0.HOG0000108	OG0000032	n1	SGZ57363.1	Candida_intermedia@Seq_4489
N0.HOG0000109	OG0000032	n3	SGZ49937.1	Candida_intermedia@Seq_679
N0.HOG0000110	OG0000032	n4	SGZ49942.1	Candida_intermedia@Seq_4280
N0.HOG0000111	OG0000033	n1	SGZ50191.1	Candida_intermedia@Seq_4254
N0.HOG0000112	OG0000033	n3	SGZ56686.1	Candida_intermedia@Seq_110
N0.HOG0000113	OG0000033	n4	SGZ54938.1	Candida_intermedia@Seq_2193
N0.HOG0000114	OG0000034	n1	SGZ56412.1	Candida_intermedia@Seq_1052, Candida_intermedia@Seq_107
N0.HOG0000115	OG0000034	n3	SGZ50465.1, SGZ52577.1	Candida_intermedia@Seq_4687
N0.HOG0000116	OG0000035	n1	SGZ52906.1	Candida_intermedia@Seq_4914
N0.HOG0000117	OG0000035	n3	SGZ51009.1	Candida_intermedia@Seq_5117
N0.HOG0000118	OG0000035	n4	SGZ54723.1	Candida_intermedia@Seq_5366
N0.HOG0000119	OG0000036	n1	SGZ56658.1	Candida_intermedia@Seq_4321
N0.HOG0000120	OG0000036	n2	SGZ56525.1, SGZ51019.1, SGZ54429.1	Candida_intermedia@Seq_4330
N0.HOG0000121	OG0000037	n1	SGZ52890.1	Candida_intermedia@Seq_2745
N0.HOG0000122	OG0000037	n2	SGZ57316.1	Candida_intermedia@Seq_1315, Candida_intermedia@Seq_3097, Candida_intermedia@Seq_2291
N0.HOG0000123	OG0000038	n1	SGZ56050.1	Candida_intermedia@Seq_1992
N0.HOG0000124	OG0000038	n3	SGZ53697.1	Candida_intermedia@Seq_1828
N0.HOG0000125	OG0000038	n4	SGZ54137.1	Candida_intermedia@Seq_2590
N0.HOG0000126	OG0000039	n1	SGZ58078.1	Candida_intermedia@Seq_3945
N0.HOG0000127	OG0000039	n3	SGZ54729.1	Candida_intermedia@Seq_1330
N0.HOG0000128	OG0000039	n4	SGZ56294.1	Candida_intermedia@Seq_5485
N0.HOG0000129	OG0000040	n1	SGZ56403.1	Candida_intermedia@Seq_1475
N0.HOG0000130	OG0000040	n3	SGZ56663.1	Candida_intermedia@Seq_517
N0.HOG0000131	OG0000040	n4	SGZ54830.1	Candida_intermedia@Seq_127
N0.HOG0000132	OG0000041	n1	SGZ57197.1	Candida_intermedia@Seq_981
N0.HOG0000133	OG0000041	n3	SGZ57198.1	Candida_intermedia@Seq_4717
N0.HOG0000134	OG0000041	n4	SGZ57195.1	Candida_intermedia@Seq_1342
N0.HOG0000135	OG0000042	n0	SGZ46846.1, SGZ57432.1, SGZ57856.1, SGZ57591.1	Candida_intermedia@Seq_355
N0.HOG0000136	OG0000043	n1	SGZ47595.1	Candida_intermedia@Seq_4649
N0.HOG0000137	OG0000043	n2	SGZ50241.1	Candida_intermedia@Seq_2357, Candida_intermedia@Seq_2457
N0.HOG0000138	OG0000044	n1	SGZ47658.1	Candida_intermedia@Seq_5205
N0.HOG0000139	OG0000044	n2	SGZ47657.1, SGZ52792.1	Candida_intermedia@Seq_1458
N0.HOG0000140	OG0000045	n1	SGZ48071.1	Candida_intermedia@Seq_3028
N0.HOG0000141	OG0000045	n2	SGZ50999.1, SGZ50998.1	Candida_intermedia@Seq_755
N0.HOG0000142	OG0000046	n1	SGZ48792.1	Candida_intermedia@Seq_3058
N0.HOG0000143	OG0000046	n2	SGZ57780.1, SGZ57779.1	Candida_intermedia@Seq_1260
N0.HOG0000144	OG0000047	n1	SGZ53927.1	Candida_intermedia@Seq_713
N0.HOG0000145	OG0000047	n2	SGZ48812.1, SGZ48814.1	Candida_intermedia@Seq_3521
N0.HOG0000146	OG0000048	n1	SGZ52177.1	Candida_intermedia@Seq_2308
N0.HOG0000147	OG0000048	n2	SGZ49115.1, SGZ49118.1	Candida_intermedia@Seq_3790
N0.HOG0000148	OG0000049	n1	SGZ49213.1	Candida_intermedia@Seq_5134
N0.HOG0000149	OG0000049	n2	SGZ52735.1, SGZ49211.1	Candida_intermedia@Seq_3
N0.HOG0000150	OG0000050	n0	SGZ49792.1, SGZ49798.1, SGZ51832.1, SGZ55201.1, SGZ49800.1	
N0.HOG0000151	OG0000051	n1	SGZ50119.1	Candida_intermedia@Seq_2994
N0.HOG0000152	OG0000051	n2	SGZ51824.1, SGZ51826.1	Candida_intermedia@Seq_3637
N0.HOG0000153	OG0000052	n1	SGZ54843.1	Candida_intermedia@Seq_2089
N0.HOG0000154	OG0000052	n2	SGZ51940.1	Candida_intermedia@Seq_396, Candida_intermedia@Seq_1897
N0.HOG0000155	OG0000053	n0	SGZ52296.1, SGZ52290.1, SGZ52298.1, SGZ52294.1	Candida_intermedia@Seq_3276
N0.HOG0000156	OG0000054	n1	SGZ53425.1	Candida_intermedia@Seq_3205
N0.HOG0000157	OG0000054	n2	SGZ53423.1, SGZ55227.1	Candida_intermedia@Seq_4191
N0.HOG0000158	OG0000055	n1	SGZ56001.1	Candida_intermedia@Seq_1102
N0.HOG0000159	OG0000055	n2	SGZ53753.1, SGZ53751.1	Candida_intermedia@Seq_275
N0.HOG0000160	OG0000056	n1	SGZ55720.1	Candida_intermedia@Seq_2402
N0.HOG0000161	OG0000056	n2	SGZ55716.1, SGZ55718.1	Candida_intermedia@Seq_174
N0.HOG0000162	OG0000057	n1	SGZ56830.1	Candida_intermedia@Seq_2105
N0.HOG0000163	OG0000057	n2	SGZ56832.1, SGZ56834.1	Candida_intermedia@Seq_408
N0.HOG0000164	OG0000058	n1	SGZ57868.1, SGZ57790.1	Candida_intermedia@Seq_515
N0.HOG0000165	OG0000058	n3	SGZ57909.1	Candida_intermedia@Seq_4753
N0.HOG0000166	OG0000059	n1	SGZ57784.1	Candida_intermedia@Seq_3412
N0.HOG0000167	OG0000059	n2	SGZ46214.1	Candida_intermedia@Seq_2102
N0.HOG0000168	OG0000060	n0	SGZ46220.1, SGZ52997.1, SGZ52478.1	Candida_intermedia@Seq_5178
N0.HOG0000169	OG0000061	n1	SGZ46228.1	Candida_intermedia@Seq_4014
N0.HOG0000170	OG0000061	n2	SGZ51000.1	Candida_intermedia@Seq_2137
N0.HOG0000171	OG0000062	n1	SGZ46465.1	Candida_intermedia@Seq_1876
N0.HOG0000172	OG0000062	n2	SGZ48992.1	Candida_intermedia@Seq_4844
N0.HOG0000173	OG0000063	n1	SGZ46906.1	Candida_intermedia@Seq_4932
N0.HOG0000174	OG0000063	n2	SGZ46658.1	Candida_intermedia@Seq_4931
N0.HOG0000175	OG0000064	n1	SGZ46691.1	Candida_intermedia@Seq_1741
N0.HOG0000176	OG0000064	n2	SGZ54291.1	Candida_intermedia@Seq_2799
N0.HOG0000177	OG0000065	n1	SGZ55320.1	Candida_intermedia@Seq_5497
N0.HOG0000178	OG0000065	n2	SGZ46773.1	Candida_intermedia@Seq_4074
N0.HOG0000179	OG0000066	n1	SGZ46885.1	Candida_intermedia@Seq_3878
N0.HOG0000180	OG0000066	n2	SGZ51184.1	Candida_intermedia@Seq_175
N0.HOG0000181	OG0000067	n1	SGZ56501.1	Candida_intermedia@Seq_2836
N0.HOG0000182	OG0000067	n2	SGZ46892.1	Candida_intermedia@Seq_257
N0.HOG0000183	OG0000068	n1	SGZ47366.1	Candida_intermedia@Seq_1807
N0.HOG0000184	OG0000068	n2	SGZ46933.1	Candida_intermedia@Seq_4965
N0.HOG0000185	OG0000069	n1	SGZ54673.1	Candida_intermedia@Seq_2532
N0.HOG0000186	OG0000069	n2	SGZ46972.1	Candida_intermedia@Seq_1600
N0.HOG0000187	OG0000070	n1	SGZ47004.1	Candida_intermedia@Seq_4767
N0.HOG0000188	OG0000070	n2	SGZ55891.1	Candida_intermedia@Seq_2821
N0.HOG0000189	OG0000071	n1	SGZ47010.1	Candida_intermedia@Seq_4265
N0.HOG0000190	OG0000071	n2	SGZ55885.1	Candida_intermedia@Seq_2913
N0.HOG0000191	OG0000072	n1	SGZ47034.1	Candida_intermedia@Seq_573
N0.HOG0000192	OG0000072	n2	SGZ47169.1	Candida_intermedia@Seq_1067
N0.HOG0000193	OG0000073	n1	SGZ47037.1	Candida_intermedia@Seq_5433
N0.HOG0000194	OG0000073	n2	SGZ52872.1	Candida_intermedia@Seq_3780
N0.HOG0000195	OG0000074	n1	SGZ47057.1	Candida_intermedia@Seq_5093
N0.HOG0000196	OG0000074	n2	SGZ57725.1	Candida_intermedia@Seq_3467
N0.HOG0000197	OG0000075	n1	SGZ57723.1	Candida_intermedia@Seq_1206
N0.HOG0000198	OG0000075	n2	SGZ47058.1	Candida_intermedia@Seq_1759
N0.HOG0000199	OG0000076	n1	SGZ47103.1	Candida_intermedia@Seq_691
N0.HOG0000200	OG0000076	n2	SGZ49277.1	Candida_intermedia@Seq_1306
N0.HOG0000201	OG0000077	n1	SGZ47238.1	Candida_intermedia@Seq_1077
N0.HOG0000202	OG0000077	n2	SGZ47851.1	Candida_intermedia@Seq_932
N0.HOG0000203	OG0000078	n1	SGZ47291.1	Candida_intermedia@Seq_1743
N0.HOG0000204	OG0000078	n2	SGZ49005.1	Candida_intermedia@Seq_927
N0.HOG0000205	OG0000079	n1	SGZ47331.1	Candida_intermedia@Seq_349
N0.HOG0000206	OG0000079	n2	SGZ47332.1	Candida_intermedia@Seq_1446
N0.HOG0000207	OG0000080	n1	SGZ47403.1	Candida_intermedia@Seq_3396
N0.HOG0000208	OG0000080	n2	SGZ56673.1	Candida_intermedia@Seq_2689
N0.HOG0000209	OG0000081	n1	SGZ56024.1	Candida_intermedia@Seq_3193
N0.HOG0000210	OG0000081	n2	SGZ47439.1	Candida_intermedia@Seq_2609
N0.HOG0000211	OG0000082	n1	SGZ47577.1	Candida_intermedia@Seq_1942
N0.HOG0000212	OG0000082	n2	SGZ57396.1	Candida_intermedia@Seq_2712
N0.HOG0000213	OG0000083	n1	SGZ47592.1	Candida_intermedia@Seq_1532
N0.HOG0000214	OG0000083	n2	SGZ48883.1	Candida_intermedia@Seq_669
N0.HOG0000215	OG0000084	n1	SGZ47610.1	Candida_intermedia@Seq_1272
N0.HOG0000216	OG0000084	n2	SGZ49143.1	Candida_intermedia@Seq_1857
N0.HOG0000217	OG0000085	n1	SGZ56422.1	Candida_intermedia@Seq_2261
N0.HOG0000218	OG0000085	n2	SGZ47677.1	Candida_intermedia@Seq_1326
N0.HOG0000219	OG0000086	n1	SGZ47691.1	Candida_intermedia@Seq_1183
N0.HOG0000220	OG0000086	n2	SGZ57542.1	Candida_intermedia@Seq_4936
N0.HOG0000221	OG0000087	n1	SGZ56646.1	Candida_intermedia@Seq_1784
N0.HOG0000222	OG0000087	n2	SGZ47694.1	Candida_intermedia@Seq_5359
N0.HOG0000223	OG0000088	n1	SGZ53289.1	Candida_intermedia@Seq_1875
N0.HOG0000224	OG0000088	n2	SGZ47718.1	Candida_intermedia@Seq_5209
N0.HOG0000225	OG0000089	n1	SGZ47754.1	Candida_intermedia@Seq_5308
N0.HOG0000226	OG0000089	n2	SGZ56278.1	Candida_intermedia@Seq_1111
N0.HOG0000227	OG0000090	n1	SGZ57929.1	Candida_intermedia@Seq_4905
N0.HOG0000228	OG0000090	n2	SGZ47799.1	Candida_intermedia@Seq_2133
N0.HOG0000229	OG0000091	n1	SGZ47842.1	Candida_intermedia@Seq_4131
N0.HOG0000230	OG0000091	n2	SGZ55338.1	Candida_intermedia@Seq_1931
N0.HOG0000231	OG0000092	n1	SGZ47862.1	Candida_intermedia@Seq_1267
N0.HOG0000232	OG0000092	n2	SGZ55441.1	Candida_intermedia@Seq_3578
N0.HOG0000233	OG0000093	n1	SGZ51012.1	Candida_intermedia@Seq_118
N0.HOG0000234	OG0000093	n2	SGZ47884.1	Candida_intermedia@Seq_766
N0.HOG0000235	OG0000094	n1	SGZ47970.1	Candida_intermedia@Seq_1722
N0.HOG0000236	OG0000094	n2	SGZ47941.1	Candida_intermedia@Seq_5047
N0.HOG0000237	OG0000095	n0	SGZ48078.1, SGZ55596.1, SGZ54477.1	Candida_intermedia@Seq_2431
N0.HOG0000238	OG0000096	n1	SGZ54839.1	Candida_intermedia@Seq_688
N0.HOG0000239	OG0000096	n2	SGZ48796.1	Candida_intermedia@Seq_3857
N0.HOG0000240	OG0000097	n1	SGZ49326.1	Candida_intermedia@Seq_1338
N0.HOG0000241	OG0000097	n2	SGZ56146.1	Candida_intermedia@Seq_3183
N0.HOG0000242	OG0000098	n1	SGZ52435.1	Candida_intermedia@Seq_1297
N0.HOG0000243	OG0000098	n2	SGZ49448.1	Candida_intermedia@Seq_4526
N0.HOG0000244	OG0000099	n1	SGZ57825.1	Candida_intermedia@Seq_4899
N0.HOG0000245	OG0000099	n2	SGZ49478.1	Candida_intermedia@Seq_2417
N0.HOG0000246	OG0000100	n1	SGZ49480.1	Candida_intermedia@Seq_4958
N0.HOG0000247	OG0000100	n2	SGZ52535.1	Candida_intermedia@Seq_5123
N0.HOG0000248	OG0000101	n1	SGZ50992.1	Candida_intermedia@Seq_3435
N0.HOG0000249	OG0000101	n2	SGZ49593.1	Candida_intermedia@Seq_2909
N0.HOG0000250	OG0000102	n1	SGZ49598.1	Candida_intermedia@Seq_1935
N0.HOG0000251	OG0000102	n2	SGZ56688.1	Candida_intermedia@Seq_4294
N0.HOG0000252	OG0000103	n1	SGZ56684.1	Candida_intermedia@Seq_2479
N0.HOG0000253	OG0000103	n2	SGZ49600.1	Candida_intermedia@Seq_3332
N0.HOG0000254	OG0000104	n1	SGZ51001.1	Candida_intermedia@Seq_278
N0.HOG0000255	OG0000104	n2	SGZ49614.1	Candida_intermedia@Seq_4549
N0.HOG0000256	OG0000105	n1	SGZ49619.1	Candida_intermedia@Seq_4097
N0.HOG0000257	OG0000105	n2	SGZ49622.1	Candida_intermedia@Seq_1626
N0.HOG0000258	OG0000106	n1	SGZ49631.1	Candida_intermedia@Seq_65
N0.HOG0000259	OG0000106	n2	SGZ58038.1	Candida_intermedia@Seq_3359
N0.HOG0000260	OG0000107	n1	SGZ49674.1	Candida_intermedia@Seq_4422
N0.HOG0000261	OG0000107	n2	SGZ52804.1	Candida_intermedia@Seq_1130
N0.HOG0000262	OG0000108	n0	SGZ49707.1, SGZ55472.1	Candida_intermedia@Seq_2927, Candida_intermedia@Seq_975
N0.HOG0000263	OG0000109	n1	SGZ49734.1	Candida_intermedia@Seq_672
N0.HOG0000264	OG0000109	n2	SGZ56682.1	Candida_intermedia@Seq_4760
N0.HOG0000265	OG0000110	n0	SGZ49825.1	Candida_intermedia@Seq_3583, Candida_intermedia@Seq_1663, Candida_intermedia@Seq_401
N0.HOG0000266	OG0000111	n1	SGZ49906.1	Candida_intermedia@Seq_2862
N0.HOG0000267	OG0000111	n2	SGZ54210.1	Candida_intermedia@Seq_1096
N0.HOG0000268	OG0000112	n1	SGZ49926.1	Candida_intermedia@Seq_3980
N0.HOG0000269	OG0000112	n2	SGZ51004.1	Candida_intermedia@Seq_718
N0.HOG0000270	OG0000113	n1	SGZ53377.1	Candida_intermedia@Seq_773
N0.HOG0000271	OG0000113	n2	SGZ50044.1	Candida_intermedia@Seq_2217
N0.HOG0000272	OG0000114	n1	SGZ50139.1	Candida_intermedia@Seq_1019
N0.HOG0000273	OG0000114	n2	SGZ58011.1	Candida_intermedia@Seq_2568
N0.HOG0000274	OG0000115	n1	SGZ53008.1	Candida_intermedia@Seq_4719
N0.HOG0000275	OG0000115	n2	SGZ50173.1	Candida_intermedia@Seq_303
N0.HOG0000276	OG0000116	n1	SGZ50184.1	Candida_intermedia@Seq_4740
N0.HOG0000277	OG0000116	n2	SGZ52910.1	Candida_intermedia@Seq_1965
N0.HOG0000278	OG0000117	n1	SGZ56118.1	Candida_intermedia@Seq_1292
N0.HOG0000279	OG0000117	n2	SGZ50201.1	Candida_intermedia@Seq_4473
N0.HOG0000280	OG0000118	n1	SGZ50203.1	Candida_intermedia@Seq_856
N0.HOG0000281	OG0000118	n2	SGZ53143.1	Candida_intermedia@Seq_868
N0.HOG0000282	OG0000119	n1	SGZ50208.1	Candida_intermedia@Seq_292
N0.HOG0000283	OG0000119	n2	SGZ50210.1	Candida_intermedia@Seq_3864
N0.HOG0000284	OG0000120	n1	SGZ50228.1	Candida_intermedia@Seq_5193
N0.HOG0000285	OG0000120	n2	SGZ51522.1	Candida_intermedia@Seq_2613
N0.HOG0000286	OG0000121	n1	SGZ50235.1	Candida_intermedia@Seq_3410
N0.HOG0000287	OG0000121	n2	SGZ56778.1	Candida_intermedia@Seq_885
N0.HOG0000288	OG0000122	n1	SGZ50352.1	Candida_intermedia@Seq_4900
N0.HOG0000289	OG0000122	n2	SGZ57242.1	Candida_intermedia@Seq_2881
N0.HOG0000290	OG0000123	n1	SGZ50458.1	Candida_intermedia@Seq_5400
N0.HOG0000291	OG0000123	n2	SGZ53516.1	Candida_intermedia@Seq_924
N0.HOG0000292	OG0000124	n0	SGZ56414.1, SGZ50467.1	Candida_intermedia@Seq_4305, Candida_intermedia@Seq_806
N0.HOG0000293	OG0000125	n1	SGZ50579.1	Candida_intermedia@Seq_860
N0.HOG0000294	OG0000125	n2	SGZ57729.1	Candida_intermedia@Seq_5376
N0.HOG0000295	OG0000126	n1	SGZ53252.1	Candida_intermedia@Seq_3511
N0.HOG0000296	OG0000126	n2	SGZ50624.1	Candida_intermedia@Seq_5169
N0.HOG0000297	OG0000127	n1	SGZ50784.1	Candida_intermedia@Seq_3001
N0.HOG0000298	OG0000127	n2	SGZ55051.1	Candida_intermedia@Seq_2171
N0.HOG0000299	OG0000128	n1	SGZ53246.1	Candida_intermedia@Seq_55
