REPORTER METABOLITES USING TEST TYPE: all
ID	NAME	COMPARTMENT	Z-SCORE	P-VALUE	NUMBER OF NEIGHBOURS	AVERAGE Z-SCORE	STD Z-SCORE	GENES
s_0553	D-fructose	cytoplasm	3.5429	0.00019784	10	7.5376	8.7641	Seq_4642,Seq_1183,Seq_2189,Seq_1160,Seq_4006,Seq_758,Seq_5357,Seq_2923,Seq_5493,Seq_4936,Seq_4728
s_1030	L-methionine	extracellular	3.5058	0.00022765	8	8.0717	7.0163	Seq_21,Seq_2112,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_0850	indol-3-ylacetaldehyde	cytoplasm	3.3937	0.00034478	8	7.8841	6.7131	Seq_3511,Seq_594,Seq_3997,Seq_1427,Seq_5250,Seq_5169,Seq_4855,Seq_5413
s_0361	acetaldehyde	mitochondrion	3.2866	0.00050706	4	9.9659	9.2929	Seq_3997,Seq_1427,Seq_4855,Seq_5413
s_0852	indol-3-ylacetaldehyde	mitochondrion	3.2866	0.00050706	4	9.9659	9.2929	Seq_3997,Seq_1427,Seq_4855,Seq_5413
s_0359	acetaldehyde	cytoplasm	3.1454	0.00082938	11	6.7051	6.1212	Seq_3511,Seq_288,Seq_3997,Seq_1427,Seq_3263,Seq_5250,Seq_1952,Seq_5169,Seq_4744,Seq_4855,Seq_5413
s_0362	acetate	cytoplasm	3.1327	0.00086601	12	6.5077	6.2045	Seq_924,Seq_2389,Seq_3997,Seq_3670,Seq_1839,Seq_3263,Seq_687,Seq_2985,Seq_5250,Seq_1436,Seq_1956,Seq_5400,Seq_3913
s_0026	(R)-lactate	extracellular	2.938	0.0016516	2	12.1233	6.7201	Seq_325,Seq_2449
s_0064	(S)-lactate	extracellular	2.938	0.0016516	2	12.1233	6.7201	Seq_325,Seq_2449
s_0065	(S)-lactate	mitochondrion	2.938	0.0016516	2	12.1233	6.7201	Seq_325,Seq_2449
s_1400	pyruvate	extracellular	2.938	0.0016516	2	12.1233	6.7201	Seq_325,Seq_2449
s_0565	D-glucose	extracellular	2.9118	0.0017965	11	6.3701	8.8384	Seq_2050,Seq_847,Seq_1650,Seq_3380,Seq_1183,Seq_3213,Seq_3283,Seq_163,Seq_4936,Seq_4945,Seq_1463
s_0999	L-glutamine	cytoplasm	2.8665	0.0020752	30	4.6904	4.6053	Seq_5454,Seq_525,Seq_224,Seq_21,Seq_4725,Seq_4680,Seq_2562,Seq_1326,Seq_4411,Seq_2814,Seq_5389,Seq_1517,Seq_2032,Seq_761,Seq_78,Seq_4388,Seq_410,Seq_1368,Seq_2901,Seq_5174,Seq_3689,Seq_1679,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_3448,Seq_2261,CIC11T00000001530
s_1443	spermine	extracellular	2.6978	0.0034896	4	8.5746	5.4311	Seq_932,Seq_3882,Seq_3506,Seq_1077
s_1444	spermine	vacuole	2.6978	0.0034896	4	8.5746	5.4311	Seq_932,Seq_3882,Seq_3506,Seq_1077
s_0365	acetate	mitochondrion	2.6787	0.0036949	5	7.8814	5.9648	Seq_924,Seq_4679,Seq_3997,Seq_3177,Seq_5400
s_0366	acetate	nucleus	2.6677	0.0038182	2	11.2106	5.359	Seq_924,Seq_5400
s_1507	trans-dec-2-enoyl-CoA	peroxisome	2.6104	0.0045222	4	8.3679	3.0099	Seq_73,Seq_5003,Seq_5441,Seq_2351
s_1510	trans-dodec-2-enoyl-CoA	peroxisome	2.6104	0.0045222	4	8.3679	3.0099	Seq_73,Seq_5003,Seq_5441,Seq_2351
s_1519	trans-tetradec-2-enoyl-CoA	peroxisome	2.6104	0.0045222	4	8.3679	3.0099	Seq_73,Seq_5003,Seq_5441,Seq_2351
s_2896	trans-2,cis-5-dodecadienoyl-CoA	peroxisome	2.6104	0.0045222	4	8.3679	3.0099	Seq_73,Seq_5003,Seq_5441,Seq_2351
s_2901	trans-2,cis-5-tetradecadienoyl-CoA	peroxisome	2.6104	0.0045222	4	8.3679	3.0099	Seq_73,Seq_5003,Seq_5441,Seq_2351
s_0956	L-alanine	extracellular	2.6085	0.004547	11	5.9349	5.8277	Seq_21,Seq_4372,Seq_1368,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_5337,Seq_3448,CIC11T00000001530
s_1004	L-glycine	extracellular	2.6085	0.004547	11	5.9349	5.8277	Seq_21,Seq_4372,Seq_1368,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_5337,Seq_3448,CIC11T00000001530
s_0136	2'-deoxyinosine	cytoplasm	2.6045	0.0046001	1	14.5884	0	Seq_950
s_1185	N,N'-diformyldityrosine	cytoplasm	2.6014	0.0046426	1	14.5734	0	Seq_677
s_1186	N,N'-diformyldityrosine	extracellular	2.6014	0.0046426	1	14.5734	0	Seq_677
s_1036	L-proline	extracellular	2.5909	0.0047861	9	6.306	6.2744	Seq_21,Seq_4372,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_5337,CIC11T00000001530
s_1007	L-histidine	extracellular	2.5879	0.0048278	7	6.848	6.5921	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1017	L-isoleucine	extracellular	2.5879	0.0048278	7	6.848	6.5921	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1022	L-leucine	extracellular	2.5879	0.0048278	7	6.848	6.5921	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1033	L-phenylalanine	extracellular	2.5879	0.0048278	7	6.848	6.5921	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1046	L-threonine	extracellular	2.5879	0.0048278	7	6.848	6.5921	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1049	L-tryptophan	extracellular	2.5879	0.0048278	7	6.848	6.5921	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1052	L-tyrosine	extracellular	2.5879	0.0048278	7	6.848	6.5921	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1057	L-valine	extracellular	2.5879	0.0048278	7	6.848	6.5921	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1418	S-adenosyl-L-methionine	extracellular	2.5879	0.0048278	7	6.848	6.5921	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1424	S-methyl-L-methionine	cytoplasm	2.5879	0.0048278	7	6.848	6.5921	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1425	S-methyl-L-methionine	extracellular	2.5879	0.0048278	7	6.848	6.5921	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_4166	L-citrulline	extracellular	2.5879	0.0048278	7	6.848	6.5921	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_4202	Mn(2+)	extracellular	2.5879	0.0048278	7	6.848	6.5921	Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_0970	L-asparagine	extracellular	2.5832	0.004894	10	6.0904	5.6961	Seq_2889,Seq_21,Seq_1368,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_3448,CIC11T00000001530
s_4204	Mg(2+)	extracellular	2.5755	0.0050052	9	6.2816	5.8356	Seq_21,Seq_2448,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_4495,CIC11T00000001530
s_1000	L-glutamine	extracellular	2.5706	0.0050758	9	6.274	6.0102	Seq_21,Seq_1368,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_3448,CIC11T00000001530
s_1482	tetracosanoyl-CoA	peroxisome	2.569	0.0051003	5	7.6486	3.1609	Seq_73,Seq_4462,Seq_200,Seq_3237,Seq_2351
s_2879	icosanoyl-CoA	peroxisome	2.569	0.0051003	5	7.6486	3.1609	Seq_73,Seq_4462,Seq_200,Seq_3237,Seq_2351
s_2881	docosanoyl-CoA	peroxisome	2.569	0.0051003	5	7.6486	3.1609	Seq_73,Seq_4462,Seq_200,Seq_3237,Seq_2351
s_1266	ornithine	cytoplasm	2.5681	0.0051133	14	5.4491	5.9913	Seq_21,Seq_3734,Seq_3367,Seq_2494,Seq_2822,Seq_2802,Seq_4807,Seq_1956,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_0168	2-methylbutanal	mitochondrion	2.5234	0.0058111	3	9.084	11.1745	Seq_1427,Seq_4855,Seq_5413
s_0171	2-methylbutanol	mitochondrion	2.5234	0.0058111	3	9.084	11.1745	Seq_1427,Seq_4855,Seq_5413
s_0187	2-phenylethanol	mitochondrion	2.5234	0.0058111	3	9.084	11.1745	Seq_1427,Seq_4855,Seq_5413
s_0236	3-methylbutanal	mitochondrion	2.5234	0.0058111	3	9.084	11.1745	Seq_1427,Seq_4855,Seq_5413
s_0682	ethanol	mitochondrion	2.5234	0.0058111	3	9.084	11.1745	Seq_1427,Seq_4855,Seq_5413
s_0931	isoamylol	mitochondrion	2.5234	0.0058111	3	9.084	11.1745	Seq_1427,Seq_4855,Seq_5413
s_0934	isobutanol	mitochondrion	2.5234	0.0058111	3	9.084	11.1745	Seq_1427,Seq_4855,Seq_5413
s_0939	isobutyraldehyde	mitochondrion	2.5234	0.0058111	3	9.084	11.1745	Seq_1427,Seq_4855,Seq_5413
s_1320	phenylacetaldehyde	mitochondrion	2.5234	0.0058111	3	9.084	11.1745	Seq_1427,Seq_4855,Seq_5413
s_1531	tryptophol	mitochondrion	2.5234	0.0058111	3	9.084	11.1745	Seq_1427,Seq_4855,Seq_5413
s_1279	oxygen	peroxisome	2.5172	0.0059153	3	9.0669	3.8028	Seq_5520,Seq_73,Seq_2351
s_0974	L-aspartate	extracellular	2.5153	0.005946	11	5.8013	5.4882	Seq_2889,Seq_21,Seq_1561,Seq_1368,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_3448,Seq_2339,CIC11T00000001530
s_0992	L-glutamate	extracellular	2.4818	0.0065355	10	5.9375	5.7654	Seq_21,Seq_1561,Seq_1368,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_3448,Seq_2339,CIC11T00000001530
s_1440	spermidine	extracellular	2.4699	0.0067571	16	5.1377	5.2421	Seq_127,Seq_21,Seq_1676,Seq_3680,Seq_932,Seq_3882,Seq_1475,Seq_1600,Seq_2532,Seq_517,Seq_1077,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_0965	L-arginine	cytoplasm	2.4602	0.0069426	15	5.2309	5.2297	Seq_21,Seq_1799,Seq_2307,Seq_2822,Seq_4807,Seq_4317,Seq_37,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_3591,Seq_4691,CIC11T00000001530
s_0982	L-cysteine	extracellular	2.4491	0.0071613	8	6.3024	6.2952	Seq_21,Seq_4610,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1182	N(2)-acetyl-L-ornithine	mitochondrion	2.4264	0.0076239	2	10.3958	2.437	Seq_3436,Seq_1772
s_3107	L-serine	endoplasmic reticulum membrane	2.4029	0.0081322	8	6.2252	6.3522	Seq_21,Seq_3269,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_0823	hexadec-2-enoyl-CoA	peroxisome	2.3828	0.0085897	3	8.7004	3.5952	Seq_73,Seq_5003,Seq_2351
s_1513	trans-hexacos-2-enoyl-CoA	peroxisome	2.3828	0.0085897	3	8.7004	3.5952	Seq_73,Seq_5003,Seq_2351
s_1516	trans-octadec-2-enoyl-CoA	peroxisome	2.3828	0.0085897	3	8.7004	3.5952	Seq_73,Seq_5003,Seq_2351
s_2886	but-2-enoyl-CoA	peroxisome	2.3828	0.0085897	3	8.7004	3.5952	Seq_73,Seq_5003,Seq_2351
s_2887	trans-hex-2-enoyl-CoA	peroxisome	2.3828	0.0085897	3	8.7004	3.5952	Seq_73,Seq_5003,Seq_2351
s_2888	trans-oct-2-enoyl-CoA	peroxisome	2.3828	0.0085897	3	8.7004	3.5952	Seq_73,Seq_5003,Seq_2351
s_2889	trans-icos-2-enoyl-CoA	peroxisome	2.3828	0.0085897	3	8.7004	3.5952	Seq_73,Seq_5003,Seq_2351
s_2890	trans-docos-2-enoyl-CoA	peroxisome	2.3828	0.0085897	3	8.7004	3.5952	Seq_73,Seq_5003,Seq_2351
s_2891	trans-tetracos-2-enoyl-CoA	peroxisome	2.3828	0.0085897	3	8.7004	3.5952	Seq_73,Seq_5003,Seq_2351
s_2892	trans-2,cis-9-hexadecadienoyl-CoA	peroxisome	2.3828	0.0085897	3	8.7004	3.5952	Seq_73,Seq_5003,Seq_2351
s_2894	trans-2,cis-7-tetradecadienoyl-CoA	peroxisome	2.3828	0.0085897	3	8.7004	3.5952	Seq_73,Seq_5003,Seq_2351
s_2897	trans-2,cis-9-octadecadienoyl-CoA	peroxisome	2.3828	0.0085897	3	8.7004	3.5952	Seq_73,Seq_5003,Seq_2351
s_2899	trans-2,cis-7-hexadecadienoyl-CoA	peroxisome	2.3828	0.0085897	3	8.7004	3.5952	Seq_73,Seq_5003,Seq_2351
s_0971	L-asparagine	mitochondrion	2.3817	0.0086156	8	6.1897	6.3808	Seq_4439,Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_0020	(R)-acetoin	cytoplasm	2.3789	0.008681	3	8.6898	3.556	Seq_3511,Seq_2497,Seq_5169
s_1056	L-valine	cytoplasm	2.3656	0.0090004	9	5.9498	5.9865	Seq_21,Seq_3093,Seq_584,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_0973	L-aspartate	cytoplasm	2.3652	0.0090094	23	4.5408	6.3714	Seq_3847,Seq_2889,Seq_21,Seq_3051,Seq_629,Seq_1561,Seq_1326,Seq_985,Seq_4224,Seq_4704,Seq_641,Seq_269,Seq_1368,Seq_4666,Seq_5174,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_3448,Seq_2339,Seq_2261,CIC11T00000001530
s_2893	cis-tetradec-7-enoyl-CoA	peroxisome	2.3536	0.0092965	3	8.6206	3.5635	Seq_73,Seq_4462,Seq_2351
s_2895	cis-dodec-5-enoyl-CoA	peroxisome	2.3536	0.0092965	3	8.6206	3.5635	Seq_73,Seq_4462,Seq_2351
s_2898	cis-hexadec-7-enoyl-CoA	peroxisome	2.3536	0.0092965	3	8.6206	3.5635	Seq_73,Seq_4462,Seq_2351
s_2900	cis-tetradec-5-enoyl-CoA	peroxisome	2.3536	0.0092965	3	8.6206	3.5635	Seq_73,Seq_4462,Seq_2351
s_0966	L-arginine	extracellular	2.3519	0.0093378	8	6.1398	6.4234	Seq_21,Seq_2822,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1026	L-lysine	extracellular	2.3519	0.0093378	8	6.1398	6.4234	Seq_21,Seq_2822,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1267	ornithine	extracellular	2.3519	0.0093378	8	6.1398	6.4234	Seq_21,Seq_2822,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1439	spermidine	cytoplasm	2.3309	0.0098804	20	4.68	4.8564	Seq_127,Seq_21,Seq_1676,Seq_648,Seq_3680,Seq_932,Seq_1266,Seq_2030,Seq_3882,Seq_2877,Seq_1475,Seq_1600,Seq_2532,Seq_517,Seq_1077,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_3897	2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate	vacuole	2.3185	0.010212	1	13.2274	0	Seq_4225
s_3898	D-mannose 6-phosphate	vacuole	2.3185	0.010212	1	13.2274	0	Seq_4225
s_3899	D-Glycerate	vacuole	2.3185	0.010212	1	13.2274	0	Seq_4225
s_3900	alpha-D-mannoside	vacuole	2.3185	0.010212	1	13.2274	0	Seq_4225
s_3901	alpha-D-mannopyranose	vacuole	2.3185	0.010212	1	13.2274	0	Seq_4225
s_3902	non glycosylated sugar acceptor	vacuole	2.3185	0.010212	1	13.2274	0	Seq_4225
s_0145	2-acetamido-5-oxopentanoate	mitochondrion	2.2864	0.011117	2	9.9228	3.1059	Seq_2968,Seq_1772
s_1041	L-serine	extracellular	2.2455	0.012369	11	5.4142	5.7384	Seq_21,Seq_1561,Seq_1368,Seq_3270,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_3448,Seq_2339,CIC11T00000001530
s_1047	L-threonine	mitochondrion	2.2295	0.012891	9	5.7346	6.1242	Seq_21,Seq_5343,Seq_3025,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_0981	L-cysteine	cytoplasm	2.2262	0.013002	16	4.8478	5.1542	Seq_878,Seq_21,Seq_1646,Seq_837,Seq_3670,Seq_4814,Seq_2985,Seq_2838,Seq_3785,Seq_4610,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_0184	2-oxoglutarate	peroxisome	2.2251	0.013037	3	8.2699	3.78	Seq_4931,Seq_4704,Seq_4932
s_1035	L-proline	cytoplasm	2.2009	0.013873	11	5.3501	6.0153	Seq_21,Seq_4815,Seq_3550,Seq_4372,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_5337,CIC11T00000001530
s_3965	(S)-Methylmalonate semialdehyde	cytoplasm	2.199	0.013938	3	8.1988	0.79941	Seq_5250,Seq_1783,Seq_2060
s_0239	3-oxodecanoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_0243	3-oxohexacosanoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_0247	3-oxolauroyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_0250	3-oxooctadecanoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_0253	3-oxopalmitoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_0257	3-oxotetradecanoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_2914	acetoacetyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_2915	3-oxohexanoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_2916	3-oxooctanoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_2917	3-oxoicosanoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_2918	3-oxodocosanoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_2919	3-oxotetracosanoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_2920	3-oxo-cis-hexadec-9-enoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_2921	3-oxo-cis-tetradec-7-enoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_2922	3-oxo-cis-dodec-5-enoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_2923	3-oxo-cis-octadec-9-enoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_2924	3-oxo-cis-hexadec-7-enoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_2925	3-oxo-cis-tetradec-5-enoyl-CoA	peroxisome	2.1938	0.014123	2	9.6104	0.16935	Seq_4462,Seq_5003
s_0275	4-aminobutanal	mitochondrion	2.189	0.014297	1	12.6116	0	Seq_3997
s_0738	gamma-aminobutyrate	mitochondrion	2.189	0.014297	1	12.6116	0	Seq_3997
s_0854	indole-3-acetate	mitochondrion	2.189	0.014297	1	12.6116	0	Seq_3997
s_0445	bicarbonate	cytoplasm	2.1814	0.014578	9	5.6585	4.9594	Seq_5039,Seq_4242,Seq_182,Seq_1326,Seq_219,Seq_410,Seq_4803,Seq_5529,Seq_2261
s_0035	(R,R)-2,3-butanediol	cytoplasm	2.1749	0.01482	1	12.5442	0	Seq_2497
s_3750	diacetyl	cytoplasm	2.1749	0.01482	1	12.5442	0	Seq_2497
s_3751	(R)-acetoin	nucleus	2.1749	0.01482	1	12.5442	0	Seq_2497
s_3752	diacetyl	nucleus	2.1749	0.01482	1	12.5442	0	Seq_2497
s_3753	NADH	nucleus	2.1749	0.01482	1	12.5442	0	Seq_2497
s_1529	tryptophol	cytoplasm	2.1747	0.014825	4	7.3383	9.7691	Seq_594,Seq_1427,Seq_4855,Seq_5413
s_0773	glycogen	cytoplasm	2.1474	0.015882	4	7.2737	2.7327	Seq_2541,Seq_819,Seq_952,Seq_188
s_1031	L-methionine	mitochondrion	2.1442	0.016008	9	5.5998	6.2357	Seq_21,Seq_415,Seq_1076,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,CIC11T00000001530
s_1076	lauroyl-CoA	peroxisome	2.1277	0.016682	10	5.4035	4.5331	Seq_945,Seq_73,Seq_4462,Seq_126,Seq_200,Seq_3237,Seq_2834,Seq_2351,Seq_2848,Seq_4716
s_1179	myristoyl-CoA	peroxisome	2.1277	0.016682	10	5.4035	4.5331	Seq_945,Seq_73,Seq_4462,Seq_126,Seq_200,Seq_3237,Seq_2834,Seq_2351,Seq_2848,Seq_4716
s_1305	palmitoyl-CoA	peroxisome	2.1277	0.016682	10	5.4035	4.5331	Seq_945,Seq_73,Seq_4462,Seq_126,Seq_200,Seq_3237,Seq_2834,Seq_2351,Seq_2848,Seq_4716
s_1457	stearoyl-CoA	peroxisome	2.1277	0.016682	10	5.4035	4.5331	Seq_945,Seq_73,Seq_4462,Seq_126,Seq_200,Seq_3237,Seq_2834,Seq_2351,Seq_2848,Seq_4716
s_0680	ethanol	cytoplasm	2.1251	0.016789	4	7.2211	9.8554	Seq_1427,Seq_687,Seq_4855,Seq_5413
s_1042	L-serine	mitochondrion	2.1201	0.017	9	5.5616	6.3141	Seq_1741,Seq_21,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658,Seq_2799,CIC11T00000001530
s_0819	hexacosanoyl-CoA	peroxisome	2.1111	0.017381	4	7.188	3.4507	Seq_73,Seq_200,Seq_3237,Seq_2351
