genes	shortnames	orthologues	proteins
Seq_5039	Seq_5039	CIC11T00000005072	YBR208C
Seq_1403	Seq_1403	CIC11T00000004255	YBR213W
Seq_4242	Seq_4242	CIC11T00000005841	YBR218C
Seq_525	Seq_525	CIC11T00000000270	YBR248C
Seq_4899	Seq_4899	CIC11T00000003587	YBR249C
Seq_1337	Seq_1337	CIC11T00000005817	YBR256C
Seq_1741	Seq_1741	CIC11T00000003372	YBR263W
Seq_3345	Seq_3345	CIC11T00000000743	YBR265W
Seq_3508	Seq_3508	CIC11T00000003495	YBR291C
Seq_3831	Seq_3831	CIC11T00000004722	YBR296C
Seq_2428	Seq_2428	CIC11T00000003548	YCL004W
Seq_4944	Seq_4944	CIC11T00000001136	YCL009C
Seq_801	Seq_801	CIC11T00000001287	YCL030C
Seq_3334	Seq_3334	CIC11T00000002249	YCL052C
Seq_4516	Seq_4516	CIC11T00000000685	YCL064C
Seq_2876	Seq_2876	CIC11T00000002451	YGR224W
Seq_2389	Seq_2389	CIC11T00000000309, CIC11T00000001270	YCR010C
Seq_1913	Seq_1913	CIC11T00000001532	YCR012W
Seq_4439	Seq_4439	CIC11T00000004483	YCR024C
Seq_2357	Seq_2357	CIC11T00000002341	YCR028C
Seq_339	Seq_339	CIC11T00000002084	YCR034W
Seq_3129	Seq_3129	CIC11T00000005305	YCR036W
Seq_4525	Seq_4525	CIC11T00000001782	YCR037C
Seq_2531	Seq_2531	CIC11T00000001373	YCR053W
Seq_3803	Seq_3803	CIC11T00000001546	YCR098C
Seq_461	Seq_461	CIC11T00000000039	YCR105W
Seq_1091	Seq_1091	CIC11T00000005069	YDL015C
Seq_1021	Seq_1021	CIC11T00000005726	YDL042C
Seq_2282	Seq_2282	Seq_2282	YDL045C
Seq_465	Seq_465	CIC11T00000001419	YDL052C
Seq_2722	Seq_2722	CIC11T00000002892	YDL055C
Seq_4931	Seq_4931	CIC11T00000001594	YDL066W
Seq_1274	Seq_1274	CIC11T00000002890	YDL078C
Seq_3511	Seq_3511	CIC11T00000001377	YDL080C
Seq_311	Seq_311	CIC11T00000003011	YDL090C
Seq_2641	Seq_2641	CIC11T00000002489	YDL095W
Seq_4312	Seq_4312	CIC11T00000005234	YDL100C
Seq_3518	Seq_3518	CIC11T00000005724	YDL103C
Seq_885	Seq_885	CIC11T00000002455	YDL131W
Seq_182	Seq_182	CIC11T00000004010	YDL141W
Seq_1084	Seq_1084	CIC11T00000000021	YDL142C
Seq_594	Seq_594	CIC11T00000002318	YDL168W
Seq_224	Seq_224	CIC11T00000000803	YDL171C
Seq_296	Seq_296	CIC11T00000005917	YDL185W
Seq_1576	Seq_1576	CIC11T00000000762	YDL198C
Seq_3914	Seq_3914	CIC11T00000001180	YDL205C
Seq_695	Seq_695	CIC11T00000004240	YDL210W
Seq_2549	Seq_2549	CIC11T00000003324	YDL215C
Seq_1438	Seq_1438	CIC11T00000001884	YDL239C
Seq_1771	Seq_1771	CIC11T00000002338	YDR007W
Seq_2684	Seq_2684	CIC11T00000002047	YDR017C
Seq_5046	Seq_5046	CIC11T00000005428	YDR019C
Seq_2218	Seq_2218	CIC11T00000000768	YDR023W
Seq_2417	Seq_2417	CIC11T00000002236	YDR035W
Seq_4283	Seq_4283	CIC11T00000000538	YDR037W
Seq_556	Seq_556	CIC11T00000004087	YDR044W
Seq_5076	Seq_5076	CIC11T00000002862	YDR047W
Seq_4983	Seq_4983	CIC11T00000002914	YDR050C
Seq_3823	Seq_3823	CIC11T00000001830	YDR058C
Seq_4243	Seq_4243	CIC11T00000002424	YDR062W
Seq_5370	Seq_5370	CIC11T00000001826	YDR072C
Seq_5049	Seq_5049	CIC11T00000004047	YDR074W
Seq_4386	Seq_4386	CIC11T00000001658	YDR098C
Seq_1129	Seq_1129	CIC11T00000004227	YDR127W
Seq_3016	Seq_3016	CIC11T00000004435	YDR148C
Seq_3667	Seq_3667	CIC11T00000003874	YDR158W
Seq_5073	Seq_5073	CIC11T00000003490	YDR173C
Seq_1638	Seq_1638	CIC11T00000001542	YDR178W
Seq_1377	Seq_1377	CIC11T00000002168	YDR196C
Seq_899	Seq_899	CIC11T00000005463	YDR204W
Seq_2209	Seq_2209	CIC11T00000003111	YDR208W
Seq_5082	Seq_5082	CIC11T00000000255, CIC11T00000003960	YDR226W
Seq_4297	Seq_4297	CIC11T00000004000	YDR232W
Seq_732	Seq_732	CIC11T00000002964	YDR234W
Seq_4779	Seq_4779	CIC11T00000002156	YDR236C
Seq_5520	Seq_5520	CIC11T00000000459	YDR256C
Seq_2050	Seq_2050	CIC11T00000001192	YDR261C
Seq_2878	Seq_2878	CIC11T00000001662	YDR268W
Seq_4817	Seq_4817	CIC11T00000004041	YDR284C
Seq_4125	Seq_4125	CIC11T00000005227	YDR294C
Seq_486	Seq_486	CIC11T00000004093	YDR297W
Seq_1948	Seq_1948	CIC11T00000004364	YDR300C
Seq_5394	Seq_5394	CIC11T00000001627	YDR302W
Seq_2264	Seq_2264	CIC11T00000001576	YDR305C
Seq_559	Seq_559	CIC11T00000004774	YDR315C
Seq_2889	Seq_2889	CIC11T00000000807	YDR321W
Seq_4247	Seq_4247	CIC11T00000003514	YDR354W
Seq_176	Seq_176	CIC11T00000002029	YDR367W
Seq_1097	Seq_1097	CIC11T00000005213	YDR373W
Seq_518	Seq_518	CIC11T00000004670	YDR376W
Seq_503	Seq_503	CIC11T00000002584	YDR380W
Seq_4628	Seq_4628	CIC11T00000000535	YDR399W
Seq_3773	Seq_3773	CIC11T00000003992	YDR400W
Seq_120	Seq_120	CIC11T00000001646	YDR403W
Seq_1029	Seq_1029	CIC11T00000004160	YDR408C
Seq_528	Seq_528	CIC11T00000003809	YML028W
Seq_497	Seq_497	CIC11T00000001338	YDR454C
Seq_1635	Seq_1635	CIC11T00000002013	YDR481C
Seq_448	Seq_448	CIC11T00000005217	YDR487C
Seq_1587	Seq_1587	CIC11T00000005627	YDR502C
Seq_21	Seq_21	CIC11T00000005086	YDR508C
Seq_4777	Seq_4777	CIC11T00000003301	YDR513W
Seq_4622	Seq_4622	CIC11T00000002122	YDR530C
Seq_5122	Seq_5122	CIC11T00000002093	YDR531W
Seq_847	Seq_847	CIC11T00000000158	YDR536W
Seq_1335	Seq_1335	CIC11T00000001211	YEL021W
Seq_2011	Seq_2011	CIC11T00000003492	YEL027W
Seq_3717	Seq_3717	CIC11T00000004893	YEL029C
Seq_4897	Seq_4897	CIC11T00000001752	YEL038W
Seq_130	Seq_130	CIC11T00000004886	YEL042W
Seq_288	Seq_288	CIC11T00000002735	YEL046C
Seq_3751	Seq_3751	CIC11T00000000227	YEL051W
Seq_1503	Seq_1503	CIC11T00000004032	YEL058W
Seq_2411	Seq_2411	CIC11T00000000589	YER003C
Seq_894	Seq_894	CIC11T00000003276	YER005W
Seq_576	Seq_576	CIC11T00000005326	YER014W
Seq_945	Seq_945	CIC11T00000004168	YER015W
Seq_184	Seq_184	CIC11T00000004084	YER019W
Seq_4815	Seq_4815	CIC11T00000004341	YER023W
Seq_4376	Seq_4376	CIC11T00000004526	YER024W
Seq_3269	Seq_3269	CIC11T00000001529	YER026C
Seq_3939	Seq_3939	CIC11T00000004433	YER043C
Seq_3051	Seq_3051	CIC11T00000002774	YER052C
Seq_348	Seq_348	CIC11T00000000141	YER053C
Seq_2064	Seq_2064	CIC11T00000005934	YER055C
Seq_2544	Seq_2544	CIC11T00000004787	YER056C
Seq_59	Seq_59	CIC11T00000003901	YER061C
Seq_1208	Seq_1208	CIC11T00000004293	YER065C
Seq_2968	Seq_2968	CIC11T00000003235	YER069W
Seq_916	Seq_916	CIC11T00000004480	YER070W
Seq_3997	Seq_3997	CIC11T00000003596	YER073W
Seq_5343	Seq_5343	CIC11T00000004351	YER086W
Seq_4725	Seq_4725	CIC11T00000005619	YER090W
Seq_4816	Seq_4816	CIC11T00000002880	YER091C
Seq_629	Seq_629	CIC11T00000003028	YBL089W
Seq_3845	Seq_3845	CIC11T00000004072	YER152C
Seq_4802	Seq_4802	CIC11T00000005201	YER175C
Seq_797	Seq_797	CIC11T00000002264	YER183C
Seq_4415	Seq_4415	CIC11T00000001428	YFL001W
Seq_3640	Seq_3640	CIC11T00000002016	YFL017C
Seq_5119	Seq_5119	CIC11T00000002614	YFL018C
Seq_4978	Seq_4978	CIC11T00000003448	YFL022C
Seq_3693	Seq_3693	CIC11T00000000972	YFL030W
Seq_1321	Seq_1321	CIC11T00000002727	YFL045C
Seq_3725	Seq_3725	CIC11T00000003533	YFL053W
Seq_1561	Seq_1561	CIC11T00000004487	YFL055W
Seq_2541	Seq_2541	CIC11T00000004649	YFR015C
Seq_1017	Seq_1017	CIC11T00000002896	YFR019W
Seq_1633	Seq_1633	CIC11T00000004831	YFR025C
Seq_926	Seq_926	CIC11T00000000292	YFR030W
Seq_5449	Seq_5449	CIC11T00000004048	YFR047C
Seq_3898	Seq_3898	CIC11T00000000068	YGL001C
Seq_4343	Seq_4343	CIC11T00000001434	YGL009C
Seq_3077	Seq_3077	CIC11T00000005588	YGL012W
Seq_571	Seq_571	CIC11T00000005252	YGL026C
Seq_934	Seq_934	CIC11T00000001827	YGL037C
Seq_1584	Seq_1584	CIC11T00000005738	YGL040C
Seq_3807	Seq_3807	CIC11T00000001566	YGL055W
Seq_3963	Seq_3963	CIC11T00000003241	YGL067W
Seq_4958	Seq_4958	CIC11T00000001765	YGL077C
Seq_3401	Seq_3401	CIC11T00000000886	YGL080W
Seq_370	Seq_370	CIC11T00000002764	YGL119W
Seq_5278	Seq_5278	CIC11T00000000119	YGL125W
Seq_102	Seq_102	CIC11T00000002844	YGL142C
Seq_3477	Seq_3477	CIC11T00000001012	YGL148W
Seq_2013	Seq_2013	CIC11T00000000901	YGL154C
Seq_1830	Seq_1830	CIC11T00000004935	YGL184C
Seq_1825	Seq_1825	CIC11T00000001369, CIC11T00000005809	YGL186C
Seq_4947	Seq_4947	CIC11T00000001731	YGL202W
Seq_73	Seq_73	CIC11T00000003844	YGL205W
Seq_3120	Seq_3120	CIC11T00000001838	YGL224C
Seq_4100	Seq_4100	CIC11T00000002133	YGL225W
Seq_4104	Seq_4104	CIC11T00000004446	YGL234W
Seq_4520	Seq_4520	CIC11T00000000628	YGL245W
Seq_1484	Seq_1484	CIC11T00000004805	YGL248W
Seq_4642	Seq_4642	CIC11T00000001933, CIC11T00000002950	YGL253W
Seq_4521	Seq_4521	CIC11T00000005735	YGR007W
Seq_3452	Seq_3452	CIC11T00000004057	YGR019W
Seq_3242	Seq_3242	CIC11T00000001496	YGR020C
Seq_3713	Seq_3713	CIC11T00000001498	YGR032W
Seq_2112	Seq_2112	CIC11T00000004468	YGR055W
Seq_3176	Seq_3176	CIC11T00000005197	YGR060W
Seq_4680	Seq_4680	CIC11T00000005474	YGR061C
Seq_2457	Seq_2457	CIC11T00000004225	YGR065C
Seq_3093	Seq_3093	CIC11T00000003074	YGR094W
Seq_741	Seq_741	CIC11T00000000386	YGR096W
Seq_3386	Seq_3386	CIC11T00000003941	YGR110W
Seq_91	Seq_91	CIC11T00000001918	YGR121C
Seq_684	Seq_684	CIC11T00000001462	YGR143W
Seq_4460	Seq_4460	CIC11T00000001606	YGR155W
Seq_1775	Seq_1775	CIC11T00000000674	YGR157W
Seq_2029	Seq_2029	CIC11T00000001815	YGR170W
Seq_415	Seq_415	CIC11T00000001772	YGR171C
Seq_1442	Seq_1442	CIC11T00000000798	YGR185C
Seq_2242	Seq_2242	CIC11T00000002778	YGR194C
Seq_331	Seq_331	CIC11T00000001555	YGR202C
Seq_5126	Seq_5126	CIC11T00000002237	YGR208W
Seq_5138	Seq_5138	CIC11T00000002641	YGR209C
Seq_1807	Seq_1807	CIC11T00000004298	YGR240C
Seq_5187	Seq_5187	CIC11T00000003285	YGR243W
Seq_812	Seq_812	CIC11T00000000395	YGR244C
Seq_4019	Seq_4019	CIC11T00000003100	YGR248W
Seq_625	Seq_625	CIC11T00000002002	YGR255C
Seq_533	Seq_533	CIC11T00000002162	YGR256W
Seq_278	Seq_278	CIC11T00000001567	YGR260W
Seq_3633	Seq_3633	CIC11T00000000596	YGR264C
Seq_1812	Seq_1812	CIC11T00000001394	YGR267C
Seq_1412	Seq_1412	CIC11T00000002817	YGR277C
Seq_1650	Seq_1650	CIC11T00000002769	YGR282C
Seq_719	Seq_719	CIC11T00000004414	YGR286C
Seq_3380	Seq_3380	CIC11T00000001604	YGR289C
Seq_2613	Seq_2613	CIC11T00000001083	YHL011C
Seq_1676	Seq_1676	CIC11T00000003181	YHL016C
Seq_5067	Seq_5067	CIC11T00000005425	YHL032C
Seq_3255	Seq_3255	CIC11T00000004070	YHR002W
Seq_2221	Seq_2221	CIC11T00000000984	YHR007C
Seq_1799	Seq_1799	CIC11T00000003659	YHR019C
Seq_3550	Seq_3550	CIC11T00000002292	YHR020W
Seq_2975	Seq_2975	CIC11T00000004957	YHR025W
Seq_4241	Seq_4241	CIC11T00000003591	YHR026W
Seq_1802	Seq_1802	CIC11T00000002465	YHR037W
Seq_3757	Seq_3757	CIC11T00000004920	YHR039C-A
Seq_3928	Seq_3928	CIC11T00000004536	YHR042W
Seq_2063	Seq_2063	CIC11T00000002705	YHR046C
Seq_865	Seq_865	CIC11T00000001032	YHR063C
Seq_648	Seq_648	CIC11T00000005546	YHR068W
Seq_1878	Seq_1878	CIC11T00000001600	YHR072W
Seq_2562	Seq_2562	CIC11T00000000244	YHR074W
Seq_2307	Seq_2307	CIC11T00000001754	YHR091C
Seq_1183	Seq_1183	CIC11T00000001159	YHR096C
Seq_2023	Seq_2023	CIC11T00000003317	YHR100C
Seq_2193	XYL1	CIC11T00000000334	xyl1
Seq_136	Seq_136	CIC11T00000001250	YHR106W
Seq_4142	Seq_4142	CIC11T00000004148	YHR128W
Seq_3641	Seq_3641	CIC11T00000005287	YHR137W
Seq_3622	Seq_3622	CIC11T00000002545	YHR144C
Seq_5517	Seq_5517	CIC11T00000005806	YHR190W
Seq_584	Seq_584	CIC11T00000004788	YHR208W
Seq_5016	Seq_5016	CIC11T00000001956	YIL006W
Seq_3886	Seq_3886	CIC11T00000003920	YIL010W
Seq_1939	Seq_1939	CIC11T00000002053	YOR328W
Seq_1789	Seq_1789	CIC11T00000000216	YIL020C
Seq_538	Seq_538	CIC11T00000002889	YIL053W
Seq_2885	Seq_2885	CIC11T00000000232	YIL074C
Seq_2700	Seq_2700	CIC11T00000005405	YIL078W
Seq_1646	Seq_1646	CIC11T00000000211	YIL083C
Seq_2734	Seq_2734	CIC11T00000000630	YIL094C
Seq_3786	Seq_3786	CIC11T00000004548	YIL099W
Seq_2038	Seq_2038	CIC11T00000002304	YIL107C
Seq_535	Seq_535	CIC11T00000002938	YIL116W
Seq_4530	Seq_4530	CIC11T00000000371	YIL124W
Seq_4922	Seq_4922	CIC11T00000001794	YIL125W
Seq_457	Seq_457	CIC11T00000004040	YIL134W
Seq_782	Seq_782	CIC11T00000005885	YER013W
Seq_1347	Seq_1347	CIC11T00000000983	YIL155C
Seq_4462	Seq_4462	CIC11T00000000841	YIL160C
Seq_3213	Seq_3213	CIC11T00000003527	YIL162W
Seq_4648	Seq_4648	CIC11T00000003405	YIR027C
Seq_5177	Seq_5177	CIC11T00000004359	YIR029W
Seq_1192	Seq_1192	CIC11T00000005543	YIR032C
Seq_177	Seq_177	CIC11T00000004442	YIR034C
Seq_3349	Seq_3349	CIC11T00000002425, CIC11T00000001333	YIR037W
Seq_4515	Seq_4515	CIC11T00000002144	YJL005W
Seq_893	Seq_893	CIC11T00000003395	YJL026W
Seq_650	Seq_650	CIC11T00000001421	YJL060W
Seq_3379	Seq_3379	CIC11T00000001974	YJL068C
Seq_4641	Seq_4641	CIC11T00000002630	YJL071W
Seq_3734	Seq_3734	CIC11T00000004140	YJL088W
Seq_4747	Seq_4747	CIC11T00000003162	YJL091C
Seq_1867	Seq_1867	CIC11T00000002861	YJL097W
Seq_744	Seq_744	CIC11T00000004962	YJL100W
Seq_837	Seq_837	CIC11T00000005119	YJL101C
Seq_5197	Seq_5197	CIC11T00000003930	YJL121C
Seq_4504	Seq_4504	CIC11T00000002959	YJL129C
Seq_1326	Seq_1326	CIC11T00000001665	YJL130C
Seq_1149	Seq_1149	CIC11T00000002812	YJL134W
Seq_1823	Seq_1823	CIC11T00000005797	YJL139C
Seq_4865	Seq_4865	CIC11T00000002733	YJL153C
Seq_4589	Seq_4589	CIC11T00000003146	YJL155C
Seq_3551	Seq_3551	CIC11T00000002458	YJL167W
Seq_2349	Seq_2349	CIC11T00000000295	YJL212C
Seq_4411	Seq_4411	CIC11T00000001581	YJR001W
Seq_784	Seq_784	CIC11T00000005778	YJR009C
Seq_2436	Seq_2436	CIC11T00000005199	YJR010W
Seq_2629	Seq_2629	CIC11T00000003370	YJR013W
Seq_3340	Seq_3340	CIC11T00000001717	YJR016C
Seq_126	Seq_126	CIC11T00000005703	YJR019C
Seq_2215	Seq_2215	CIC11T00000001719	YJR025C
Seq_5483	Seq_5483	CIC11T00000000176	YJR049C
Seq_3210	Seq_3210	CIC11T00000003456	YJR057W
Seq_2713	Seq_2713	CIC11T00000002261	YJR073C
Seq_191	Seq_191	CIC11T00000001522	YJR077C
Seq_4619	Seq_4619	CIC11T00000004802	YJR078W
Seq_4706	Seq_4706	CIC11T00000002372	YJR095W
Seq_4639	Seq_4639	CIC11T00000003057	YJR105W
Seq_5004	Seq_5004	CIC11T00000000939	YJR137C
Seq_3087	Seq_3087	CIC11T00000003351	YJR139C
Seq_4384	Seq_4384	CIC11T00000001355	YJR143C
Seq_1784	Seq_1784	CIC11T00000003267	YJR152W
Seq_2189	Seq_2189	CIC11T00000001944	YJR159W
Seq_1780	Seq_1780	CIC11T00000002633	YKL001C
Seq_2946	Seq_2946	CIC11T00000004777	YKL004W
Seq_1925	Seq_1925	CIC11T00000001766	YKL019W
Seq_2406	Seq_2406	CIC11T00000000787	YKL024C
Seq_2067	Seq_2067	CIC11T00000004839	YKL029C
Seq_4468	Seq_4468	CIC11T00000005804	YKL035W
Seq_589	Seq_589	CIC11T00000005763	YKL055C
Seq_4943	Seq_4943	CIC11T00000000009	YKL060C
Seq_3420	Seq_3420	CIC11T00000000844	YKL067W
Seq_2917	Seq_2917	CIC11T00000003706	YKL080W
Seq_4455	Seq_4455	CIC11T00000002957	YKL085W
Seq_152	Seq_152	CIC11T00000000830	YKL088W
Seq_3836	Seq_3836	CIC11T00000002149	YKL094W
Seq_2814	Seq_2814	CIC11T00000003584	YKL104C
Seq_985	Seq_985	CIC11T00000000511	YKL106W
Seq_4315	Seq_4315	CIC11T00000003185	YKL120W
Seq_2860	Seq_2860	CIC11T00000005042	YKL127W
Seq_4590	Seq_4590	CIC11T00000004699	YKL140W
Seq_2772	Seq_2772	CIC11T00000002558	YKL141W
Seq_3054	Seq_3054	CIC11T00000000863	YKL148C
Seq_4962	Seq_4962	CIC11T00000003673	YKL152C
Seq_3375	Seq_3375	CIC11T00000005096	YKL165C
Seq_3680	Seq_3680	CIC11T00000003966	YKL174C
Seq_356	Seq_356	CIC11T00000000781	YKL181W
Seq_3367	Seq_3367	CIC11T00000002522	YKL184W
Seq_200	Seq_200	CIC11T00000003847	YKL188C
Seq_1734	Seq_1734	CIC11T00000002775	YKL192C
Seq_3025	Seq_3025	CIC11T00000003197	YKL194C
Seq_5389	Seq_5389	CIC11T00000004068	YKL211C
Seq_4857	Seq_4857	CIC11T00000000851	YKL212W
Seq_325	Seq_325	CIC11T00000002800	YKL217W
Seq_5003	Seq_5003	CIC11T00000002698	YKR009C
Seq_727	Seq_727	CIC11T00000002631	YKR031C
Seq_1778	Seq_1778	CIC11T00000003179	YKR043C
Seq_819	Seq_819	CIC11T00000003307	YKR058W
Seq_2443	Seq_2443	CIC11T00000002176	YKR069W
Seq_4567	Seq_4567	CIC11T00000004937	YKR080W
Seq_2377	Seq_2377	CIC11T00000005122	YKR089C
Seq_2468	Seq_2468	CIC11T00000000708	YKR097W
Seq_1439	Seq_1439	CIC11T00000001332	YLL012W
Seq_4224	Seq_4224	CIC11T00000004088	YLL018C
Seq_932	Seq_932	CIC11T00000004840	YLL028W
Seq_3308	Seq_3308	CIC11T00000002194	YLL031C
Seq_4387	Seq_4387	CIC11T00000004944	YLL041C
Seq_398	Seq_398	CIC11T00000000420	YLL048C
Seq_1395	Seq_1395	CIC11T00000005232, CIC11T00000004597	YLL057C
Seq_4511	Seq_4511	CIC11T00000003374	YLR017W
Seq_4704	Seq_4704	CIC11T00000004354	YLR027C
Seq_354	Seq_354	CIC11T00000004592	YLR056W
Seq_1946	Seq_1946	CIC11T00000002681	YLR060W
Seq_3825	Seq_3825	CIC11T00000005441	YLR089C
Seq_1602	Seq_1602	CIC11T00000004567	YLR092W
Seq_3959	Seq_3959	CIC11T00000002244	YLR100W
Seq_3267	Seq_3267	CIC11T00000001208	YLR109W
Seq_479	Seq_479	CIC11T00000002051	YLR133W
Seq_5072	Seq_5072	CIC11T00000005511	YLR138W
Seq_5314	Seq_5314	CIC11T00000002312	YLR142W
Seq_1266	Seq_1266	CIC11T00000001821	YLR146C
Seq_3421	Seq_3421	CIC11T00000005591	YLR172C
Seq_5281	Seq_5281	CIC11T00000001304	YLR189C
Seq_4799	Seq_4799	CIC11T00000005603	YLR201C
Seq_3604	Seq_3604	CIC11T00000000801	YLR209C
Seq_1295	Seq_1295	CIC11T00000001668	YLR231C
Seq_48	Seq_48	CIC11T00000000492	YLR240W
Seq_2195	Seq_2195	CIC11T00000005537	YLR260W
Seq_5441	Seq_5441	CIC11T00000000084	YLR284C
Seq_2325	Seq_2325	CIC11T00000000378	YLR285W
Seq_1071	Seq_1071	CIC11T00000003715	YLR299W
Seq_3283	Seq_3283	CIC11T00000005718	YLR300W
Seq_3670	Seq_3670	CIC11T00000000977	YLR303W
Seq_1262	Seq_1262	CIC11T00000002394	YLR305C
Seq_1839	Seq_1839	CIC11T00000001081	YLR308W
Seq_3910	Seq_3910	CIC11T00000004262	YLR328W
Seq_4879	Seq_4879	CIC11T00000001271	YLR348C
Seq_772	Seq_772	CIC11T00000002869	YLR354C
Seq_2070	Seq_2070	CIC11T00000000612	YLR355C
Seq_5428	Seq_5428	CIC11T00000005279	YLR359W
Seq_4134	Seq_4134	CIC11T00000000016	YLR372W
Seq_2122	Seq_2122	CIC11T00000003867	YLR377C
Seq_2678	Seq_2678	CIC11T00000004909	YLR382C
Seq_1525	Seq_1525	CIC11T00000004999	YLR386W
Seq_433	Seq_433	CIC11T00000000124	YLR410W
Seq_3505	Seq_3505	CIC11T00000000888	YLR420W
Seq_2494	Seq_2494	CIC11T00000000231	YLR438W
Seq_1285	Seq_1285	CIC11T00000001908	YLR447C
Seq_1310	Seq_1310	CIC11T00000003724	YML004C
Seq_829	Seq_829	CIC11T00000000183	YML008C
Seq_2783	Seq_2783	CIC11T00000001715	YML022W
Seq_2224	Seq_2224	CIC11T00000004389	YML035C
Seq_2858	Seq_2858	CIC11T00000001038	YML042W
Seq_192	Seq_192	CIC11T00000000899	YML056C
Seq_1451	Seq_1451	CIC11T00000005036	YML059C
Seq_4234	Seq_4234	CIC11T00000001951	YML075C
Seq_5271	Seq_5271	CIC11T00000003050	YML086C
Seq_4700	Seq_4700	CIC11T00000000775	YML100W
Seq_1271	Seq_1271	CIC11T00000002353	YML110C
Seq_2258	Seq_2258	CIC11T00000005194	YML123C
Seq_3494	Seq_3494	CIC11T00000002923	YML126C
Seq_1136	Seq_1136	CIC11T00000000385	YMR006C
Seq_1969	Seq_1969	CIC11T00000004892	YMR009W
Seq_530	Seq_530	CIC11T00000005132	YMR013C
Seq_4631	Seq_4631	CIC11T00000004780	YMR015C
Seq_2030	Seq_2030	CIC11T00000002666	YMR020W
Seq_2297	Seq_2297	CIC11T00000001779	YMR041C
Seq_135	Seq_135	CIC11T00000002999	YMR054W
Seq_3436	Seq_3436	CIC11T00000004253	YMR062C
Seq_1427	Seq_1427	CIC11T00000000284	YMR083W
Seq_4259	Seq_4259	CIC11T00000002138	YMR101C
Seq_5498	Seq_5498	CIC11T00000004439	YMR108W
Seq_2281	Seq_2281	CIC11T00000002578	YMR113W
Seq_1054	Seq_1054	CIC11T00000002903	YMR120C
Seq_4920	Seq_4920	CIC11T00000005447	YMR145C
Seq_291	Seq_291	CIC11T00000002737	YMR165C
Seq_3263	Seq_3263	CIC11T00000000721	YMR170C
Seq_1684	Seq_1684	CIC11T00000000468	YMR189W
Seq_252	Seq_252	CIC11T00000005376	YMR202W
Seq_891	Seq_891	CIC11T00000000882	YMR208W
Seq_1517	Seq_1517	CIC11T00000005327	YMR217W
Seq_4476	Seq_4476	CIC11T00000000667	YMR220W
Seq_2272	Seq_2272	CIC11T00000002481	YMR226C
Seq_2022	Seq_2022	CIC11T00000003579	YMR241W
Seq_783	Seq_783	CIC11T00000003783	YMR250W
