rxns	rxnNames	formulas	grRules
r_0029	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	(2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] => 4-methyl-2-oxopentanoate[c] + carbon dioxide[c]	Seq_584
r_0030	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	(2S)-2-isopropyl-3-oxosuccinate[m] + H+[m] => 4-methyl-2-oxopentanoate[m] + carbon dioxide[m]	Seq_584
r_0032	3',5'-bisphosphate nucleotidase	adenosine 3',5'-bismonophosphate[c] + H2O[c] => AMP[c] + phosphate[c]	Seq_3166
r_0033	3',5'-cyclic-nucleotide phosphodiesterase	3',5'-cyclic AMP[c] + H2O[c] => AMP[c] + H+[c]	Seq_1484 or Seq_2832
r_0034	3',5'-cyclic-nucleotide phosphodiesterase	3',5'-cyclic dAMP[c] + H2O[c] => dAMP[c] + H+[c]	Seq_2832
r_0035	3',5'-cyclic-nucleotide phosphodiesterase	3',5'-cyclic IMP[c] + H2O[c] => H+[c] + IMP[c]	Seq_2832
r_0036	3',5'-cyclic-nucleotide phosphodiesterase	3',5'-cyclic GMP[c] + H2O[c] => GMP[c] + H+[c]	Seq_2832
r_0037	3',5'-cyclic-nucleotide phosphodiesterase	3',5'-cyclic CMP[c] + H2O[c] => CMP[c] + H+[c]	Seq_2832
r_0038	3,4-dihydroxy-2-butanone-4-phosphate synthase	D-ribulose 5-phosphate[c] => 2-hydroxy-3-oxobutyl phosphate[c] + formate[c] + H+[c]	Seq_448
r_0039	3-dehydroquinate dehydratase	3-dehydroquinate[c] => 3-dehydroshikimate[c] + H2O[c]	Seq_1129
r_0040	3-dehydroquinate synthase	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] => 3-dehydroquinate[c] + phosphate[c]	Seq_1129
r_0041	3-dehydrosphinganine reductase	3-ketosphinganine[er] + 2 H+[er] + NADPH[er] => NADP(+)[er] + sphinganine[er]	Seq_3345
r_0042	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]	Seq_4899 or Seq_2417
r_0043	3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	3-hexaprenyl-4-hydroxybenzoic acid[c] + 0.5 oxygen[c] => 3-hexaprenyl-4,5-dihydroxybenzoic acid[c]	Seq_3915 or Seq_518
r_0044	3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid[m] + H+[m] => 2-hexaprenyl-6-methoxyphenol[m] + carbon dioxide[m]	Seq_3875 and Seq_845
r_0045	3-hydroxy-L-kynurenine hydrolase	3-hydroxy-L-kynurenine[c] + H2O[c] => 3-hydroxyanthranilate[c] + L-alanine[c]	Seq_1295
r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	(S)-3-hydroxytetradecanoyl-CoA[p] + NAD[p] => 3-oxotetradecanoyl-CoA[p] + H+[p] + NADH[p]	Seq_5003
r_0058	3-hydroxyanthranilate 3,4-dioxygenase	3-hydroxyanthranilate[c] + oxygen[c] => 2-amino-3-carboxymuconate-6-semialdehyde[c] + H+[c]	Seq_2215
r_0059	3-isopropylmalate 3-methyltransferase	(2R,3S)-3-isopropylmalate[c] + S-adenosyl-L-methionine[c] => 3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate[c] + S-adenosyl-L-homocysteine[c]	Seq_4802
r_0060	3-isopropylmalate dehydratase	(2R,3S)-3-isopropylmalate[c] <=> 2-isopropylmaleic acid[c] + H2O[c]	Seq_4343
r_0062	3-methyl-2-oxobutanoate decarboxylase	3-methyl-2-oxobutanoate[c] + H+[c] => carbon dioxide[c] + isobutyraldehyde[c]	Seq_3511 or Seq_5169
r_0063	3-methyl-2-oxobutanoate hydroxymethyltransferase	3-methyl-2-oxobutanoate[m] + 5,10-methylenetetrahydrofolate[m] + H2O[m] => 2-dehydropantoate[m] + THF[m]	Seq_3519
r_0064	3-methyl-2-oxopentanoate decarboxylase	(S)-3-methyl-2-oxopentanoate[c] + H+[c] => 2-methylbutanal[c] + carbon dioxide[c]	Seq_3511 or Seq_5169
r_0065	3-phosphoshikimate 1-carboxyvinyltransferase	3-phosphoshikimic acid[c] + phosphoenolpyruvate[c] => 5-O-(1-carboxyvinyl)-3-phosphoshikimic acid[c] + phosphate[c]	Seq_1129
r_0066	4-amino-4-deoxychorismate synthase	chorismate[c] + L-glutamine[c] => 4-amino-4-deoxychorismate[c] + L-glutamate[c]	Seq_78
r_0067	4-aminobenzoate synthase	4-amino-4-deoxychorismate[c] => 4-aminobenzoate[c] + H+[c] + pyruvate[c]	Seq_1418
r_0068	4-aminobutyrate transaminase	2-oxoglutarate[c] + gamma-aminobutyrate[c] => L-glutamate[c] + succinic semialdehyde[c]	Seq_3452 or Seq_3632
r_0069	4-hydroxy-L-threonine synthase	4-(phosphonooxy)-L-threonine[c] + H2O[c] => 4-hydroxy-L-threonine[c] + phosphate[c]	Seq_2531
r_0070	4-hydroxybenzoate formation	4-hydroxybenzoyl-CoA[m] + H2O[m] => 4-hydroxybenzoate[m] + coenzyme A[m] + H+[m]	
r_0072	4-methyl-2-oxopentanoate decarboxylase	4-methyl-2-oxopentanoate[c] + H+[c] => 3-methylbutanal[c] + carbon dioxide[c]	Seq_3511 or Seq_5169
r_0073	4PP-IP5 depyrophosphorylation to IP6	4-diphospho-1D-myo-inositol pentakisphosphate[c] + H2O[c] <=> 2 H+[c] + myo-inositol hexakisphosphate[c] + phosphate[c]	Seq_433 or Seq_4056
r_0074	4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	4-diphospho-1D-myo-inositol pentakisphosphate[c] + ATP[c] + 2 H+[c] => 4,5-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + ADP[c] + H2O[c]	Seq_2684
r_0075	5'-methylthioadenosine phosphorylase	5'-S-methyl-5'-thioadenosine[c] + phosphate[c] => adenine[c] + S-methyl-5-thio-alpha-D-ribose 1-phosphate[c]	Seq_4511
r_0076	5'-nucleotidase (CMP)	CMP[c] + H2O[c] => cytidine[c] + phosphate[c]	Seq_1067 or Seq_3120 or Seq_573
r_0077	5'-nucleotidase (IMP)	H2O[c] + IMP[c] => inosine[c] + phosphate[c]	Seq_908
r_0078	5'-nucleotidase (UMP)	H2O[c] + UMP[c] => phosphate[c] + uridine[c]	Seq_1067 or Seq_3120 or Seq_573
r_0079	5'-phosphoribosylformyl glycinamidine synthetase	5'-phosphoribosyl-N-formylglycineamide[c] + ATP[c] + H2O[c] + L-glutamine[c] => 5'-phosphoribosyl-N-formylglycineamidine[c] + ADP[c] + H+[c] + L-glutamate[c] + phosphate[c]	Seq_4680
r_0080	5,10-methylenetetrahydrofolate reductase (NADPH)	5,10-methylenetetrahydrofolate[c] + 2 H+[c] + NADPH[c] => 5-methyltetrahydrofolate[c] + NADP(+)[c]	Seq_5278 or Seq_489
r_0081	5-aminolevulinate synthase	H+[m] + L-glycine[m] + succinyl-CoA[m] => 5-aminolevulinate[m] + carbon dioxide[m] + coenzyme A[m]	Seq_4297
r_0082	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase	5-diphospho-1D-myo-inositol pentakisphosphate[c] + H2O[c] => 2 H+[c] + myo-inositol hexakisphosphate[c] + phosphate[c]	Seq_4056
r_0083	5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase	ATP[c] + H+[c] + myo-inositol hexakisphosphate[c] => 5-diphospho-1D-myo-inositol pentakisphosphate[c] + ADP[c]	Seq_2684
r_0084	5-formethyltetrahydrofolate cyclo-ligase	5-formyltetrahydrofolic acid[c] + ATP[c] => 5,10-methenyl-THF[c] + ADP[c] + phosphate[c]	Seq_797
r_0085	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	5-methyltetrahydropteroyltri-L-glutamic acid[c] + L-homocysteine[c] => L-methionine[c] + tetrahydropteroyltri-L-glutamic acid[c]	Seq_4816
r_0086	5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	S-methyl-5-thio-D-ribulose 1-phosphate[c] => 5-(methylsulfanyl)-2,3-dioxopentyl phosphate[c] + H2O[c]	Seq_1024
r_0087	5-methylthioribose-1-phosphate isomerase	S-methyl-5-thio-alpha-D-ribose 1-phosphate[c] <=> S-methyl-5-thio-D-ribulose 1-phosphate[c]	Seq_3026
r_0088	5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	5-diphospho-1D-myo-inositol pentakisphosphate[c] + 2 H+[c] + phosphate[c] <=> 4,5-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + H2O[c]	Seq_433
r_0089	5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	5-diphospho-1D-myo-inositol pentakisphosphate[c] + 2 H+[c] + phosphate[c] <=> 5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + H2O[c]	Seq_433
r_0090	6-phosphofructo-2-kinase	ATP[c] + D-fructose 6-phosphate[c] => ADP[c] + beta-D-fructose 2,6-bisphosphate[c] + H+[c]	Seq_2038 or Seq_4229
r_0091	6-phosphogluconolactonase	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] => 6-phospho-D-gluconate[c] + H+[c]	Seq_4019
r_0092	6PP-IP5 depyrophosphorylation to IP6	6-diphospho-1D-myo-inositol pentakisphosphate[c] + H2O[c] <=> 2 H+[c] + myo-inositol hexakisphosphate[c] + phosphate[c]	Seq_433 or Seq_4056
r_0093	6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4	6-diphospho-1D-myo-inositol pentakisphosphate[c] + ATP[c] + 2 H+[c] => 5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + ADP[c] + H2O[c]	Seq_2684
r_0095	acetaldehyde condensation	2 acetaldehyde[c] => (R)-acetoin[c]	Seq_3511 or Seq_5169
r_0096	acetohydroxy acid isomeroreductase	2-acetyllactic acid[m] + H+[m] + NADPH[m] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]	Seq_2070
r_0097	acetolactate synthase	H+[m] + 2 pyruvate[m] => 2-acetyllactic acid[m] + carbon dioxide[m]	(Seq_4944 and Seq_5498) or Seq_5498
r_0099	acetyl-CoA ACP transacylase	acetyl-CoA[m] + ACP1[m] <=> acetyl-ACP[m] + coenzyme A[m]	Seq_1734 or Seq_3635
r_0100	acetyl-CoA C-acyltransferase (palmitoyl-CoA)	3-oxooctadecanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + palmitoyl-CoA[p]	Seq_4462
r_0101	acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	3-oxohexacosanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + tetracosanoyl-CoA[p]	Seq_4462
r_0102	acetyl-CoA C-acyltransferase (myristoyl-CoA)	3-oxopalmitoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + myristoyl-CoA[p]	Seq_4462
r_0103	acetyl-CoA C-acetyltransferase	2 acetyl-CoA[c] <=> acetoacetyl-CoA[c] + coenzyme A[c]	Seq_639
r_0104	acetyl-CoA C-acetyltransferase	2 acetyl-CoA[m] <=> acetoacetyl-CoA[m] + coenzyme A[m]	Seq_639
r_0105	acetyl-CoA C-acyltransferase (lauroyl-CoA)	3-oxotetradecanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + lauroyl-CoA[p]	Seq_4462
r_0106	acetyl-CoA C-acyltransferase (octanoyl-CoA)	3-oxodecanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + octanoyl-CoA[p]	Seq_4462
r_0107	acetyl-CoA C-acyltransferase (decanoyl-CoA)	3-oxolauroyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + decanoyl-CoA[p]	Seq_4462
r_0108	acetyl-Coa carboxylase	acetyl-CoA[m] + ATP[m] + bicarbonate[m] => ADP[m] + H+[m] + malonyl-CoA[m] + phosphate[m]	Seq_219
r_0109	acetyl-CoA carboxylase, reaction	acetyl-CoA[c] + ATP[c] + bicarbonate[c] => ADP[c] + H+[c] + malonyl-CoA[c] + phosphate[c]	Seq_182 and Seq_219
r_0111	acetyl-CoA hydrolase	acetyl-CoA[m] + H2O[m] => acetate[m] + coenzyme A[m] + H+[m]	Seq_4679
r_0112	acetyl-CoA synthetase	acetate[c] + ATP[c] + coenzyme A[c] => acetyl-CoA[c] + AMP[c] + diphosphate[c]	Seq_5400 or Seq_924
r_0113	acetyl-CoA synthetase	acetate[m] + ATP[m] + coenzyme A[m] => acetyl-CoA[m] + AMP[m] + diphosphate[m]	Seq_5400 or Seq_924
r_0114	acetyl-CoA synthetase nuclear	acetate[n] + ATP[n] + coenzyme A[n] => acetyl-CoA[n] + AMP[n] + diphosphate[n]	Seq_5400 or Seq_924
r_0115	acetylglutamate kinase	ATP[m] + N-acetyl-L-glutamate[m] => ADP[m] + N-acetyl-L-gamma-glutamyl phosphate[m]	Seq_2968
r_0116	acid phosphatase (secreted)	FMN[e] + H2O[e] => phosphate[e] + riboflavin[e]	Seq_260
r_0118	acteylornithine transaminase	2-acetamido-5-oxopentanoate[m] + L-glutamate[m] => 2-oxoglutarate[m] + N(2)-acetyl-L-ornithine[m]	Seq_1772
r_0120	acyl-CoA oxidase (decanoyl-CoA)	decanoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-dec-2-enoyl-CoA[p]	Seq_2351 or Seq_73
r_0121	acyl-CoA oxidase (dodecanoyl-CoA)	lauroyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-dodec-2-enoyl-CoA[p]	Seq_2351 or Seq_73
r_0122	acyl-CoA oxidase (hexacosanoyl-CoA)	hexacosanoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-hexacos-2-enoyl-CoA[p]	Seq_2351 or Seq_73
r_0123	acyl-CoA oxidase (hexadecanoyl-CoA)	oxygen[p] + palmitoyl-CoA[p] => hexadec-2-enoyl-CoA[p] + hydrogen peroxide[p]	Seq_2351 or Seq_73
r_0124	acyl-CoA oxidase (octadecanoyl-CoA)	oxygen[p] + stearoyl-CoA[p] => hydrogen peroxide[p] + trans-octadec-2-enoyl-CoA[p]	Seq_2351 or Seq_73
r_0125	acyl-CoA oxidase (tetradecanoyl-CoA)	myristoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-tetradec-2-enoyl-CoA[p]	Seq_2351 or Seq_73
r_0126	acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane	oleoyl-CoA[erm] + episterol[erm] <=> coenzyme A[erm] + episteryl oleate[erm]	Seq_4218
r_0127	acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane	oleoyl-CoA[erm] + ergosterol[erm] <=> coenzyme A[erm] + ergosteryl oleate[erm]	Seq_4218
r_0128	acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane	oleoyl-CoA[erm] + fecosterol[erm] <=> coenzyme A[erm] + fecosteryl oleate[erm]	Seq_4218
r_0129	acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane	oleoyl-CoA[erm] + lanosterol[erm] <=> coenzyme A[erm] + lanosteryl oleate[erm]	Seq_4218
r_0130	acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane	oleoyl-CoA[erm] + zymosterol[erm] <=> coenzyme A[erm] + zymosteryl oleate[erm]	Seq_4218
r_0131	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane	palmitoleoyl-CoA(4-)[erm] + episterol[erm] <=> coenzyme A[erm] + episteryl palmitoleate[erm]	Seq_4218
r_0132	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane	palmitoleoyl-CoA(4-)[erm] + ergosterol[erm] <=> coenzyme A[erm] + ergosteryl palmitoleate[erm]	Seq_4218
r_0133	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane	palmitoleoyl-CoA(4-)[erm] + fecosterol[erm] <=> coenzyme A[erm] + fecosteryl palmitoleate[erm]	Seq_4218
r_0134	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane	palmitoleoyl-CoA(4-)[erm] + lanosterol[erm] <=> coenzyme A[erm] + lanosteryl palmitoleate[erm]	Seq_4218
r_0135	acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane	palmitoleoyl-CoA(4-)[erm] + zymosterol[erm] <=> coenzyme A[erm] + zymosteryl palmitoleate[erm]	Seq_4218
r_0137	acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3	6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol[er] + palmitoyl-CoA[er] <=> 6-(alpha-D-glucosaminyl)-O-acyl-1-phosphatidyl-1D-myo-inositol[er] + coenzyme A[er]	Seq_4747
r_0138	adenine deaminase	adenine[c] + H+[c] + H2O[c] => ammonium[c] + hypoxanthine[c]	Seq_950
r_0139	adenine phosphoribosyltransferase	adenine[c] + PRPP[c] => AMP[c] + diphosphate[c]	Seq_2783
r_0140	adenosine deaminase	adenosine[c] + H+[c] + H2O[c] => ammonium[c] + inosine[c]	Seq_950
r_0142	adenosine kinase	adenosine[c] + ATP[c] => ADP[c] + AMP[c] + H+[c]	Seq_4639
r_0143	adenosine monophosphate deaminase	AMP[c] + H+[c] + H2O[c] => ammonium[c] + IMP[c]	Seq_2224
r_0144	adenosylhomocysteinase	H2O[c] + S-adenosyl-L-homocysteine[c] => adenosine[c] + L-homocysteine[c]	Seq_3939
r_0145	adenosylmethionine decarboxylase	H+[c] + S-adenosyl-L-methionine[c] => carbon dioxide[c] + S-adenosylmethioninamine[c]	Seq_944
r_0146	adenosylmethionine-8-amino-7-oxononanoate transaminase	8-amino-7-oxononanoate[c] + S-adenosyl-L-methionine[c] <=> 7,8-diaminononanoate[c] + S-adenosyl-4-methylthio-2-oxobutanoate[c]	Seq_3829
r_0147	adenylate cyclase	ATP[c] => 3',5'-cyclic AMP[c] + diphosphate[c]	Seq_4515
r_0148	adenylate kinase	AMP[c] + ATP[c] => 2 ADP[c]	Seq_4986 or Seq_5082
r_0151	adenylosuccinate lyase (AICAR)	5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole[c] => AICAR[c] + fumarate[c]	Seq_5428
r_0152	adenylosuccinate lyase	adenylo-succinate[c] <=> AMP[c] + fumarate[c]	Seq_5428
r_0153	adenylosuccinate synthase	GTP[c] + IMP[c] + L-aspartate[c] => adenylo-succinate[c] + GDP[c] + 2 H+[c] + phosphate[c]	Seq_641
r_0154	adenylyl-sulfate kinase	5'-adenylyl sulfate[c] + ATP[c] => 3'-phospho-5'-adenylyl sulfate[c] + ADP[c] + H+[c]	Seq_1780
r_0156	alanine glyoxylate aminotransferase	glyoxylate[c] + L-alanine[c] => L-glycine[c] + pyruvate[c]	Seq_3693
r_0157	alanyl-tRNA synthetase	ATP[c] + L-alanine[c] + tRNA(Ala)[c] => Ala-tRNA(Ala)[c] + AMP[c] + diphosphate[c]	Seq_5101
r_0163	alcohol dehydrogenase (ethanol to acetaldehyde)	ethanol[c] + NAD[c] => acetaldehyde[c] + H+[c] + NADH[c]	Seq_1427 or Seq_4855 or Seq_5413
r_0164	alcohol dehydrogenase (glycerol, NADP)	D-glyceraldehyde[c] + H+[c] + NADPH[c] => glycerol[c] + NADP(+)[c]	Seq_1351 or Seq_2193 or Seq_3482 or Seq_4254 or Seq_4948 or Seq_5221
r_0165	mitochondrial alcohol dehydrogenase	acetaldehyde[m] + H+[m] + NADH[m] => ethanol[m] + NAD[m]	Seq_1427 or Seq_4855 or Seq_5413
r_0166	aldehyde dehydrogenase (2-methylbutanol, NAD)	2-methylbutanal[c] + H+[c] + NADH[c] => 2-methylbutanol[c] + NAD[c]	Seq_1427 or Seq_4855 or Seq_5413 or Seq_594
r_0167	aldehyde dehydrogenase (2-methylbutanol, NAD)	2-methylbutanal[m] + H+[m] + NADH[m] => 2-methylbutanol[m] + NAD[m]	Seq_1427 or Seq_4855 or Seq_5413
r_0168	aldehyde dehydrogenase (2-methylbutanol, NADP)	2-methylbutanal[c] + H+[c] + NADPH[c] => 2-methylbutanol[c] + NADP(+)[c]	Seq_1351 or Seq_4456 or Seq_461 or Seq_4948 or Seq_5221
r_0169	aldehyde dehydrogenase (2-phenylethanol, NAD)	H+[c] + NADH[c] + phenylacetaldehyde[c] => 2-phenylethanol[c] + NAD[c]	Seq_1427 or Seq_4855 or Seq_5413 or Seq_594
r_0170	aldehyde dehydrogenase (2-phenylethanol, NAD)	H+[m] + NADH[m] + phenylacetaldehyde[m] => 2-phenylethanol[m] + NAD[m]	Seq_1427 or Seq_4855 or Seq_5413
r_0171	aldehyde dehydrogenase (2-phenylethanol, NADP)	H+[c] + NADPH[c] + phenylacetaldehyde[c] => 2-phenylethanol[c] + NADP(+)[c]	Seq_4456 or Seq_461
r_0172	aldehyde dehydrogenase (3-aminopropanal, NAD)	3-aminopropanal[c] + H2O[c] + NAD[c] => beta-alanine[c] + 2 H+[c] + NADH[c]	Seq_5250 or Seq_3263
r_0173	aldehyde dehydrogenase (acetaldehyde, NADP)	acetaldehyde[c] + H2O[c] + NADP(+)[c] => acetate[c] + 2 H+[c] + NADPH[c]	Seq_3997
r_0174	aldehyde dehydrogenase (acetylaldehyde, NAD)	acetaldehyde[m] + H2O[m] + NAD[m] => acetate[m] + 2 H+[m] + NADH[m]	Seq_3997
r_0175	aldehyde dehydrogenase (acetylaldehyde, NADP)	acetaldehyde[m] + H2O[m] + NADP(+)[m] => acetate[m] + 2 H+[m] + NADPH[m]	Seq_3997
r_0176	aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)	H2O[m] + indol-3-ylacetaldehyde[m] + NAD[m] => 2 H+[m] + indole-3-acetate[m] + NADH[m]	Seq_3997
r_0177	aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)	H2O[c] + indol-3-ylacetaldehyde[c] + NADP(+)[c] => 2 H+[c] + indole-3-acetate[c] + NADPH[c]	Seq_3997
r_0178	aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)	H2O[m] + indol-3-ylacetaldehyde[m] + NADP(+)[m] => 2 H+[m] + indole-3-acetate[m] + NADPH[m]	Seq_3997
r_0179	aldehyde dehydrogenase (isoamyl alcohol, NAD)	3-methylbutanal[c] + H+[c] + NADH[c] => isoamylol[c] + NAD[c]	Seq_1427 or Seq_4855 or Seq_5413 or Seq_594
r_0180	aldehyde dehydrogenase (isoamyl alcohol, NAD)	3-methylbutanal[m] + H+[m] + NADH[m] => isoamylol[m] + NAD[m]	Seq_1427 or Seq_4855 or Seq_5413
