Orthogroup	model_Cint	data_Cint
OG0000057	Seq_408	SGZ56832.1, SGZ56834.1
OG0000058	Seq_515	SGZ57790.1, SGZ57868.1
OG0000058	Seq_4753	SGZ57909.1
OG0000059	Seq_3412	SGZ57784.1
OG0000059	Seq_2102	SGZ46214.1
OG0000060	Seq_5178	SGZ52478.1, SGZ52997.1, SGZ46220.1
OG0000061	Seq_2137	SGZ51000.1
OG0000061	Seq_4014	SGZ46228.1
OG0000062	Seq_4844	SGZ46465.1
OG0000062	Seq_1876	SGZ48992.1
OG0000063	Seq_4932	SGZ46906.1
OG0000063	Seq_4931	SGZ46658.1
OG0000064	Seq_1741	SGZ46691.1
OG0000064	Seq_2799	SGZ54291.1
OG0000065	Seq_5497	SGZ55320.1
OG0000065	Seq_4074	SGZ46773.1
OG0000066	Seq_3878	SGZ46885.1
OG0000066	Seq_175	SGZ51184.1
OG0000067	Seq_257	SGZ46892.1
OG0000067	Seq_2836	SGZ56501.1
OG0000068	Seq_1807	SGZ47366.1
OG0000068	Seq_4965	SGZ46933.1
OG0000069	Seq_2532	SGZ54673.1
OG0000069	Seq_1600	SGZ46972.1
OG0000070	Seq_4767	SGZ55891.1
OG0000070	Seq_2821	SGZ47004.1
OG0000071	Seq_2913	SGZ55885.1
OG0000071	Seq_4265	SGZ47010.1
OG0000072	Seq_573	SGZ47034.1
OG0000072	Seq_1067	SGZ47169.1
OG0000073	Seq_5433	SGZ47037.1
OG0000073	Seq_3780	SGZ52872.1
OG0000074	Seq_5093	SGZ47057.1
OG0000074	Seq_3467	SGZ57725.1
OG0000075	Seq_1759	SGZ47058.1
OG0000075	Seq_1206	SGZ57723.1
OG0000076	Seq_1306	SGZ49277.1
OG0000076	Seq_691	SGZ47103.1
OG0000077	Seq_1077	SGZ47238.1
OG0000077	Seq_932	SGZ47851.1
OG0000078	Seq_927	SGZ49005.1
OG0000078	Seq_1743	SGZ47291.1
OG0000079	Seq_349	SGZ47331.1
OG0000079	Seq_1446	SGZ47332.1
OG0000080	Seq_3396	SGZ47403.1
OG0000080	Seq_2689	SGZ56673.1
OG0000081	Seq_3193	SGZ56024.1
OG0000081	Seq_2609	SGZ47439.1
OG0000082	Seq_1942	SGZ47577.1
OG0000082	Seq_2712	SGZ57396.1
OG0000083	Seq_669	SGZ48883.1
OG0000083	Seq_1532	SGZ47592.1
OG0000084	Seq_1857	SGZ47610.1
OG0000084	Seq_1272	SGZ49143.1
OG0000085	Seq_1326	SGZ47677.1
OG0000085	Seq_2261	SGZ56422.1
OG0000086	Seq_4936	SGZ57542.1
OG0000086	Seq_1183	SGZ47691.1
OG0000087	Seq_1784	SGZ56646.1
OG0000087	Seq_5359	SGZ47694.1
OG0000088	Seq_5209	SGZ47718.1
OG0000088	Seq_1875	SGZ53289.1
OG0000089	Seq_5308	SGZ47754.1
OG0000089	Seq_1111	SGZ56278.1
OG0000090	Seq_4905	SGZ57929.1
OG0000090	Seq_2133	SGZ47799.1
OG0000091	Seq_4131	SGZ47842.1
OG0000091	Seq_1931	SGZ55338.1
OG0000092	Seq_3578	SGZ55441.1
OG0000092	Seq_1267	SGZ47862.1
OG0000093	Seq_118	SGZ51012.1
OG0000093	Seq_766	SGZ47884.1
OG0000094	Seq_1722	SGZ47970.1
OG0000094	Seq_5047	SGZ47941.1
OG0000095	Seq_2431	SGZ48078.1, SGZ54477.1, SGZ55596.1
OG0000096	Seq_3857	SGZ48796.1
OG0000096	Seq_688	SGZ54839.1
OG0000097	Seq_3183	SGZ56146.1
OG0000097	Seq_1338	SGZ49326.1
OG0000098	Seq_1297	SGZ52435.1
OG0000098	Seq_4526	SGZ49448.1
OG0000099	Seq_4899	SGZ57825.1
OG0000099	Seq_2417	SGZ49478.1
OG0000100	Seq_4958	SGZ49480.1
OG0000100	Seq_5123	SGZ52535.1
OG0000101	Seq_3435	SGZ50992.1
OG0000101	Seq_2909	SGZ49593.1
OG0000102	Seq_1935	SGZ49598.1
OG0000102	Seq_4294	SGZ56688.1
OG0000103	Seq_3332	SGZ49600.1
OG0000103	Seq_2479	SGZ56684.1
OG0000104	Seq_4549	SGZ49614.1
OG0000104	Seq_278	SGZ51001.1
OG0000105	Seq_4097	SGZ49619.1
OG0000105	Seq_1626	SGZ49622.1
OG0000106	Seq_65	SGZ49631.1
OG0000106	Seq_3359	SGZ58038.1
OG0000107	Seq_4422	SGZ49674.1
OG0000107	Seq_1130	SGZ52804.1
OG0000108	Seq_2927, Seq_975	SGZ49707.1, SGZ55472.1
OG0000109	Seq_4760	SGZ56682.1
OG0000109	Seq_672	SGZ49734.1
OG0000110	Seq_401, Seq_1663, Seq_3583	SGZ49825.1
OG0000111	Seq_1096	SGZ54210.1
OG0000111	Seq_2862	SGZ49906.1
OG0000112	Seq_3980	SGZ49926.1
OG0000112	Seq_718	SGZ51004.1
OG0000113	Seq_2217	SGZ50044.1
OG0000113	Seq_773	SGZ53377.1
OG0000114	Seq_2568	SGZ58011.1
OG0000114	Seq_1019	SGZ50139.1
OG0000115	Seq_4719	SGZ53008.1
OG0000115	Seq_303	SGZ50173.1
OG0000116	Seq_4740	SGZ50184.1
OG0000116	Seq_1965	SGZ52910.1
OG0000117	Seq_4473	SGZ50201.1
OG0000117	Seq_1292	SGZ56118.1
OG0000118	Seq_856	SGZ50203.1
OG0000118	Seq_868	SGZ53143.1
OG0000119	Seq_292	SGZ50208.1
OG0000119	Seq_3864	SGZ50210.1
OG0000120	Seq_5193	SGZ50228.1
OG0000120	Seq_2613	SGZ51522.1
OG0000121	Seq_885	SGZ56778.1
OG0000121	Seq_3410	SGZ50235.1
OG0000122	Seq_2881	SGZ57242.1
OG0000122	Seq_4900	SGZ50352.1
OG0000123	Seq_924	SGZ53516.1
OG0000123	Seq_5400	SGZ50458.1
OG0000124	Seq_4305	SGZ56414.1
OG0000124	Seq_806	SGZ50467.1
OG0000125	Seq_860	SGZ50579.1
OG0000125	Seq_5376	SGZ57729.1
OG0000126	Seq_5169	SGZ50624.1
OG0000126	Seq_3511	SGZ53252.1
OG0000127	Seq_2171	SGZ55051.1
OG0000127	Seq_3001	SGZ50784.1
OG0000128	Seq_970	SGZ50817.1
OG0000128	Seq_55	SGZ53246.1
OG0000129	Seq_1666	SGZ50848.1, SGZ54378.1, SGZ50846.1
OG0000130	Seq_3853	SGZ50987.1
OG0000130	Seq_3828	SGZ51766.1
OG0000131	Seq_2941	SGZ57636.1
OG0000131	Seq_4994	SGZ51010.1
OG0000132	Seq_1364	SGZ51037.1
OG0000132	Seq_2478	SGZ52095.1
OG0000133	Seq_4033	SGZ56488.1
OG0000133	Seq_1145	SGZ51050.1
OG0000134	Seq_2908	SGZ51311.1
OG0000134	Seq_2976	SGZ55637.1
OG0000135	Seq_916	SGZ55954.1
OG0000135	Seq_3645	SGZ51329.1
OG0000136	Seq_194	SGZ51356.1
OG0000136	Seq_5163	SGZ53372.1
OG0000137	Seq_3311	SGZ51498.1
OG0000137	Seq_3078	SGZ51500.1
OG0000138	Seq_5007	SGZ51629.1
OG0000138	Seq_3838	SGZ52895.1
OG0000139	Seq_3266	SGZ51764.1
OG0000139	Seq_80	SGZ56702.1
OG0000140	Seq_4402	SGZ52603.1, SGZ52607.1, SGZ52605.1
OG0000141	Seq_4782	SGZ54822.1
OG0000141	Seq_2972	SGZ52700.1
OG0000142	Seq_5307	SGZ52714.1
OG0000142	Seq_135	SGZ53473.1
OG0000143	Seq_3909	SGZ52914.1, SGZ52915.1, SGZ54715.1
OG0000144	Seq_2236	SGZ54481.1
OG0000144	Seq_1577	SGZ53080.1
OG0000145	Seq_1118	SGZ56014.1
OG0000145	Seq_3571	SGZ53215.1
OG0000146	Seq_5019	SGZ53348.1
OG0000146	Seq_3431	SGZ54691.1
OG0000147	Seq_3577	SGZ58066.1, SGZ53539.1, SGZ57761.1
OG0000148	Seq_2795	SGZ57869.1
OG0000148	Seq_3294	SGZ53577.1
OG0000149	Seq_846	SGZ53701.1
OG0000149	Seq_1548	SGZ57376.1
OG0000150	Seq_784	SGZ57501.1
OG0000150	Seq_1373	SGZ53894.1
OG0000151	Seq_2813	SGZ54345.1
OG0000151	Seq_1822	SGZ54660.1
OG0000152	Seq_1351	SGZ57097.1
OG0000152	Seq_4948	SGZ54721.1
OG0000153	Seq_2616	SGZ54850.1
OG0000153	Seq_2740	SGZ54852.1
OG0000154	Seq_3529	SGZ55325.1
OG0000154	Seq_1290	SGZ56171.1
OG0000155	Seq_1137	SGZ55821.1
OG0000155	Seq_2293	SGZ56445.1
OG0000156	Seq_1816	SGZ55935.1
OG0000156	Seq_4775	SGZ56566.1
OG0000157	Seq_4728	SGZ57444.1
OG0000157	Seq_758	SGZ56639.1
OG0000158	Seq_3452	SGZ56709.1
OG0000158	Seq_3632	SGZ57706.1
OG0000159	Seq_862	SGZ56870.1
OG0000159	Seq_2965	SGZ57907.1
OG0000160	Seq_4752	SGZ57735.1, SGZ57737.1, SGZ57733.1
OG0000161	Seq_3337	SGZ57778.1
OG0000161	Seq_3975	SGZ57777.1
OG0000162	Seq_4113	SGZ57786.1
OG0000162	Seq_1026	SGZ57910.1
OG0000163	Seq_2617	SGZ54731.1, SGZ46207.1
OG0000164	Seq_1120, Seq_4888	SGZ46547.1
OG0000165	Seq_3486	SGZ46585.1, SGZ50452.1
OG0000166	Seq_2852	SGZ47534.1, SGZ46698.1
OG0000167	Seq_4274	SGZ46761.1, SGZ58058.1
OG0000168	Seq_2672	SGZ56464.1, SGZ46834.1
OG0000169	Seq_3736	SGZ47028.1, SGZ52909.1
OG0000170	Seq_5332	SGZ47041.1, SGZ51758.1
OG0000171	Seq_807	SGZ47043.1, SGZ49884.1
OG0000172	Seq_2112, Seq_928	SGZ47087.1
OG0000173	Seq_1395	SGZ47091.1, SGZ47092.1
OG0000174	Seq_305, Seq_594	SGZ47281.1
OG0000175	Seq_362	SGZ53637.1, SGZ48016.1
OG0000176	Seq_5496	SGZ48067.1, SGZ48064.1
OG0000177	Seq_3687, Seq_4198	SGZ48069.1
OG0000178	Seq_4566	SGZ48075.1, SGZ48070.1
OG0000179	Seq_2416, Seq_2139	SGZ48120.1
OG0000180	Seq_2563, Seq_3258	SGZ49223.1
OG0000181	Seq_2095	SGZ51855.1, SGZ49301.1
OG0000182	Seq_2031	SGZ49484.1, SGZ54171.1
OG0000183	Seq_5342	SGZ49871.1, SGZ49869.1
OG0000184	Seq_1109	SGZ49917.1, SGZ49915.1
OG0000185	Seq_3086	SGZ49956.1, SGZ49958.1
OG0000186	Seq_1825	SGZ49985.1, SGZ51436.1
OG0000187	Seq_2945	SGZ50015.1, SGZ53768.1
OG0000188	Seq_5082	SGZ56814.1, SGZ50046.1
OG0000189	Seq_3018	SGZ50179.1, SGZ50183.1
OG0000190	Seq_1047	SGZ50216.1, SGZ50220.1
OG0000191	Seq_4708, Seq_180	SGZ50301.1
OG0000192	Seq_2890, Seq_472	SGZ50350.1
OG0000193	Seq_3429	SGZ50734.1, SGZ56665.1
OG0000194	Seq_3071	SGZ50775.1, SGZ57092.1
OG0000195	Seq_3349	SGZ56680.1, SGZ50786.1
OG0000196	Seq_4222	SGZ50997.1, SGZ50996.1
OG0000197	Seq_463	SGZ54726.1, SGZ51020.1
OG0000198	Seq_2673	SGZ51021.1, SGZ54725.1
OG0000199	Seq_3697, Seq_4493	SGZ51389.1
OG0000200	Seq_2389	SGZ53554.1, SGZ51531.1
OG0000201	Seq_2208	SGZ52260.1, SGZ51784.1
OG0000202	Seq_3954	SGZ51816.1, SGZ55811.1
OG0000203	Seq_377	SGZ56100.1, SGZ52385.1
OG0000204	Seq_3804	SGZ55474.1, SGZ52658.1
OG0000205	Seq_1150	SGZ57763.1, SGZ52879.1
OG0000206	Seq_2912	SGZ56568.1, SGZ52913.1
OG0000207	Seq_2654	SGZ56635.1, SGZ52990.1
OG0000208	Seq_369	SGZ52992.1, SGZ54722.1
OG0000209	Seq_4564	SGZ53006.1, SGZ53335.1
OG0000210	Seq_2365	SGZ53633.1, SGZ53012.1
OG0000211	Seq_3130, Seq_2789	SGZ53419.1
OG0000212	Seq_2165	SGZ55901.1, SGZ53512.1
OG0000213	Seq_3695	SGZ55560.1, SGZ53562.1
OG0000214	Seq_4065	SGZ53849.1, SGZ57142.1
OG0000215	Seq_2188, Seq_5111	SGZ54008.1
OG0000216	Seq_4629	SGZ54224.1, SGZ54228.1
OG0000217	Seq_2213	SGZ54295.1, SGZ56911.1
OG0000218	Seq_1624	SGZ54711.1, SGZ56931.1
OG0000219	Seq_4642	SGZ54879.1, SGZ54881.1
OG0000220	Seq_984, Seq_2226	SGZ54887.1
OG0000221	Seq_2637	SGZ54970.1, SGZ54968.1
OG0000222	Seq_3938	SGZ55388.1, SGZ55381.1
OG0000223	Seq_867	SGZ55459.1, SGZ55457.1
OG0000224	Seq_652, Seq_2077	SGZ56088.1
OG0000225	Seq_1291, Seq_1126	SGZ56701.1
OG0000226	Seq_809, Seq_1906	SGZ56808.1
OG0000227	Seq_5004, Seq_2041	SGZ57507.1
OG0000228	Seq_4972	SGZ46208.1
OG0000229	Seq_3789	SGZ46211.1
OG0000230	Seq_5105	SGZ46212.1
OG0000231	Seq_5026	SGZ46215.1
OG0000232	Seq_393	SGZ46217.1
OG0000233	Seq_1016	SGZ46218.1
OG0000234	Seq_636	SGZ46221.1
OG0000235	Seq_3037	SGZ46226.1
OG0000236	Seq_1190	SGZ46227.1
OG0000237	Seq_5201	SGZ46230.1
OG0000238	Seq_615	SGZ46231.1
OG0000239	Seq_1447	SGZ46232.1
OG0000240	Seq_795	SGZ46234.1
OG0000241	Seq_51	SGZ46235.1
OG0000242	Seq_2013	SGZ46236.1
OG0000243	Seq_1911	SGZ46239.1
OG0000244	Seq_5317	SGZ46240.1
OG0000245	Seq_1693	SGZ46244.1
OG0000246	Seq_1738	SGZ46245.1
OG0000247	Seq_4829	SGZ46246.1
OG0000248	Seq_5171	SGZ46248.1
OG0000249	Seq_3387	SGZ46249.1
OG0000250	Seq_3390	SGZ46251.1
OG0000251	Seq_3012	SGZ46252.1
OG0000252	Seq_2486	SGZ46254.1
OG0000253	Seq_3280	SGZ46255.1
OG0000254	Seq_2056	SGZ46256.1
OG0000255	Seq_57	SGZ46257.1
OG0000256	Seq_2772	SGZ46258.1
OG0000257	Seq_682	SGZ46259.1
OG0000258	Seq_5096	SGZ46260.1
OG0000259	Seq_1661	SGZ46262.1
OG0000260	Seq_3764	SGZ46263.1
OG0000261	Seq_3647	SGZ46265.1
OG0000262	Seq_4285	SGZ46267.1
OG0000263	Seq_5023	SGZ46268.1
OG0000264	Seq_375	SGZ46269.1
OG0000265	Seq_2638	SGZ46271.1
OG0000266	Seq_3105	SGZ46272.1
OG0000267	Seq_1015	SGZ46274.1
OG0000268	Seq_2482	SGZ46276.1
OG0000269	Seq_1099	SGZ46277.1
OG0000270	Seq_5132	SGZ46281.1
OG0000271	Seq_3565	SGZ46282.1
OG0000272	Seq_1800	SGZ46283.1
OG0000273	Seq_3355	SGZ46285.1
OG0000274	Seq_1810	SGZ46286.1
OG0000275	Seq_5114	SGZ46287.1
OG0000276	Seq_334	SGZ46289.1
OG0000277	Seq_1713	SGZ46290.1
OG0000278	Seq_3721	SGZ46291.1
OG0000279	Seq_2897	SGZ46292.1
OG0000280	Seq_518	SGZ46294.1
OG0000281	Seq_4297	SGZ46295.1
OG0000282	Seq_4173	SGZ46296.1
OG0000283	Seq_4174	SGZ46297.1
OG0000284	Seq_306	SGZ46298.1
OG0000285	Seq_767	SGZ46299.1
OG0000286	Seq_3732	SGZ46300.1
OG0000287	Seq_2833	SGZ46302.1
OG0000288	Seq_4805	SGZ46303.1
OG0000289	Seq_2979	SGZ46305.1
OG0000290	Seq_2558	SGZ46308.1
OG0000291	Seq_1410	SGZ46309.1
OG0000292	Seq_1748	SGZ46312.1
OG0000293	Seq_2430	SGZ46313.1
OG0000294	Seq_634	SGZ46314.1
OG0000295	Seq_219	SGZ46316.1
OG0000296	Seq_2113	SGZ46319.1
OG0000297	Seq_2123	SGZ46320.1
OG0000298	Seq_4880	SGZ46322.1
OG0000299	Seq_2944	SGZ46324.1
OG0000300	Seq_1108	SGZ46325.1
OG0000301	Seq_1534	SGZ46326.1
OG0000302	Seq_2541	SGZ46327.1
OG0000303	Seq_5014	SGZ46328.1
OG0000304	Seq_3590	SGZ46329.1
OG0000305	Seq_2419	SGZ46330.1
OG0000306	Seq_4049	SGZ46331.1
OG0000307	Seq_4039	SGZ46332.1
OG0000308	Seq_961	SGZ46333.1
OG0000309	Seq_2007	SGZ46334.1
OG0000310	Seq_4727	SGZ46335.1
OG0000311	Seq_5391	SGZ46336.1
OG0000312	Seq_4804	SGZ46337.1
OG0000313	Seq_936	SGZ46338.1
OG0000314	Seq_2796	SGZ46340.1
OG0000315	Seq_4935	SGZ46342.1
OG0000316	Seq_753	SGZ46344.1
OG0000317	Seq_873	SGZ46345.1
OG0000318	Seq_5113	SGZ46346.1
OG0000319	Seq_3373	SGZ46347.1
OG0000320	Seq_1837	SGZ46350.1
OG0000321	Seq_3313	SGZ46351.1
OG0000322	Seq_4406	SGZ46353.1
OG0000323	Seq_2228	SGZ46354.1
OG0000324	Seq_4486	SGZ46356.1
OG0000325	Seq_40	SGZ46357.1
OG0000326	Seq_2290	SGZ46359.1
OG0000327	Seq_2307	SGZ46361.1
OG0000328	Seq_5059	SGZ46362.1
OG0000329	Seq_4179	SGZ46364.1
OG0000330	Seq_2736	SGZ46365.1
OG0000331	Seq_2400	SGZ46366.1
OG0000332	Seq_3595	SGZ46367.1
OG0000333	Seq_3389	SGZ46369.1
OG0000334	Seq_1705	SGZ46370.1
OG0000335	Seq_4613	SGZ46372.1
OG0000336	Seq_3901	SGZ46374.1
OG0000337	Seq_4788	SGZ46376.1
OG0000338	Seq_618	SGZ46377.1
OG0000339	Seq_2301	SGZ46379.1
OG0000340	Seq_852	SGZ46380.1
OG0000341	Seq_919	SGZ46382.1
OG0000342	Seq_5387	SGZ46384.1
OG0000343	Seq_5268	SGZ46386.1
OG0000344	Seq_4555	SGZ46387.1
OG0000345	Seq_4180	SGZ46389.1
OG0000346	Seq_660	SGZ46390.1
OG0000347	Seq_1833	SGZ46392.1
OG0000348	Seq_3747	SGZ46394.1
OG0000349	Seq_2724	SGZ46395.1
OG0000350	Seq_2459	SGZ46397.1
OG0000351	Seq_1927	SGZ46399.1
OG0000352	Seq_5414	SGZ46401.1
OG0000353	Seq_3066	SGZ46403.1
OG0000354	Seq_2264	SGZ46404.1
OG0000355	Seq_528	SGZ46405.1
OG0000356	Seq_5088	SGZ46406.1
OG0000357	Seq_1628	SGZ46409.1
OG0000358	Seq_3227	SGZ46410.1
OG0000359	Seq_173	SGZ46412.1
OG0000360	Seq_4745	SGZ46414.1
OG0000361	Seq_3397	SGZ46415.1
OG0000362	Seq_3988	SGZ46416.1
OG0000363	Seq_1009	SGZ46417.1
OG0000364	Seq_2514	SGZ46419.1
OG0000365	Seq_4614	SGZ46424.1
OG0000366	Seq_440	SGZ46425.1
OG0000367	Seq_198	SGZ46427.1
OG0000368	Seq_2951	SGZ46429.1
OG0000369	Seq_3566	SGZ46431.1
OG0000370	Seq_3929	SGZ46432.1
OG0000371	Seq_1288	SGZ46434.1
OG0000372	Seq_4082	SGZ46435.1
OG0000373	Seq_1638	SGZ46436.1
OG0000374	Seq_710	SGZ46439.1
OG0000375	Seq_4543	SGZ46441.1
OG0000376	Seq_1211	SGZ46442.1
OG0000377	Seq_3347	SGZ46443.1
OG0000378	Seq_899	SGZ46444.1
OG0000379	Seq_5262	SGZ46445.1
OG0000380	Seq_2895	SGZ46446.1
OG0000381	Seq_3527	SGZ46449.1
OG0000382	Seq_2794	SGZ46451.1
OG0000383	Seq_224	SGZ46452.1
OG0000384	Seq_1760	SGZ46454.1
OG0000385	Seq_3837	SGZ46456.1
OG0000386	Seq_5175	SGZ46457.1
OG0000387	Seq_4044	SGZ46459.1
OG0000388	Seq_3085	SGZ46462.1
OG0000389	Seq_5403	SGZ46463.1
OG0000390	Seq_1763	SGZ46464.1
OG0000391	Seq_4672	SGZ46466.1
OG0000392	Seq_2232	SGZ46468.1
OG0000393	Seq_1085	SGZ46470.1
