rxns	rxnNames	formulas	grRules	subSystems	leloir	oxi_red_path	FC
r_2501	phosphatidyl-N-methylethanolamine methyltransferase (1-16:1, 2-18:1), ER membrane	S-adenosyl-L-methionine[erm] + phosphatidyl-N-methylethanolamine (1-16:1, 2-18:1)[erm] => H+[erm] + S-adenosyl-L-homocysteine[erm] + phosphatidyl-N,N-dimethylethanolamine (1-16:1, 2-18:1)[erm]	Candida_intermedia@Seq_2713	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	0	0.00019625926132756	196260.26132756
r_2509	phosphatidyl-N,N-dimethylethanolamine methyltransferase (1-16:1, 2-18:1), ER membrane	S-adenosyl-L-methionine[erm] + phosphatidyl-N,N-dimethylethanolamine (1-16:1, 2-18:1)[erm] => H+[erm] + S-adenosyl-L-homocysteine[erm] + phosphatidylcholine (1-16:1, 2-18:1)[erm]	Candida_intermedia@Seq_2713	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	0	0.00019625926132756	196260.26132756
r_3770	phosphatidyl-L-serine (1-16:1, 2-18:1) transport, ER membrane-mitochondrial membrane	phosphatidyl-L-serine (1-16:1, 2-18:1)[erm] <=> phosphatidyl-L-serine (1-16:1, 2-18:1)[mm]			0	0.00019625926132756	196260.26132756
r_3778	phosphatidylethanolamine (1-16:1, 2-18:1) transport, mitochondrial membrane-ER membrane	phosphatidylethanolamine (1-16:1, 2-18:1)[mm] <=> phosphatidylethanolamine (1-16:1, 2-18:1)[erm]			0	0.00019625926132756	196260.26132756
r_3993	phosphatidylcholine (1-16:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	phosphatidylcholine (1-16:1, 2-18:1)[erm] => 0.75807 phosphatidylcholine backbone[erm] + 0.25441 C16:1 chain[c] + 0.28247 C18:1 chain[c]			0	0.00019625926132756	196260.26132756
r_0301	citrate synthase, peroxisomal	acetyl-CoA[p] + H2O[p] + oxaloacetate[p] => citrate[p] + coenzyme A[p] + H+[p]	Candida_intermedia@Seq_3526	sce00020  Citrate cycle (TCA cycle) // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	0	0.000166823572768787	166824.572768787
r_1689	citrate/malate antiport	(S)-malate[c] + citrate[p] <=> (S)-malate[p] + citrate[c]			0	0.000166823572768787	166824.572768787
r_2098	water diffusion	H2O[c] <=> H2O[p]			0	0.000166823572768787	166824.572768787
r_0256	catalase	2 hydrogen peroxide[p] => 2 H2O[p] + oxygen[p]	Candida_intermedia@Seq_5520	sce00380  Tryptophan metabolism // sce00630  Glyoxylate and dicarboxylate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce04011  MAPK signaling pathway - yeast // sce04146  Peroxisome // sce04213  Longevity regulating pathway - multiple species	0	7.29853130863444e-05	72986.3130863444
r_1980	O2 transport	oxygen[c] <=> oxygen[p]			0	7.29853130863444e-05	72986.3130863444
r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	(S)-3-hydroxytetradecanoyl-CoA[p] + NAD[p] => 3-oxotetradecanoyl-CoA[p] + H+[p] + NADH[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_0102	acetyl-CoA C-acyltransferase (myristoyl-CoA)	3-oxopalmitoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + myristoyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_0105	acetyl-CoA C-acyltransferase (lauroyl-CoA)	3-oxotetradecanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + lauroyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_0106	acetyl-CoA C-acyltransferase (octanoyl-CoA)	3-oxodecanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + octanoyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_0107	acetyl-CoA C-acyltransferase (decanoyl-CoA)	3-oxolauroyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + decanoyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_0120	acyl-CoA oxidase (decanoyl-CoA)	decanoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-dec-2-enoyl-CoA[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_0121	acyl-CoA oxidase (dodecanoyl-CoA)	lauroyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-dodec-2-enoyl-CoA[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_0123	acyl-CoA oxidase (hexadecanoyl-CoA)	oxygen[p] + palmitoyl-CoA[p] => hexadec-2-enoyl-CoA[p] + hydrogen peroxide[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_0125	acyl-CoA oxidase (tetradecanoyl-CoA)	myristoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-tetradec-2-enoyl-CoA[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_0402	fatty-acid--CoA ligase (hexadecanoate)	ATP[p] + coenzyme A[p] + palmitate[p] <=> AMP[p] + diphosphate[p] + palmitoyl-CoA[p]	Candida_intermedia@Seq_2834 or Candida_intermedia@Seq_945	sce00061  Fatty acid biosynthesis // sce00071  Fatty acid degradation // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_2236	acyl-CoA oxidase (butanoyl-CoA)	oxygen[p] + butanoyl-CoA[p] => hydrogen peroxide[p] + but-2-enoyl-CoA[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_2237	acyl-CoA oxidase (hexanoyl-CoA)	oxygen[p] + hexanoyl-CoA[p] => hydrogen peroxide[p] + trans-hex-2-enoyl-CoA[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_2238	acyl-CoA oxidase (octanoyl-CoA)	octanoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-oct-2-enoyl-CoA[p]	Candida_intermedia@Seq_2351 or Candida_intermedia@Seq_73	sce00071  Fatty acid degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_2248	2-enoyl-CoA hydratase (3-hydroxydecanoyl-CoA)	H2O[p] + trans-dec-2-enoyl-CoA[p] => (R)-3-hydroxydecanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_2249	2-enoyl-CoA hydratase (3-hydroxydodecanoyl-CoA)	H2O[p] + trans-dodec-2-enoyl-CoA[p] => (R)-3-hydroxylauroyl-CoA[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_2250	2-enoyl-CoA hydratase (3-hydroxytetradecanoyl-CoA)	H2O[p] + trans-tetradec-2-enoyl-CoA[p] => (S)-3-hydroxytetradecanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_2251	2-enoyl-CoA hydratase (3-hydroxyhexadecanoyl-CoA)	H2O[p] + hexadec-2-enoyl-CoA[p] => (S)-3-hydroxypalmitoyl-CoA[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_2254	2-enoyl-CoA hydratase (3-hydroxybutanoyl-CoA)	H2O[p] + but-2-enoyl-CoA[p] => (R)-3-hydroxybutanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_2255	2-enoyl-CoA hydratase (3-hydroxyhexanoyl-CoA)	H2O[p] + trans-hex-2-enoyl-CoA[p] => (R)-3-hydroxyhexanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_2256	2-enoyl-CoA hydratase (3-hydroxyoctanoyl-CoA)	H2O[p] + trans-oct-2-enoyl-CoA[p] => (R)-3-hydroxyoctanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_2266	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	(R)-3-hydroxydecanoyl-CoA[p] + NAD[p] => 3-oxodecanoyl-CoA[p] + H+[p] + NADH[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_2267	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	(R)-3-hydroxylauroyl-CoA[p] + NAD[p] => 3-oxolauroyl-CoA[p] + H+[p] + NADH[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_2268	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	(S)-3-hydroxypalmitoyl-CoA[p] + NAD[p] => 3-oxopalmitoyl-CoA[p] + H+[p] + NADH[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_2271	3-hydroxyacyl-CoA dehydrogenase (3-oxobutanoyl-CoA)	NAD[p] + (R)-3-hydroxybutanoyl-CoA[p] => H+[p] + NADH[p] + acetoacetyl-CoA[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_2272	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	NAD[p] + (R)-3-hydroxyhexanoyl-CoA[p] => H+[p] + NADH[p] + 3-oxohexanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_2273	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	NAD[p] + (R)-3-hydroxyoctanoyl-CoA[p] => H+[p] + NADH[p] + 3-oxooctanoyl-CoA[p]	Candida_intermedia@Seq_5003		0	2.08529465960984e-05	20853.9465960984
r_2283	acetyl-CoA C-acyltransferase (acetyl-CoA)	coenzyme A[p] + acetoacetyl-CoA[p] => 2 acetyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_2284	acetyl-CoA C-acyltransferase (butanoyl-CoA)	coenzyme A[p] + 3-oxohexanoyl-CoA[p] => acetyl-CoA[p] + butanoyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_2285	acetyl-CoA C-acyltransferase (hexanoyl-CoA)	coenzyme A[p] + 3-oxooctanoyl-CoA[p] => acetyl-CoA[p] + hexanoyl-CoA[p]	Candida_intermedia@Seq_4462	sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01212  Fatty acid metabolism // sce04146  Peroxisome	0	2.08529465960984e-05	20853.9465960984
r_1116	AMP/ATP transporter	AMP[p] + ATP[c] + H+[p] => AMP[c] + ATP[p] + H+[c]	Candida_intermedia@Seq_1998		0	2.08529465960984e-05	20853.9465960984
r_1774	fatty acid transport	palmitate[c] <=> palmitate[p]	Candida_intermedia@Seq_200 and Candida_intermedia@Seq_3237		0	2.08529465960984e-05	20853.9465960984
r_0152	adenylosuccinate lyase	adenylo-succinate[c] <=> AMP[c] + fumarate[c]	Candida_intermedia@Seq_5428	sce00230  Purine metabolism // sce00250  Alanine, aspartate and glutamate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics	0.0264110974509444	0.142202535821065	5.38419623421533
r_0153	adenylosuccinate synthase	GTP[c] + IMP[c] + L-aspartate[c] => adenylo-succinate[c] + GDP[c] + 2 H+[c] + phosphate[c]	Candida_intermedia@Seq_641	sce00230  Purine metabolism // sce00250  Alanine, aspartate and glutamate metabolism	0.0264110974509444	0.142202535821065	5.38419623421533
r_1050	transketolase 2	D-erythrose 4-phosphate[c] + D-xylulose 5-phosphate[c] <=> D-fructose 6-phosphate[c] + glyceraldehyde 3-phosphate[c]	Candida_intermedia@Seq_4796 or Candida_intermedia@Seq_953	sce00030  Pentose phosphate pathway // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0.119258213163041	0.499178011582516	4.18569082294053
r_0984	ribulose 5-phosphate 3-epimerase	D-ribulose 5-phosphate[c] <=> D-xylulose 5-phosphate[c]	Candida_intermedia@Seq_5197	sce00030  Pentose phosphate pathway // sce00040  Pentose and glucuronate interconversions // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0.302674613138895	1.06111303484734	3.50578801881418
r_0887	phosphofructokinase (s7p)	ATP[c] + sedoheptulose 7-phosphate[c] => ADP[c] + H+[c] + sedoheptulose 1,7-bisphosphate[c]	Candida_intermedia@Seq_1807 or Candida_intermedia@Seq_4965	Gluconeogenesis // sce00010  Glycolysis // sce00030  Pentose phosphate pathway // sce00051  Fructose and mannose metabolism // sce00052  Galactose metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids // sce03018  RNA degradation	0.183416399975854	0.561935023264828	3.06371197600155
r_0990	sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase	sedoheptulose 1,7-bisphosphate[c] <=> D-erythrose 4-phosphate[c] + dihydroxyacetone phosphate[c]	Candida_intermedia@Seq_4943	Gluconeogenesis // sce00010  Glycolysis // sce00030  Pentose phosphate pathway // sce00051  Fructose and mannose metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0.183416399975854	0.561935023264828	3.06371197600155
r_1049	transketolase 1	D-xylulose 5-phosphate[c] + ribose-5-phosphate[c] <=> glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c]	Candida_intermedia@Seq_4796 or Candida_intermedia@Seq_953	sce00030  Pentose phosphate pathway // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0.183416399975854	0.561935023264828	3.06371197600155
r_0091	6-phosphogluconolactonase	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] => 6-phospho-D-gluconate[c] + H+[c]	Candida_intermedia@Seq_4019	sce00030  Pentose phosphate pathway // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism	0.55241624331728	1.68792478629648	3.05553068842599
r_0466	glucose 6-phosphate dehydrogenase	D-glucose 6-phosphate[c] + NADP(+)[c] => 6-O-phosphono-D-glucono-1,5-lactone[c] + H+[c] + NADPH[c]	Candida_intermedia@Seq_5467	sce00030  Pentose phosphate pathway // sce00480  Glutathione metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism	0.55241624331728	1.68792478629648	3.05553068842599
r_0889	phosphogluconate dehydrogenase	6-phospho-D-gluconate[c] + NADP(+)[c] => carbon dioxide[c] + D-ribulose 5-phosphate[c] + NADPH[c]	Candida_intermedia@Seq_533	sce00030  Pentose phosphate pathway // sce00480  Glutathione metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism	0.55241624331728	1.68792478629648	3.05553068842599
r_0982	ribose-5-phosphate isomerase	D-ribulose 5-phosphate[c] <=> ribose-5-phosphate[c]	Candida_intermedia@Seq_2675	sce00030  Pentose phosphate pathway // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0.249741630178385	0.626811751449133	2.50984086830687
r_4460	Pyrophosphate transport in via proton symport	2 H+[e] + diphosphate[e] <=> diphosphate[c] + 2 H+[c]			-0.763607186970901	-1.6303988183089	2.13512765105255
r_4527	diphosphate exchange	diphosphate[e] => 			0.763607186970901	1.6303988183089	2.13512764807949
r_2005	phosphate exchange	phosphate[e] <=> 			-1.57475368848185	-3.30729872192223	2.10020065183073
r_1244	phosphate transport	H+[e] + phosphate[e] <=> H+[c] + phosphate[c]	Candida_intermedia@Seq_2258 or Candida_intermedia@Seq_3831 or Candida_intermedia@Seq_4525 or Candida_intermedia@Seq_4851		1.57475368848185	3.30729872192223	2.10020065043343
r_4262	citrate hydroxymutase	citrate[m] <=> isocitrate[m]	Candida_intermedia@Seq_194 or Candida_intermedia@Seq_5163		0.1828860330852	0.321455191230128	1.75768037093731
r_0800	nucleoside diphosphate kinase	ATP[c] + GDP[c] => ADP[c] + GTP[c]	Candida_intermedia@Seq_3420	sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics	0.193030066292733	0.305182649405112	1.58101095174099
r_0958	pyruvate carboxylase	ATP[c] + bicarbonate[c] + pyruvate[c] => ADP[c] + H+[c] + oxaloacetate[c] + phosphate[c]	Candida_intermedia@Seq_4242	sce00020  Citrate cycle (TCA cycle) // sce00620  Pyruvate metabolism // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	0.311209158708704	0.42109357771269	1.3530886401507
r_0216	aspartate transaminase	2-oxoglutarate[c] + L-aspartate[c] <=> L-glutamate[c] + oxaloacetate[c]	Candida_intermedia@Seq_4704 or Candida_intermedia@Seq_985	sce00220  Arginine biosynthesis // sce00250  Alanine, aspartate and glutamate metabolism // sce00270  Cysteine and methionine metabolism // sce00330  Arginine and proline metabolism // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	-0.311209158708704	-0.420780783513749	1.35208354924956
r_2432	CDP-diacylglycerol synthase (1-16:0, 2-16:1), ER membrane	H+[erm] + phosphatidate (1-16:0, 2-16:1)[erm] + CTP[erm] <=> diphosphate[erm] + CDP-diacylglycerol (1-16:0, 2-16:1)[erm]	Candida_intermedia@Seq_2170	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce04070  Phosphatidylinositol signaling system	0.000758730089524502	0.000938419154825373	1.23682839385622
r_2446	PS synthase (1-16:0, 2-16:1), ER membrane	CDP-diacylglycerol (1-16:0, 2-16:1)[erm] + L-serine[erm] => H+[erm] + CMP[erm] + phosphatidyl-L-serine (1-16:0, 2-16:1)[erm]	Candida_intermedia@Seq_3269	sce00260  Glycine, serine and threonine metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	0.000758730089524502	0.000938419154825373	1.23682839385622
r_2464	PS decarboxylase (1-16:0, 2-16:1), mitochondrial membrane	H+[mm] + phosphatidyl-L-serine (1-16:0, 2-16:1)[mm] => carbon dioxide[mm] + phosphatidylethanolamine (1-16:0, 2-16:1)[mm]	Candida_intermedia@Seq_2132	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	0.000758730089524502	0.000938419154825373	1.23682839385622
r_2488	PE methyltransferase (1-16:0, 2-16:1), ER membrane	phosphatidylethanolamine (1-16:0, 2-16:1)[erm] + S-adenosyl-L-methionine[erm] => H+[erm] + S-adenosyl-L-homocysteine[erm] + phosphatidyl-N-methylethanolamine (1-16:0, 2-16:1)[erm]	Candida_intermedia@Seq_1775 or Candida_intermedia@Seq_2713	sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites	0.000758730089524502	0.000938419154825373	1.23682839385622
