Var1	Var2	Var3
Seq_692	Candida_intermedia@Seq_692	CIC11T00000002858
Seq_127	Candida_intermedia@Seq_127	CIC11T00000003428
Seq_5427	Candida_intermedia@Seq_5427	CIC11T00000003129
Seq_1205	Candida_intermedia@Seq_1205	CIC11T00000001050
Seq_1354	Candida_intermedia@Seq_1354	CIC11T00000003362
Seq_3519	Candida_intermedia@Seq_3519	CIC11T00000005022
Seq_677	Candida_intermedia@Seq_677	CIC11T00000004065
Seq_1339	Candida_intermedia@Seq_1339	CIC11T00000004874
Seq_4227	Candida_intermedia@Seq_4227	CIC11T00000002731
Seq_2086	Candida_intermedia@Seq_2086	CIC11T00000003288
Seq_3546	Candida_intermedia@Seq_3546	CIC11T00000005056
Seq_5039	Candida_intermedia@Seq_5039	CIC11T00000005072
Seq_1403	Candida_intermedia@Seq_1403	CIC11T00000004255
Seq_4242	Candida_intermedia@Seq_4242	CIC11T00000005841
Seq_525	Candida_intermedia@Seq_525	CIC11T00000000270
Seq_4899	Candida_intermedia@Seq_4899	CIC11T00000003587
Seq_1337	Candida_intermedia@Seq_1337	CIC11T00000005817
Seq_1741	Candida_intermedia@Seq_1741	CIC11T00000003372
Seq_3345	Candida_intermedia@Seq_3345	CIC11T00000000743
Seq_3508	Candida_intermedia@Seq_3508	CIC11T00000003495
Seq_3831	Candida_intermedia@Seq_3831	CIC11T00000004722
Seq_2428	Candida_intermedia@Seq_2428	CIC11T00000003548
Seq_4944	Candida_intermedia@Seq_4944	CIC11T00000001136
Seq_801	Candida_intermedia@Seq_801	CIC11T00000001287
Seq_3334	Candida_intermedia@Seq_3334	CIC11T00000002249
Seq_4516	Candida_intermedia@Seq_4516	CIC11T00000000685
Seq_2876	Candida_intermedia@Seq_2876	CIC11T00000002451
Seq_2389	Candida_intermedia@Seq_2389	CIC11T00000000309, CIC11T00000001270
Seq_1913	Candida_intermedia@Seq_1913	CIC11T00000001532
Seq_4439	Candida_intermedia@Seq_4439	CIC11T00000004483
Seq_2357	Candida_intermedia@Seq_2357	CIC11T00000002341
Seq_339	Candida_intermedia@Seq_339	CIC11T00000002084
Seq_3129	Candida_intermedia@Seq_3129	CIC11T00000005305
Seq_4525	Candida_intermedia@Seq_4525	CIC11T00000001782
Seq_2531	Candida_intermedia@Seq_2531	CIC11T00000001373
Seq_3803	Candida_intermedia@Seq_3803	CIC11T00000001546
Seq_461	Candida_intermedia@Seq_461	CIC11T00000000039
Seq_1091	Candida_intermedia@Seq_1091	CIC11T00000005069
Seq_1021	Candida_intermedia@Seq_1021	CIC11T00000005726
Seq_2282	Candida_intermedia@Seq_2282	Seq_2282
Seq_465	Candida_intermedia@Seq_465	CIC11T00000001419
Seq_2722	Candida_intermedia@Seq_2722	CIC11T00000002892
Seq_4931	Candida_intermedia@Seq_4931	CIC11T00000001594
Seq_1274	Candida_intermedia@Seq_1274	CIC11T00000002890
Seq_3511	Candida_intermedia@Seq_3511	CIC11T00000001377
Seq_311	Candida_intermedia@Seq_311	CIC11T00000003011
Seq_2641	Candida_intermedia@Seq_2641	CIC11T00000002489
Seq_4312	Candida_intermedia@Seq_4312	CIC11T00000005234
Seq_3518	Candida_intermedia@Seq_3518	CIC11T00000005724
Seq_885	Candida_intermedia@Seq_885	CIC11T00000002455
Seq_182	Candida_intermedia@Seq_182	CIC11T00000004010
Seq_1084	Candida_intermedia@Seq_1084	CIC11T00000000021
Seq_594	Candida_intermedia@Seq_594	Seq_594
Seq_224	Candida_intermedia@Seq_224	CIC11T00000000803
Seq_296	Candida_intermedia@Seq_296	CIC11T00000005917
Seq_1576	Candida_intermedia@Seq_1576	CIC11T00000000762
Seq_3914	Candida_intermedia@Seq_3914	CIC11T00000001180
Seq_695	Candida_intermedia@Seq_695	CIC11T00000004240
Seq_2549	Candida_intermedia@Seq_2549	CIC11T00000003324
Seq_1438	Candida_intermedia@Seq_1438	CIC11T00000001884
Seq_1771	Candida_intermedia@Seq_1771	CIC11T00000002338
Seq_2684	Candida_intermedia@Seq_2684	CIC11T00000002047
Seq_5046	Candida_intermedia@Seq_5046	CIC11T00000005428
Seq_2218	Candida_intermedia@Seq_2218	CIC11T00000000768
Seq_2417	Candida_intermedia@Seq_2417	CIC11T00000002236
Seq_4283	Candida_intermedia@Seq_4283	CIC11T00000000538
Seq_556	Candida_intermedia@Seq_556	CIC11T00000004087
Seq_5076	Candida_intermedia@Seq_5076	CIC11T00000002862
Seq_4983	Candida_intermedia@Seq_4983	CIC11T00000002914
Seq_3823	Candida_intermedia@Seq_3823	CIC11T00000001830
Seq_4243	Candida_intermedia@Seq_4243	CIC11T00000002424
Seq_5370	Candida_intermedia@Seq_5370	CIC11T00000001826
Seq_5049	Candida_intermedia@Seq_5049	CIC11T00000004047
Seq_4386	Candida_intermedia@Seq_4386	CIC11T00000001658
Seq_1129	Candida_intermedia@Seq_1129	CIC11T00000004227
Seq_3016	Candida_intermedia@Seq_3016	CIC11T00000004435
Seq_3667	Candida_intermedia@Seq_3667	CIC11T00000003874
Seq_5073	Candida_intermedia@Seq_5073	CIC11T00000003490
Seq_1638	Candida_intermedia@Seq_1638	CIC11T00000001542
Seq_1377	Candida_intermedia@Seq_1377	CIC11T00000002168
Seq_899	Candida_intermedia@Seq_899	CIC11T00000005463
Seq_2209	Candida_intermedia@Seq_2209	CIC11T00000003111
Seq_5082	Candida_intermedia@Seq_5082	CIC11T00000000255, CIC11T00000003960
Seq_4297	Candida_intermedia@Seq_4297	CIC11T00000004000
Seq_732	Candida_intermedia@Seq_732	CIC11T00000002964
Seq_4779	Candida_intermedia@Seq_4779	CIC11T00000002156
Seq_5520	Candida_intermedia@Seq_5520	CIC11T00000000459
Seq_2050	Candida_intermedia@Seq_2050	CIC11T00000001192
Seq_2878	Candida_intermedia@Seq_2878	CIC11T00000001662
Seq_4817	Candida_intermedia@Seq_4817	CIC11T00000004041
Seq_4125	Candida_intermedia@Seq_4125	CIC11T00000005227
Seq_486	Candida_intermedia@Seq_486	CIC11T00000004093
Seq_1948	Candida_intermedia@Seq_1948	CIC11T00000004364
Seq_5394	Candida_intermedia@Seq_5394	CIC11T00000001627
Seq_2264	Candida_intermedia@Seq_2264	CIC11T00000001576
Seq_559	Candida_intermedia@Seq_559	CIC11T00000004774
Seq_2889	Candida_intermedia@Seq_2889	CIC11T00000000807
Seq_4247	Candida_intermedia@Seq_4247	CIC11T00000003514
Seq_176	Candida_intermedia@Seq_176	CIC11T00000002029
Seq_1097	Candida_intermedia@Seq_1097	CIC11T00000005213
Seq_518	Candida_intermedia@Seq_518	CIC11T00000004670
Seq_503	Candida_intermedia@Seq_503	CIC11T00000002584
Seq_4628	Candida_intermedia@Seq_4628	CIC11T00000000535
Seq_3773	Candida_intermedia@Seq_3773	CIC11T00000003992
Seq_120	Candida_intermedia@Seq_120	CIC11T00000001646
Seq_1029	Candida_intermedia@Seq_1029	CIC11T00000004160
Seq_528	Candida_intermedia@Seq_528	CIC11T00000003809
Seq_497	Candida_intermedia@Seq_497	CIC11T00000001338
Seq_1635	Candida_intermedia@Seq_1635	CIC11T00000002013
Seq_448	Candida_intermedia@Seq_448	CIC11T00000005217
Seq_1587	Candida_intermedia@Seq_1587	CIC11T00000005627
Seq_21	Candida_intermedia@Seq_21	CIC11T00000005086
Seq_4777	Candida_intermedia@Seq_4777	CIC11T00000003301
Seq_4622	Candida_intermedia@Seq_4622	CIC11T00000002122
Seq_5122	Candida_intermedia@Seq_5122	CIC11T00000002093
Seq_847	Candida_intermedia@Seq_847	CIC11T00000000158
Seq_1335	Candida_intermedia@Seq_1335	CIC11T00000001211
Seq_2011	Candida_intermedia@Seq_2011	CIC11T00000003492
Seq_3717	Candida_intermedia@Seq_3717	CIC11T00000004893
Seq_4897	Candida_intermedia@Seq_4897	CIC11T00000001752
Seq_130	Candida_intermedia@Seq_130	CIC11T00000004886
Seq_288	Candida_intermedia@Seq_288	CIC11T00000002735
Seq_3751	Candida_intermedia@Seq_3751	CIC11T00000000227
Seq_1503	Candida_intermedia@Seq_1503	CIC11T00000004032
Seq_2411	Candida_intermedia@Seq_2411	CIC11T00000000589
Seq_894	Candida_intermedia@Seq_894	CIC11T00000003276
Seq_576	Candida_intermedia@Seq_576	CIC11T00000005326
Seq_945	Candida_intermedia@Seq_945	CIC11T00000004168
Seq_184	Candida_intermedia@Seq_184	CIC11T00000004084
Seq_4815	Candida_intermedia@Seq_4815	CIC11T00000004341
Seq_4376	Candida_intermedia@Seq_4376	CIC11T00000004526
Seq_3269	Candida_intermedia@Seq_3269	CIC11T00000001529
Seq_3939	Candida_intermedia@Seq_3939	CIC11T00000004433
Seq_3051	Candida_intermedia@Seq_3051	CIC11T00000002774
Seq_348	Candida_intermedia@Seq_348	CIC11T00000000141
Seq_2064	Candida_intermedia@Seq_2064	CIC11T00000005934
Seq_2544	Candida_intermedia@Seq_2544	CIC11T00000004787
Seq_59	Candida_intermedia@Seq_59	CIC11T00000003901
Seq_1208	Candida_intermedia@Seq_1208	CIC11T00000004293
Seq_2968	Candida_intermedia@Seq_2968	CIC11T00000003235
Seq_916	Candida_intermedia@Seq_916	CIC11T00000004480
Seq_3997	Candida_intermedia@Seq_3997	CIC11T00000003596
Seq_5343	Candida_intermedia@Seq_5343	CIC11T00000004351
Seq_4725	Candida_intermedia@Seq_4725	CIC11T00000005619
Seq_4816	Candida_intermedia@Seq_4816	CIC11T00000002880
Seq_629	Candida_intermedia@Seq_629	CIC11T00000003028
Seq_3845	Candida_intermedia@Seq_3845	CIC11T00000004072
Seq_4802	Candida_intermedia@Seq_4802	CIC11T00000005201
Seq_797	Candida_intermedia@Seq_797	CIC11T00000002264
Seq_4415	Candida_intermedia@Seq_4415	CIC11T00000001428
Seq_3640	Candida_intermedia@Seq_3640	CIC11T00000002016
Seq_5119	Candida_intermedia@Seq_5119	CIC11T00000002614
Seq_4978	Candida_intermedia@Seq_4978	CIC11T00000003448
Seq_3693	Candida_intermedia@Seq_3693	CIC11T00000000972
Seq_1321	Candida_intermedia@Seq_1321	CIC11T00000002727
Seq_3725	Candida_intermedia@Seq_3725	CIC11T00000003533
Seq_1561	Candida_intermedia@Seq_1561	CIC11T00000004487
Seq_2541	Candida_intermedia@Seq_2541	CIC11T00000004649
Seq_1017	Candida_intermedia@Seq_1017	CIC11T00000002896
Seq_1633	Candida_intermedia@Seq_1633	CIC11T00000004831
Seq_926	Candida_intermedia@Seq_926	CIC11T00000000292
Seq_5449	Candida_intermedia@Seq_5449	CIC11T00000004048
Seq_3898	Candida_intermedia@Seq_3898	CIC11T00000000068
Seq_4343	Candida_intermedia@Seq_4343	CIC11T00000001434
Seq_3077	Candida_intermedia@Seq_3077	CIC11T00000005588
Seq_571	Candida_intermedia@Seq_571	CIC11T00000005252
Seq_934	Candida_intermedia@Seq_934	CIC11T00000001827
Seq_1584	Candida_intermedia@Seq_1584	CIC11T00000005738
Seq_3807	Candida_intermedia@Seq_3807	CIC11T00000001566
Seq_3963	Candida_intermedia@Seq_3963	CIC11T00000003241
Seq_4958	Candida_intermedia@Seq_4958	CIC11T00000001765
Seq_3401	Candida_intermedia@Seq_3401	CIC11T00000000886
Seq_370	Candida_intermedia@Seq_370	CIC11T00000002764
Seq_5278	Candida_intermedia@Seq_5278	CIC11T00000000119
Seq_102	Candida_intermedia@Seq_102	CIC11T00000002844
Seq_3477	Candida_intermedia@Seq_3477	CIC11T00000001012
Seq_2013	Candida_intermedia@Seq_2013	CIC11T00000000901
Seq_1830	Candida_intermedia@Seq_1830	CIC11T00000004935
Seq_1825	Candida_intermedia@Seq_1825	CIC11T00000001369, CIC11T00000005809
Seq_4947	Candida_intermedia@Seq_4947	CIC11T00000001731
Seq_73	Candida_intermedia@Seq_73	CIC11T00000003844
Seq_3120	Candida_intermedia@Seq_3120	CIC11T00000001838
Seq_4100	Candida_intermedia@Seq_4100	CIC11T00000002133
Seq_4104	Candida_intermedia@Seq_4104	CIC11T00000004446
Seq_4520	Candida_intermedia@Seq_4520	CIC11T00000000628
Seq_1484	Candida_intermedia@Seq_1484	CIC11T00000004805
Seq_4642	Candida_intermedia@Seq_4642	CIC11T00000001933, CIC11T00000002950
Seq_4521	Candida_intermedia@Seq_4521	CIC11T00000005735
Seq_3452	Candida_intermedia@Seq_3452	CIC11T00000004057
Seq_3242	Candida_intermedia@Seq_3242	CIC11T00000001496
Seq_3713	Candida_intermedia@Seq_3713	CIC11T00000001498
Seq_2112	Candida_intermedia@Seq_2112	CIC11T00000004468
Seq_3176	Candida_intermedia@Seq_3176	CIC11T00000005197
Seq_4680	Candida_intermedia@Seq_4680	CIC11T00000005474
Seq_2457	Candida_intermedia@Seq_2457	CIC11T00000004225
Seq_3093	Candida_intermedia@Seq_3093	CIC11T00000003074
Seq_741	Candida_intermedia@Seq_741	CIC11T00000000386
Seq_3386	Candida_intermedia@Seq_3386	CIC11T00000003941
Seq_91	Candida_intermedia@Seq_91	CIC11T00000001918
Seq_684	Candida_intermedia@Seq_684	CIC11T00000001462
Seq_4460	Candida_intermedia@Seq_4460	CIC11T00000001606
Seq_1775	Candida_intermedia@Seq_1775	CIC11T00000000674
Seq_2029	Candida_intermedia@Seq_2029	CIC11T00000001815
Seq_415	Candida_intermedia@Seq_415	CIC11T00000001772
Seq_1442	Candida_intermedia@Seq_1442	CIC11T00000000798
Seq_2242	Candida_intermedia@Seq_2242	CIC11T00000002778
Seq_331	Candida_intermedia@Seq_331	CIC11T00000001555
Seq_5126	Candida_intermedia@Seq_5126	CIC11T00000002237
Seq_5138	Candida_intermedia@Seq_5138	CIC11T00000002641
Seq_1807	Candida_intermedia@Seq_1807	CIC11T00000004298
Seq_5187	Candida_intermedia@Seq_5187	CIC11T00000003285
Seq_812	Candida_intermedia@Seq_812	CIC11T00000000395
Seq_4019	Candida_intermedia@Seq_4019	CIC11T00000003100
Seq_625	Candida_intermedia@Seq_625	CIC11T00000002002
Seq_533	Candida_intermedia@Seq_533	CIC11T00000002162
Seq_278	Candida_intermedia@Seq_278	CIC11T00000001567
Seq_3633	Candida_intermedia@Seq_3633	CIC11T00000000596
Seq_1812	Candida_intermedia@Seq_1812	CIC11T00000001394
Seq_1412	Candida_intermedia@Seq_1412	CIC11T00000002817
Seq_1650	Candida_intermedia@Seq_1650	CIC11T00000002769
Seq_719	Candida_intermedia@Seq_719	CIC11T00000004414
Seq_3380	Candida_intermedia@Seq_3380	CIC11T00000001604
Seq_2613	Candida_intermedia@Seq_2613	CIC11T00000001083
Seq_1676	Candida_intermedia@Seq_1676	CIC11T00000003181
Seq_5067	Candida_intermedia@Seq_5067	CIC11T00000005425
Seq_3255	Candida_intermedia@Seq_3255	CIC11T00000004070
Seq_2221	Candida_intermedia@Seq_2221	CIC11T00000000984
Seq_1799	Candida_intermedia@Seq_1799	CIC11T00000003659
Seq_3550	Candida_intermedia@Seq_3550	CIC11T00000002292
Seq_2975	Candida_intermedia@Seq_2975	CIC11T00000004957
Seq_4241	Candida_intermedia@Seq_4241	CIC11T00000003591
Seq_1802	Candida_intermedia@Seq_1802	CIC11T00000002465
Seq_3757	Candida_intermedia@Seq_3757	CIC11T00000004920
Seq_3928	Candida_intermedia@Seq_3928	CIC11T00000004536
Seq_2063	Candida_intermedia@Seq_2063	CIC11T00000002705
Seq_865	Candida_intermedia@Seq_865	CIC11T00000001032
Seq_648	Candida_intermedia@Seq_648	CIC11T00000005546
Seq_1878	Candida_intermedia@Seq_1878	CIC11T00000001600
Seq_2562	Candida_intermedia@Seq_2562	CIC11T00000000244
Seq_2307	Candida_intermedia@Seq_2307	CIC11T00000001754
Seq_1183	Candida_intermedia@Seq_1183	CIC11T00000001159
Seq_2023	Candida_intermedia@Seq_2023	CIC11T00000003317
Seq_2193	Candida_intermedia@Seq_2193	CIC11T00000000334
Seq_136	Candida_intermedia@Seq_136	CIC11T00000001250
Seq_4142	Candida_intermedia@Seq_4142	CIC11T00000004148
Seq_3641	Candida_intermedia@Seq_3641	CIC11T00000005287
Seq_3622	Candida_intermedia@Seq_3622	CIC11T00000002545
Seq_5517	Candida_intermedia@Seq_5517	CIC11T00000005806
Seq_584	Candida_intermedia@Seq_584	CIC11T00000004788
Seq_5016	Candida_intermedia@Seq_5016	CIC11T00000001956
Seq_3886	Candida_intermedia@Seq_3886	CIC11T00000003920
Seq_1939	Candida_intermedia@Seq_1939	CIC11T00000002053
Seq_1789	Candida_intermedia@Seq_1789	CIC11T00000000216
Seq_538	Candida_intermedia@Seq_538	CIC11T00000002889
Seq_2885	Candida_intermedia@Seq_2885	CIC11T00000000232
Seq_2700	Candida_intermedia@Seq_2700	CIC11T00000005405
Seq_1646	Candida_intermedia@Seq_1646	CIC11T00000000211
Seq_2734	Candida_intermedia@Seq_2734	CIC11T00000000630
Seq_3786	Candida_intermedia@Seq_3786	CIC11T00000004548
Seq_2038	Candida_intermedia@Seq_2038	CIC11T00000002304
Seq_535	Candida_intermedia@Seq_535	CIC11T00000002938
Seq_4530	Candida_intermedia@Seq_4530	CIC11T00000000371
Seq_4922	Candida_intermedia@Seq_4922	CIC11T00000001794
Seq_457	Candida_intermedia@Seq_457	CIC11T00000004040
Seq_782	Candida_intermedia@Seq_782	CIC11T00000005885
Seq_1347	Candida_intermedia@Seq_1347	CIC11T00000000983
Seq_4462	Candida_intermedia@Seq_4462	CIC11T00000000841
Seq_3213	Candida_intermedia@Seq_3213	CIC11T00000003527
Seq_4648	Candida_intermedia@Seq_4648	CIC11T00000003405
Seq_5177	Candida_intermedia@Seq_5177	CIC11T00000004359
Seq_1192	Candida_intermedia@Seq_1192	CIC11T00000005543
Seq_177	Candida_intermedia@Seq_177	CIC11T00000004442
Seq_3349	Candida_intermedia@Seq_3349	CIC11T00000002425, CIC11T00000001333
Seq_4515	Candida_intermedia@Seq_4515	CIC11T00000002144
Seq_893	Candida_intermedia@Seq_893	CIC11T00000003395
Seq_650	Candida_intermedia@Seq_650	CIC11T00000001421
Seq_3379	Candida_intermedia@Seq_3379	CIC11T00000001974
Seq_4641	Candida_intermedia@Seq_4641	CIC11T00000002630
Seq_3734	Candida_intermedia@Seq_3734	CIC11T00000004140
Seq_4747	Candida_intermedia@Seq_4747	CIC11T00000003162
Seq_1867	Candida_intermedia@Seq_1867	CIC11T00000002861
Seq_744	Candida_intermedia@Seq_744	CIC11T00000004962
Seq_837	Candida_intermedia@Seq_837	CIC11T00000005119
Seq_5197	Candida_intermedia@Seq_5197	CIC11T00000003930
Seq_4504	Candida_intermedia@Seq_4504	CIC11T00000002959
Seq_1326	Candida_intermedia@Seq_1326	CIC11T00000001665
Seq_1149	Candida_intermedia@Seq_1149	CIC11T00000002812
Seq_1823	Candida_intermedia@Seq_1823	CIC11T00000005797
Seq_4865	Candida_intermedia@Seq_4865	CIC11T00000002733
Seq_4589	Candida_intermedia@Seq_4589	CIC11T00000003146
Seq_3551	Candida_intermedia@Seq_3551	CIC11T00000002458
Seq_2349	Candida_intermedia@Seq_2349	CIC11T00000000295
Seq_4411	Candida_intermedia@Seq_4411	CIC11T00000001581
Seq_784	Candida_intermedia@Seq_784	CIC11T00000005778
Seq_2436	Candida_intermedia@Seq_2436	CIC11T00000005199
Seq_2629	Candida_intermedia@Seq_2629	CIC11T00000003370
Seq_3340	Candida_intermedia@Seq_3340	CIC11T00000001717
Seq_126	Candida_intermedia@Seq_126	CIC11T00000005703
Seq_2215	Candida_intermedia@Seq_2215	CIC11T00000001719
Seq_5483	Candida_intermedia@Seq_5483	CIC11T00000000176
Seq_3210	Candida_intermedia@Seq_3210	CIC11T00000003456
Seq_2713	Candida_intermedia@Seq_2713	CIC11T00000002261
Seq_191	Candida_intermedia@Seq_191	CIC11T00000001522
Seq_4619	Candida_intermedia@Seq_4619	CIC11T00000004802
Seq_4706	Candida_intermedia@Seq_4706	CIC11T00000002372
Seq_4639	Candida_intermedia@Seq_4639	CIC11T00000003057
Seq_5004	Candida_intermedia@Seq_5004	Seq_5004
Seq_3087	Candida_intermedia@Seq_3087	CIC11T00000003351
Seq_4384	Candida_intermedia@Seq_4384	CIC11T00000001355
Seq_1784	Candida_intermedia@Seq_1784	CIC11T00000003267
Seq_2189	Candida_intermedia@Seq_2189	CIC11T00000001944
Seq_1780	Candida_intermedia@Seq_1780	CIC11T00000002633
Seq_2946	Candida_intermedia@Seq_2946	CIC11T00000004777
Seq_1925	Candida_intermedia@Seq_1925	CIC11T00000001766
Seq_2406	Candida_intermedia@Seq_2406	CIC11T00000000787
Seq_2067	Candida_intermedia@Seq_2067	CIC11T00000004839
Seq_4468	Candida_intermedia@Seq_4468	CIC11T00000005804
Seq_589	Candida_intermedia@Seq_589	CIC11T00000005763
Seq_4943	Candida_intermedia@Seq_4943	CIC11T00000000009
Seq_3420	Candida_intermedia@Seq_3420	CIC11T00000000844
Seq_2917	Candida_intermedia@Seq_2917	CIC11T00000003706
Seq_4455	Candida_intermedia@Seq_4455	CIC11T00000002957
Seq_152	Candida_intermedia@Seq_152	CIC11T00000000830
Seq_3836	Candida_intermedia@Seq_3836	CIC11T00000002149
Seq_2814	Candida_intermedia@Seq_2814	CIC11T00000003584
Seq_985	Candida_intermedia@Seq_985	CIC11T00000000511
Seq_4315	Candida_intermedia@Seq_4315	CIC11T00000003185
Seq_2860	Candida_intermedia@Seq_2860	CIC11T00000005042
Seq_4590	Candida_intermedia@Seq_4590	CIC11T00000004699
Seq_2772	Candida_intermedia@Seq_2772	CIC11T00000002558
Seq_3054	Candida_intermedia@Seq_3054	CIC11T00000000863
Seq_4962	Candida_intermedia@Seq_4962	CIC11T00000003673
Seq_3375	Candida_intermedia@Seq_3375	CIC11T00000005096
Seq_3680	Candida_intermedia@Seq_3680	CIC11T00000003966
Seq_356	Candida_intermedia@Seq_356	CIC11T00000000781
Seq_3367	Candida_intermedia@Seq_3367	CIC11T00000002522
Seq_200	Candida_intermedia@Seq_200	CIC11T00000003847
Seq_1734	Candida_intermedia@Seq_1734	CIC11T00000002775
Seq_3025	Candida_intermedia@Seq_3025	CIC11T00000003197
Seq_5389	Candida_intermedia@Seq_5389	CIC11T00000004068
Seq_4857	Candida_intermedia@Seq_4857	CIC11T00000000851
Seq_325	Candida_intermedia@Seq_325	CIC11T00000002800
Seq_5003	Candida_intermedia@Seq_5003	CIC11T00000002698
Seq_727	Candida_intermedia@Seq_727	CIC11T00000002631
Seq_1778	Candida_intermedia@Seq_1778	CIC11T00000003179
Seq_819	Candida_intermedia@Seq_819	CIC11T00000003307
Seq_2443	Candida_intermedia@Seq_2443	CIC11T00000002176
Seq_4567	Candida_intermedia@Seq_4567	CIC11T00000004937
Seq_2377	Candida_intermedia@Seq_2377	CIC11T00000005122
Seq_2468	Candida_intermedia@Seq_2468	CIC11T00000000708
Seq_1439	Candida_intermedia@Seq_1439	CIC11T00000001332
Seq_4224	Candida_intermedia@Seq_4224	CIC11T00000004088
Seq_932	Candida_intermedia@Seq_932	CIC11T00000004840
Seq_3308	Candida_intermedia@Seq_3308	CIC11T00000002194
Seq_4387	Candida_intermedia@Seq_4387	CIC11T00000004944
Seq_398	Candida_intermedia@Seq_398	CIC11T00000000420
Seq_1395	Candida_intermedia@Seq_1395	CIC11T00000005232, CIC11T00000004597
Seq_4511	Candida_intermedia@Seq_4511	CIC11T00000003374
Seq_4704	Candida_intermedia@Seq_4704	CIC11T00000004354
Seq_354	Candida_intermedia@Seq_354	CIC11T00000004592
Seq_1946	Candida_intermedia@Seq_1946	CIC11T00000002681
Seq_3825	Candida_intermedia@Seq_3825	CIC11T00000005441
Seq_1602	Candida_intermedia@Seq_1602	CIC11T00000004567
Seq_3959	Candida_intermedia@Seq_3959	CIC11T00000002244
Seq_3267	Candida_intermedia@Seq_3267	CIC11T00000001208
Seq_479	Candida_intermedia@Seq_479	CIC11T00000002051
Seq_5072	Candida_intermedia@Seq_5072	CIC11T00000005511
Seq_5314	Candida_intermedia@Seq_5314	CIC11T00000002312
Seq_1266	Candida_intermedia@Seq_1266	CIC11T00000001821
Seq_3421	Candida_intermedia@Seq_3421	CIC11T00000005591
Seq_5281	Candida_intermedia@Seq_5281	CIC11T00000001304
Seq_4799	Candida_intermedia@Seq_4799	CIC11T00000005603
Seq_3604	Candida_intermedia@Seq_3604	CIC11T00000000801
Seq_1295	Candida_intermedia@Seq_1295	CIC11T00000001668
Seq_48	Candida_intermedia@Seq_48	CIC11T00000000492
Seq_2195	Candida_intermedia@Seq_2195	CIC11T00000005537
Seq_5441	Candida_intermedia@Seq_5441	CIC11T00000000084
Seq_2325	Candida_intermedia@Seq_2325	CIC11T00000000378
Seq_1071	Candida_intermedia@Seq_1071	CIC11T00000003715
Seq_3283	Candida_intermedia@Seq_3283	CIC11T00000005718
Seq_3670	Candida_intermedia@Seq_3670	CIC11T00000000977
Seq_1262	Candida_intermedia@Seq_1262	CIC11T00000002394
Seq_1839	Candida_intermedia@Seq_1839	CIC11T00000001081
Seq_3910	Candida_intermedia@Seq_3910	CIC11T00000004262
Seq_4879	Candida_intermedia@Seq_4879	CIC11T00000001271
Seq_772	Candida_intermedia@Seq_772	CIC11T00000002869
Seq_2070	Candida_intermedia@Seq_2070	CIC11T00000000612
Seq_5428	Candida_intermedia@Seq_5428	CIC11T00000005279
Seq_4134	Candida_intermedia@Seq_4134	CIC11T00000000016
