OG0000000: SGZ51129.1 SGZ51186.1 SGZ53862.1 SGZ54208.1 SGZ54258.1 SGZ55373.1 SGZ56130.1 Seq_1236 Seq_3372 Seq_5017 Seq_5227 Seq_580 Seq_620 Seq_870
OG0000001: SGZ46812.1 SGZ46814.1 SGZ49231.1 SGZ53382.1 SGZ55671.1 SGZ56654.1 Seq_2601 Seq_3361 Seq_3472 Seq_3737 Seq_4080 Seq_5185 Seq_62
OG0000002: SGZ46206.1 SGZ48122.1 SGZ50994.1 SGZ51027.1 SGZ54714.1 SGZ56656.1 Seq_2659 Seq_3594 Seq_3742 Seq_4166 Seq_5494 Seq_665
OG0000003: SGZ47126.1 SGZ50995.1 SGZ52892.1 SGZ54677.1 SGZ54679.1 SGZ57787.1 Seq_3006 Seq_3384 Seq_4153 Seq_5160 Seq_5172
OG0000004: SGZ48124.1 SGZ48781.1 SGZ52899.1 SGZ52900.1 SGZ52902.1 SGZ54826.1 Seq_3427 Seq_3698 Seq_4674 Seq_605 Seq_884
OG0000005: SGZ46210.1 SGZ46718.1 SGZ49663.1 SGZ55088.1 Seq_1204 Seq_1370 Seq_2990 Seq_3884 Seq_4552 Seq_623
OG0000006: SGZ47317.1 SGZ47318.1 SGZ49661.1 SGZ51011.1 SGZ51023.1 SGZ54727.1 SGZ54820.1 SGZ55027.1 SGZ55091.1 SGZ57769.1
OG0000007: SGZ47430.1 SGZ49609.1 SGZ51007.1 SGZ52907.1 SGZ58005.1 Seq_327 Seq_3850 Seq_3881 Seq_3922 Seq_729
OG0000008: SGZ50830.1 SGZ50832.1 SGZ50834.1 SGZ50836.1 SGZ50838.1 SGZ50840.1 SGZ57340.1 Seq_3729 Seq_432 Seq_959
OG0000009: SGZ47032.1 SGZ51017.1 SGZ51025.1 SGZ56633.1 Seq_2366 Seq_2570 Seq_345 Seq_3522 Seq_628
OG0000010: Seq_3238 Seq_3443 Seq_3924 Seq_4088 Seq_4182 Seq_4480 Seq_5211 Seq_5297 Seq_5379
OG0000011: SGZ46237.1 SGZ46503.1 SGZ52304.1 SGZ55250.1 Seq_1939 Seq_2121 Seq_2362 Seq_2987
OG0000012: SGZ46884.1 SGZ47045.1 SGZ52897.1 SGZ57767.1 Seq_2303 Seq_3091 Seq_4275 Seq_566
OG0000013: SGZ47193.1 SGZ47533.1 SGZ50456.1 SGZ54485.1 Seq_1186 Seq_3182 Seq_4404 Seq_997
OG0000014: SGZ54717.1 SGZ54718.1 SGZ54719.1 SGZ54847.1 SGZ58060.1 Seq_1892 Seq_3658 Seq_5020
OG0000015: SGZ46222.1 SGZ46223.1 SGZ46225.1 SGZ47105.1 SGZ51018.1 Seq_4187 Seq_4771
OG0000016: SGZ46997.1 SGZ47033.1 SGZ54835.1 Seq_2028 Seq_3111 Seq_3185 Seq_324
OG0000017: SGZ49796.1 SGZ49807.1 SGZ51830.1 SGZ55205.1 SGZ57804.1 Seq_4587 Seq_4984
OG0000018: SGZ49923.1 SGZ51002.1 SGZ51003.1 SGZ54299.1 Seq_2471 Seq_2870 Seq_3817
OG0000019: SGZ51013.1 SGZ51014.1 SGZ57877.1 SGZ57878.1 Seq_1298 Seq_1881 Seq_5458
OG0000020: SGZ51015.1 SGZ51190.1 SGZ53002.1 SGZ56629.1 Seq_2342 Seq_3290 Seq_3830
OG0000021: SGZ52704.1 SGZ52706.1 SGZ52883.1 SGZ54068.1 Seq_1249 Seq_1764 Seq_4278
OG0000022: SGZ56399.1 SGZ57954.1 SGZ57956.1 SGZ57958.1 Seq_2876 Seq_4194 Seq_4675
OG0000023: SGZ46242.1 SGZ51579.1 SGZ57757.1 Seq_2484 Seq_5425 Seq_786
OG0000024: SGZ46321.1 SGZ47714.1 SGZ52449.1 Seq_3713 Seq_3940 Seq_5235
OG0000025: SGZ46829.1 SGZ53370.1 SGZ53714.1 Seq_2231 Seq_3160 Seq_398
OG0000026: SGZ47212.1 SGZ51008.1 SGZ57990.1 Seq_3014 Seq_4781 Seq_5327
OG0000027: SGZ47413.1 SGZ50618.1 SGZ51197.1 Seq_232 Seq_2953 Seq_5367
OG0000028: SGZ48121.1 SGZ48783.1 SGZ54138.1 Seq_1851 Seq_3792 Seq_4634
OG0000029: SGZ49132.1 SGZ49256.1 SGZ52407.1 Seq_1427 Seq_4855 Seq_5413
OG0000030: SGZ49657.1 SGZ49987.1 SGZ50035.1 Seq_3418 Seq_5531 Seq_818
OG0000031: SGZ49794.1 SGZ49805.1 SGZ51828.1 SGZ55197.1 SGZ55199.1 SGZ55203.1
OG0000032: SGZ49937.1 SGZ49942.1 SGZ57363.1 Seq_4280 Seq_4489 Seq_679
OG0000033: SGZ50191.1 SGZ54938.1 SGZ56686.1 Seq_110 Seq_2193 Seq_4254
OG0000034: SGZ50465.1 SGZ52577.1 SGZ56412.1 Seq_1052 Seq_107 Seq_4687
OG0000035: SGZ51009.1 SGZ52906.1 SGZ54723.1 Seq_4914 Seq_5117 Seq_5366
OG0000036: SGZ51019.1 SGZ54429.1 SGZ56525.1 SGZ56658.1 Seq_4321 Seq_4330
OG0000037: SGZ52890.1 SGZ57316.1 Seq_1315 Seq_2291 Seq_2745 Seq_3097
OG0000038: SGZ53697.1 SGZ54137.1 SGZ56050.1 Seq_1828 Seq_1992 Seq_2590
OG0000039: SGZ54729.1 SGZ56294.1 SGZ58078.1 Seq_1330 Seq_3945 Seq_5485
OG0000040: SGZ54830.1 SGZ56403.1 SGZ56663.1 Seq_127 Seq_1475 Seq_517
OG0000041: SGZ57195.1 SGZ57197.1 SGZ57198.1 Seq_1342 Seq_4717 Seq_981
OG0000042: SGZ46846.1 SGZ57432.1 SGZ57591.1 SGZ57856.1 Seq_355
OG0000043: SGZ47595.1 SGZ50241.1 Seq_2357 Seq_2457 Seq_4649
OG0000044: SGZ47657.1 SGZ47658.1 SGZ52792.1 Seq_1458 Seq_5205
OG0000045: SGZ48071.1 SGZ50998.1 SGZ50999.1 Seq_3028 Seq_755
OG0000046: SGZ48792.1 SGZ57779.1 SGZ57780.1 Seq_1260 Seq_3058
OG0000047: SGZ48812.1 SGZ48814.1 SGZ53927.1 Seq_3521 Seq_713
OG0000048: SGZ49115.1 SGZ49118.1 SGZ52177.1 Seq_2308 Seq_3790
OG0000049: SGZ49211.1 SGZ49213.1 SGZ52735.1 Seq_3 Seq_5134
OG0000050: SGZ49792.1 SGZ49798.1 SGZ49800.1 SGZ51832.1 SGZ55201.1
OG0000051: SGZ50119.1 SGZ51824.1 SGZ51826.1 Seq_2994 Seq_3637
OG0000052: SGZ51940.1 SGZ54843.1 Seq_1897 Seq_2089 Seq_396
OG0000053: SGZ52290.1 SGZ52294.1 SGZ52296.1 SGZ52298.1 Seq_3276
OG0000054: SGZ53423.1 SGZ53425.1 SGZ55227.1 Seq_3205 Seq_4191
OG0000055: SGZ53751.1 SGZ53753.1 SGZ56001.1 Seq_1102 Seq_275
OG0000056: SGZ55716.1 SGZ55718.1 SGZ55720.1 Seq_174 Seq_2402
OG0000057: SGZ56830.1 SGZ56832.1 SGZ56834.1 Seq_2105 Seq_408
OG0000058: SGZ57790.1 SGZ57868.1 SGZ57909.1 Seq_4753 Seq_515
OG0000059: SGZ46214.1 SGZ57784.1 Seq_2102 Seq_3412
OG0000156: SGZ55935.1 SGZ56566.1 Seq_1816 Seq_4775
OG0000157: SGZ56639.1 SGZ57444.1 Seq_4728 Seq_758
OG0000158: SGZ56709.1 SGZ57706.1 Seq_3452 Seq_3632
OG0000159: SGZ56870.1 SGZ57907.1 Seq_2965 Seq_862
OG0000160: SGZ57733.1 SGZ57735.1 SGZ57737.1 Seq_4752
OG0000161: SGZ57777.1 SGZ57778.1 Seq_3337 Seq_3975
OG0000162: SGZ57786.1 SGZ57910.1 Seq_1026 Seq_4113
OG0000163: SGZ46207.1 SGZ54731.1 Seq_2617
OG0000164: SGZ46547.1 Seq_1120 Seq_4888
OG0000165: SGZ46585.1 SGZ50452.1 Seq_3486
OG0000166: SGZ46698.1 SGZ47534.1 Seq_2852
OG0000167: SGZ46761.1 SGZ58058.1 Seq_4274
OG0000168: SGZ46834.1 SGZ56464.1 Seq_2672
OG0000169: SGZ47028.1 SGZ52909.1 Seq_3736
OG0000170: SGZ47041.1 SGZ51758.1 Seq_5332
OG0000171: SGZ47043.1 SGZ49884.1 Seq_807
OG0000172: SGZ47087.1 Seq_2112 Seq_928
OG0000173: SGZ47091.1 SGZ47092.1 Seq_1395
OG0000174: SGZ47281.1 Seq_305 Seq_594
OG0000175: SGZ48016.1 SGZ53637.1 Seq_362
OG0000176: SGZ48064.1 SGZ48067.1 Seq_5496
OG0000177: SGZ48069.1 Seq_3687 Seq_4198
OG0000178: SGZ48070.1 SGZ48075.1 Seq_4566
OG0000179: SGZ48120.1 Seq_2139 Seq_2416
OG0000180: SGZ49223.1 Seq_2563 Seq_3258
OG0000181: SGZ49301.1 SGZ51855.1 Seq_2095
OG0000182: SGZ49484.1 SGZ54171.1 Seq_2031
OG0000183: SGZ49869.1 SGZ49871.1 Seq_5342
OG0000184: SGZ49915.1 SGZ49917.1 Seq_1109
OG0000185: SGZ49956.1 SGZ49958.1 Seq_3086
OG0000186: SGZ49985.1 SGZ51436.1 Seq_1825
OG0000187: SGZ50015.1 SGZ53768.1 Seq_2945
OG0000188: SGZ50046.1 SGZ56814.1 Seq_5082
OG0000189: SGZ50179.1 SGZ50183.1 Seq_3018
OG0000190: SGZ50216.1 SGZ50220.1 Seq_1047
OG0000191: SGZ50301.1 Seq_180 Seq_4708
OG0000192: SGZ50350.1 Seq_2890 Seq_472
OG0000193: SGZ50734.1 SGZ56665.1 Seq_3429
OG0000194: SGZ50775.1 SGZ57092.1 Seq_3071
OG0000195: SGZ50786.1 SGZ56680.1 Seq_3349
OG0000196: SGZ50996.1 SGZ50997.1 Seq_4222
OG0000197: SGZ51020.1 SGZ54726.1 Seq_463
OG0000198: SGZ51021.1 SGZ54725.1 Seq_2673
OG0000199: SGZ51389.1 Seq_3697 Seq_4493
OG0000200: SGZ51531.1 SGZ53554.1 Seq_2389
OG0000201: SGZ51784.1 SGZ52260.1 Seq_2208
OG0000202: SGZ51816.1 SGZ55811.1 Seq_3954
OG0000203: SGZ52385.1 SGZ56100.1 Seq_377
OG0000204: SGZ52658.1 SGZ55474.1 Seq_3804
OG0000205: SGZ52879.1 SGZ57763.1 Seq_1150
OG0000206: SGZ52913.1 SGZ56568.1 Seq_2912
OG0000207: SGZ52990.1 SGZ56635.1 Seq_2654
OG0000208: SGZ52992.1 SGZ54722.1 Seq_369
OG0000209: SGZ53006.1 SGZ53335.1 Seq_4564
OG0000210: SGZ53012.1 SGZ53633.1 Seq_2365
OG0000211: SGZ53419.1 Seq_2789 Seq_3130
OG0000212: SGZ53512.1 SGZ55901.1 Seq_2165
OG0000213: SGZ53562.1 SGZ55560.1 Seq_3695
OG0000214: SGZ53849.1 SGZ57142.1 Seq_4065
OG0000215: SGZ54008.1 Seq_2188 Seq_5111
OG0000216: SGZ54224.1 SGZ54228.1 Seq_4629
OG0000217: SGZ54295.1 SGZ56911.1 Seq_2213
OG0000218: SGZ54711.1 SGZ56931.1 Seq_1624
OG0000219: SGZ54879.1 SGZ54881.1 Seq_4642
OG0000220: SGZ54887.1 Seq_2226 Seq_984
OG0000221: SGZ54968.1 SGZ54970.1 Seq_2637
OG0000222: SGZ55381.1 SGZ55388.1 Seq_3938
OG0000223: SGZ55457.1 SGZ55459.1 Seq_867
OG0000224: SGZ56088.1 Seq_2077 Seq_652
OG0000225: SGZ56701.1 Seq_1126 Seq_1291
OG0000226: SGZ56808.1 Seq_1906 Seq_809
OG0000227: SGZ57507.1 Seq_2041 Seq_5004
OG0000228: SGZ46208.1 Seq_4972
OG0000229: SGZ46211.1 Seq_3789
OG0000230: SGZ46212.1 Seq_5105
OG0000231: SGZ46215.1 Seq_5026
OG0000232: SGZ46217.1 Seq_393
OG0000233: SGZ46218.1 Seq_1016
OG0000234: SGZ46221.1 Seq_636
OG0000235: SGZ46226.1 Seq_3037
OG0000236: SGZ46227.1 Seq_1190
OG0000237: SGZ46230.1 Seq_5201
OG0000238: SGZ46231.1 Seq_615
OG0000239: SGZ46232.1 Seq_1447
OG0000240: SGZ46234.1 Seq_795
OG0000241: SGZ46235.1 Seq_51
OG0000242: SGZ46236.1 Seq_2013
OG0000243: SGZ46239.1 Seq_1911
OG0000244: SGZ46240.1 Seq_5317
OG0000245: SGZ46244.1 Seq_1693
OG0000246: SGZ46245.1 Seq_1738
OG0000247: SGZ46246.1 Seq_4829
OG0000248: SGZ46248.1 Seq_5171
OG0000249: SGZ46249.1 Seq_3387
OG0000250: SGZ46251.1 Seq_3390
OG0000251: SGZ46252.1 Seq_3012
OG0000252: SGZ46254.1 Seq_2486
OG0000253: SGZ46255.1 Seq_3280
OG0000254: SGZ46256.1 Seq_2056
OG0000255: SGZ46257.1 Seq_57
OG0000256: SGZ46258.1 Seq_2772
OG0000257: SGZ46259.1 Seq_682
OG0000258: SGZ46260.1 Seq_5096
OG0000259: SGZ46262.1 Seq_1661
OG0000260: SGZ46263.1 Seq_3764
OG0000261: SGZ46265.1 Seq_3647
OG0000262: SGZ46267.1 Seq_4285
OG0000263: SGZ46268.1 Seq_5023
OG0000264: SGZ46269.1 Seq_375
OG0000265: SGZ46271.1 Seq_2638
OG0000266: SGZ46272.1 Seq_3105
OG0000267: SGZ46274.1 Seq_1015
OG0000268: SGZ46276.1 Seq_2482
OG0000269: SGZ46277.1 Seq_1099
OG0000270: SGZ46281.1 Seq_5132
OG0000271: SGZ46282.1 Seq_3565
OG0000272: SGZ46283.1 Seq_1800
OG0000273: SGZ46285.1 Seq_3355
OG0000274: SGZ46286.1 Seq_1810
OG0000275: SGZ46287.1 Seq_5114
OG0000276: SGZ46289.1 Seq_334
OG0000277: SGZ46290.1 Seq_1713
OG0000278: SGZ46291.1 Seq_3721
OG0000279: SGZ46292.1 Seq_2897
OG0000280: SGZ46294.1 Seq_518
OG0000281: SGZ46295.1 Seq_4297
OG0000282: SGZ46296.1 Seq_4173
OG0000283: SGZ46297.1 Seq_4174
OG0000284: SGZ46298.1 Seq_306
OG0000285: SGZ46299.1 Seq_767
OG0000286: SGZ46300.1 Seq_3732
OG0000287: SGZ46302.1 Seq_2833
OG0000288: SGZ46303.1 Seq_4805
OG0000289: SGZ46305.1 Seq_2979
OG0000290: SGZ46308.1 Seq_2558
OG0000291: SGZ46309.1 Seq_1410
OG0000292: SGZ46312.1 Seq_1748
OG0000293: SGZ46313.1 Seq_2430
OG0000294: SGZ46314.1 Seq_634
OG0000295: SGZ46316.1 Seq_219
OG0000296: SGZ46319.1 Seq_2113
OG0000297: SGZ46320.1 Seq_2123
OG0000298: SGZ46322.1 Seq_4880
OG0000299: SGZ46324.1 Seq_2944
OG0000300: SGZ46325.1 Seq_1108
OG0000301: SGZ46326.1 Seq_1534
OG0000302: SGZ46327.1 Seq_2541
OG0000303: SGZ46328.1 Seq_5014
OG0000304: SGZ46329.1 Seq_3590
OG0000305: SGZ46330.1 Seq_2419
OG0000306: SGZ46331.1 Seq_4049
OG0000307: SGZ46332.1 Seq_4039
OG0000308: SGZ46333.1 Seq_961
OG0000309: SGZ46334.1 Seq_2007
OG0000310: SGZ46335.1 Seq_4727
OG0000311: SGZ46336.1 Seq_5391
OG0000312: SGZ46337.1 Seq_4804
OG0000313: SGZ46338.1 Seq_936
OG0000314: SGZ46340.1 Seq_2796
OG0000315: SGZ46342.1 Seq_4935
OG0000316: SGZ46344.1 Seq_753
OG0000317: SGZ46345.1 Seq_873
OG0000318: SGZ46346.1 Seq_5113
OG0000319: SGZ46347.1 Seq_3373
OG0000320: SGZ46350.1 Seq_1837
OG0000321: SGZ46351.1 Seq_3313
OG0000322: SGZ46353.1 Seq_4406
OG0000323: SGZ46354.1 Seq_2228
OG0000324: SGZ46356.1 Seq_4486
OG0000325: SGZ46357.1 Seq_40
OG0000326: SGZ46359.1 Seq_2290
OG0000327: SGZ46361.1 Seq_2307
OG0000328: SGZ46362.1 Seq_5059
OG0000329: SGZ46364.1 Seq_4179
OG0000330: SGZ46365.1 Seq_2736
OG0000331: SGZ46366.1 Seq_2400
OG0000332: SGZ46367.1 Seq_3595
OG0000333: SGZ46369.1 Seq_3389
OG0000334: SGZ46370.1 Seq_1705
OG0000335: SGZ46372.1 Seq_4613
OG0000336: SGZ46374.1 Seq_3901
OG0000337: SGZ46376.1 Seq_4788
OG0000338: SGZ46377.1 Seq_618
OG0000339: SGZ46379.1 Seq_2301
OG0000340: SGZ46380.1 Seq_852
OG0000341: SGZ46382.1 Seq_919
OG0000342: SGZ46384.1 Seq_5387
OG0000343: SGZ46386.1 Seq_5268
OG0000344: SGZ46387.1 Seq_4555
OG0000345: SGZ46389.1 Seq_4180
OG0000346: SGZ46390.1 Seq_660
OG0000347: SGZ46392.1 Seq_1833
OG0000348: SGZ46394.1 Seq_3747
OG0000349: SGZ46395.1 Seq_2724
OG0000350: SGZ46397.1 Seq_2459
OG0000351: SGZ46399.1 Seq_1927
OG0000352: SGZ46401.1 Seq_5414
OG0000353: SGZ46403.1 Seq_3066
OG0000354: SGZ46404.1 Seq_2264
OG0000355: SGZ46405.1 Seq_528
OG0000356: SGZ46406.1 Seq_5088
OG0000357: SGZ46409.1 Seq_1628
OG0000358: SGZ46410.1 Seq_3227
OG0000359: SGZ46412.1 Seq_173
OG0000360: SGZ46414.1 Seq_4745
OG0000361: SGZ46415.1 Seq_3397
OG0000362: SGZ46416.1 Seq_3988
OG0000363: SGZ46417.1 Seq_1009
OG0000364: SGZ46419.1 Seq_2514
OG0000365: SGZ46424.1 Seq_4614
OG0000366: SGZ46425.1 Seq_440
OG0000367: SGZ46427.1 Seq_198
OG0000368: SGZ46429.1 Seq_2951
OG0000369: SGZ46431.1 Seq_3566
OG0000370: SGZ46432.1 Seq_3929
OG0000371: SGZ46434.1 Seq_1288
OG0000372: SGZ46435.1 Seq_4082
OG0000373: SGZ46436.1 Seq_1638
OG0000374: SGZ46439.1 Seq_710
OG0000375: SGZ46441.1 Seq_4543
OG0000376: SGZ46442.1 Seq_1211
OG0000377: SGZ46443.1 Seq_3347
OG0000378: SGZ46444.1 Seq_899
OG0000379: SGZ46445.1 Seq_5262
OG0000380: SGZ46446.1 Seq_2895
OG0000381: SGZ46449.1 Seq_3527
OG0000382: SGZ46451.1 Seq_2794
OG0000383: SGZ46452.1 Seq_224
OG0000384: SGZ46454.1 Seq_1760
OG0000385: SGZ46456.1 Seq_3837
OG0000386: SGZ46457.1 Seq_5175
OG0000387: SGZ46459.1 Seq_4044
OG0000388: SGZ46462.1 Seq_3085
OG0000389: SGZ46463.1 Seq_5403
OG0000390: SGZ46464.1 Seq_1763
OG0000391: SGZ46466.1 Seq_4672
OG0000392: SGZ46468.1 Seq_2232
OG0000393: SGZ46470.1 Seq_1085
OG0000394: SGZ46472.1 Seq_1496
OG0000395: SGZ46473.1 Seq_3892
OG0000396: SGZ46474.1 Seq_4216
OG0000397: SGZ46476.1 Seq_3582
OG0000398: SGZ46477.1 Seq_205
OG0000399: SGZ46479.1 Seq_4230
OG0000400: SGZ46480.1 Seq_3820
OG0000401: SGZ46481.1 Seq_1264
OG0000402: SGZ46483.1 Seq_1199
OG0000403: SGZ46484.1 Seq_5372
OG0000404: SGZ46485.1 Seq_5255
OG0000405: SGZ46487.1 Seq_3923
OG0000406: SGZ46488.1 Seq_676
OG0000407: SGZ46489.1 Seq_3277
OG0000408: SGZ46491.1 Seq_2786
OG0000409: SGZ46494.1 Seq_2843
OG0000410: SGZ46495.1 Seq_4360
OG0000411: SGZ46499.1 Seq_4322
OG0000412: SGZ46505.1 Seq_2567
OG0000413: SGZ46506.1 Seq_307
OG0000414: SGZ46508.1 Seq_983
OG0000415: SGZ46510.1 Seq_1540
OG0000416: SGZ46512.1 Seq_5089
OG0000417: SGZ46513.1 Seq_1945
OG0000418: SGZ46516.1 Seq_4499
OG0000419: SGZ46517.1 Seq_2506
OG0000420: SGZ46519.1 Seq_920
OG0000421: SGZ46521.1 Seq_4834
OG0000422: SGZ46522.1 Seq_3426
OG0000423: SGZ46525.1 Seq_3556
OG0000424: SGZ46527.1 Seq_137
OG0000425: SGZ46529.1 Seq_1380
OG0000426: SGZ46531.1 Seq_1248
OG0000427: SGZ46532.1 Seq_4963
OG0000428: SGZ46533.1 Seq_4496
OG0000429: SGZ46534.1 Seq_112
OG0000430: SGZ46535.1 Seq_780
OG0000431: SGZ46537.1 Seq_2800
OG0000432: SGZ46539.1 Seq_2032
OG0000433: SGZ46541.1 Seq_4351
OG0000434: SGZ46545.1 Seq_4211
OG0000435: SGZ46546.1 Seq_1477
OG0000436: SGZ46548.1 Seq_5061
OG0000437: SGZ46549.1 Seq_4396
OG0000438: SGZ46550.1 Seq_5520
OG0000439: SGZ46552.1 Seq_649
OG0000440: SGZ46553.1 Seq_1504
OG0000441: SGZ46554.1 Seq_1793
OG0000442: SGZ46556.1 Seq_4034
OG0000443: SGZ46557.1 Seq_1431
OG0000444: SGZ46558.1 Seq_2968
OG0000445: SGZ46560.1 Seq_1452
OG0000446: SGZ46562.1 Seq_5515
OG0000447: SGZ46563.1 Seq_2873
OG0000448: SGZ46564.1 Seq_3744
OG0000449: SGZ46565.1 Seq_3558
OG0000450: SGZ46567.1 Seq_2627
OG0000451: SGZ46569.1 Seq_1659
OG0000452: SGZ46570.1 Seq_216
OG0000453: SGZ46572.1 Seq_4410
OG0000454: SGZ46573.1 Seq_1889
OG0000455: SGZ46574.1 Seq_2817
OG0000456: SGZ46575.1 Seq_83
OG0000457: SGZ46576.1 Seq_3302
OG0000458: SGZ46577.1 Seq_4464
OG0000459: SGZ46578.1 Seq_4845
OG0000460: SGZ46581.1 Seq_2808
OG0000461: SGZ46583.1 Seq_38
OG0000462: SGZ46586.1 Seq_2711
OG0000463: SGZ46587.1 Seq_5081
OG0000464: SGZ46588.1 Seq_2993
OG0000465: SGZ46590.1 Seq_4152
OG0000466: SGZ46591.1 Seq_1174
OG0000467: SGZ46592.1 Seq_1863
OG0000468: SGZ46593.1 Seq_4346
OG0000469: SGZ46594.1 Seq_5236
OG0000470: SGZ46596.1 Seq_2295
OG0000471: SGZ46597.1 Seq_2716
OG0000472: SGZ46598.1 Seq_4172
OG0000473: SGZ46600.1 Seq_2942
OG0000474: SGZ46601.1 Seq_4204
OG0000475: SGZ46603.1 Seq_3336
OG0000476: SGZ46604.1 Seq_4827
OG0000477: SGZ46605.1 Seq_1904
OG0000478: SGZ46606.1 Seq_2251
OG0000479: SGZ46607.1 Seq_2391
OG0000480: SGZ46610.1 Seq_1787
OG0000481: SGZ46611.1 Seq_4698
OG0000482: SGZ46612.1 Seq_5347
OG0000483: SGZ46613.1 Seq_3849
OG0000484: SGZ46614.1 Seq_231
OG0000485: SGZ46615.1 Seq_5429
OG0000486: SGZ46617.1 Seq_2297
OG0000487: SGZ46618.1 Seq_4966
OG0000488: SGZ46621.1 Seq_4050
OG0000489: SGZ46624.1 Seq_1197
OG0000490: SGZ46625.1 Seq_1919
OG0000491: SGZ46627.1 Seq_4676
OG0000492: SGZ46629.1 Seq_3913
OG0000493: SGZ46631.1 Seq_5107
OG0000494: SGZ46633.1 Seq_3535
OG0000495: SGZ46635.1 Seq_1153
OG0000496: SGZ46637.1 Seq_4776
OG0000497: SGZ46639.1 Seq_3093
OG0000498: SGZ46640.1 Seq_5259
OG0000499: SGZ46641.1 Seq_972
OG0000500: SGZ46642.1 Seq_4988
OG0000501: SGZ46643.1 Seq_2720
OG0000502: SGZ46644.1 Seq_2302
OG0000503: SGZ46646.1 Seq_4522
OG0000504: SGZ46647.1 Seq_741
OG0000505: SGZ46648.1 Seq_512
OG0000506: SGZ46649.1 Seq_4830
OG0000507: SGZ46650.1 Seq_4716
OG0000508: SGZ46651.1 Seq_2848
OG0000509: SGZ46652.1 Seq_126
OG0000510: SGZ46653.1 Seq_411
OG0000511: SGZ46654.1 Seq_3106
OG0000512: SGZ46655.1 Seq_4756
OG0000513: SGZ46656.1 Seq_4653
OG0000514: SGZ46660.1 Seq_738
OG0000515: SGZ46661.1 Seq_921
OG0000516: SGZ46662.1 Seq_1874
OG0000517: SGZ46663.1 Seq_5305
OG0000518: SGZ46665.1 Seq_3035
OG0000519: SGZ46666.1 Seq_4443
OG0000520: SGZ46668.1 Seq_1200
OG0000521: SGZ46669.1 Seq_1918
OG0000522: SGZ46670.1 Seq_4765
OG0000523: SGZ46672.1 Seq_3856
OG0000524: SGZ46675.1 Seq_2580
OG0000525: SGZ46676.1 Seq_5513
OG0000526: SGZ46678.1 Seq_5250
OG0000527: SGZ46680.1 Seq_4361
OG0000528: SGZ46681.1 Seq_4266
OG0000529: SGZ46683.1 Seq_3899
OG0000530: SGZ46686.1 Seq_5358
OG0000531: SGZ46688.1 Seq_1293
OG0000532: SGZ46690.1 Seq_1890
OG0000533: SGZ46693.1 Seq_1582
OG0000534: SGZ46694.1 Seq_4734
OG0000535: SGZ46695.1 Seq_4345
OG0000536: SGZ46696.1 Seq_772
OG0000537: SGZ46697.1 Seq_4779
OG0000538: SGZ46702.1 Seq_3638
OG0000539: SGZ46704.1 Seq_4282
OG0000540: SGZ46706.1 Seq_3407
OG0000541: SGZ46709.1 Seq_3256
OG0000542: SGZ46710.1 Seq_410
OG0000543: SGZ46712.1 Seq_3165
OG0000544: SGZ46714.1 Seq_4721
OG0000545: SGZ46715.1 Seq_1770
OG0000546: SGZ46717.1 Seq_4989
OG0000547: SGZ46719.1 Seq_1329
OG0000548: SGZ46720.1 Seq_3605
OG0000549: SGZ46721.1 Seq_3155
OG0000550: SGZ46722.1 Seq_5044
OG0000551: SGZ46723.1 Seq_1860
OG0000552: SGZ46724.1 Seq_2350
OG0000553: SGZ46725.1 Seq_1374
OG0000554: SGZ46726.1 Seq_5094
OG0000555: SGZ46728.1 Seq_4594
OG0000556: SGZ46729.1 Seq_1573
OG0000557: SGZ46730.1 Seq_3733
OG0000558: SGZ46733.1 Seq_4247
OG0000559: SGZ46735.1 Seq_5419
OG0000560: SGZ46736.1 Seq_1371
OG0000561: SGZ46737.1 Seq_505
OG0000562: SGZ46739.1 Seq_360
OG0000563: SGZ46740.1 Seq_116
OG0000564: SGZ46742.1 Seq_3184
OG0000565: SGZ46743.1 Seq_34
OG0000566: SGZ46746.1 Seq_4434
OG0000567: SGZ46748.1 Seq_4393
OG0000568: SGZ46751.1 Seq_464
OG0000569: SGZ46752.1 Seq_48
OG0000570: SGZ46754.1 Seq_1377
OG0000571: SGZ46756.1 Seq_865
OG0000572: SGZ46757.1 Seq_602
OG0000573: SGZ46759.1 Seq_3541
OG0000574: SGZ46763.1 Seq_4505
OG0000575: SGZ46764.1 Seq_1487
OG0000576: SGZ46765.1 Seq_1355
OG0000577: SGZ46766.1 Seq_2540
OG0000578: SGZ46767.1 Seq_1530
OG0000579: SGZ46768.1 Seq_2802
OG0000580: SGZ46771.1 Seq_4012
OG0000581: SGZ46772.1 Seq_963
OG0000582: SGZ46775.1 Seq_4925
OG0000583: SGZ46776.1 Seq_1615
OG0000584: SGZ46777.1 Seq_5265
OG0000585: SGZ46781.1 Seq_3270
OG0000586: SGZ46782.1 Seq_1700
OG0000587: SGZ46783.1 Seq_1900
OG0000588: SGZ46785.1 Seq_2345
OG0000589: SGZ46788.1 Seq_3223
OG0000590: SGZ46789.1 Seq_1034
OG0000591: SGZ46790.1 Seq_2914
OG0000592: SGZ46791.1 Seq_3425
OG0000593: SGZ46793.1 Seq_2820
OG0000594: SGZ46795.1 Seq_1575
OG0000595: SGZ46797.1 Seq_4898
OG0000596: SGZ46798.1 Seq_4150
OG0000597: SGZ46800.1 Seq_4715
OG0000598: SGZ46801.1 Seq_3316
